gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,epithelial cell,spleen,normal,4,11672,0.0342700479780671,2.0021570435634684
7SK_ENSG00000202198,epithelial cell,spleen,normal,32,11672,0.2741603838245374,1.5421333532700583
7SK_ENSG00000274303,epithelial cell,spleen,normal,16,11672,0.1370801919122687,1.4096690676876016
A1BG,epithelial cell,spleen,normal,3,11672,0.0257025359835503,1.214088223606342
A1CF,epithelial cell,spleen,normal,1,11672,0.0085675119945167,1.1472309349534209
A2M,epithelial cell,spleen,normal,10206,11672,87.44002741603838,2.391755291183347
A2ML1,epithelial cell,spleen,normal,9,11672,0.0771076079506511,1.3919127537636853
A2ML1-AS1,epithelial cell,spleen,normal,34,11672,0.2912954078135709,1.3845140856805844
A3GALT2,epithelial cell,spleen,normal,2,11672,0.0171350239890335,1.224603649742411
A4GALT,epithelial cell,spleen,normal,28,11672,0.2398903358464701,1.260692638743583
AAAS,epithelial cell,spleen,normal,55,11672,0.4712131596984236,1.241742693925677
AACS,epithelial cell,spleen,normal,7,11672,0.0599725839616175,1.1310498810310732
AADAT,epithelial cell,spleen,normal,4,11672,0.0342700479780671,1.226915931063427
AAGAB,epithelial cell,spleen,normal,245,11672,2.099040438656614,1.3204948382329162
AAK1,epithelial cell,spleen,normal,1109,11672,9.501370801919125,1.4083808894650809
AAMDC,epithelial cell,spleen,normal,3006,11672,25.75394105551748,1.5191742196313758
AAMP,epithelial cell,spleen,normal,589,11672,5.04626456477039,1.281039198332118
AANAT,epithelial cell,spleen,normal,1,11672,0.0085675119945167,1.484735134612182
AAR2,epithelial cell,spleen,normal,2,11672,0.0171350239890335,1.2726105576026838
AARD,epithelial cell,spleen,normal,1,11672,0.0085675119945167,1.3901110440776876
AARS1,epithelial cell,spleen,normal,4,11672,0.0342700479780671,1.2067080617193722
AARSD1,epithelial cell,spleen,normal,216,11672,1.8505825908156277,1.379248650262853
AASDH,epithelial cell,spleen,normal,6,11672,0.0514050719671007,1.1874527141089686
AASDHPPT,epithelial cell,spleen,normal,548,11672,4.694996572995202,1.3062680084622715
AASS,epithelial cell,spleen,normal,3,11672,0.0257025359835503,1.1648800258471292
AATF,epithelial cell,spleen,normal,45,11672,0.3855380397532557,1.264762739848763
AATK,epithelial cell,spleen,normal,86,11672,0.7368060315284441,1.290682071082751
ABALON,epithelial cell,spleen,normal,2,11672,0.0171350239890335,1.1471541072023943
ABAT,epithelial cell,spleen,normal,14,11672,0.119945167923235,1.269780739395666
ABCA1,epithelial cell,spleen,normal,94,11672,0.8053461274845785,1.4539264754955223
ABCA10,epithelial cell,spleen,normal,8,11672,0.0685400959561343,1.300810459306157
ABCA17P,epithelial cell,spleen,normal,8,11672,0.0685400959561343,1.3464898641228205
ABCA2,epithelial cell,spleen,normal,39,11672,0.3341329677861549,1.306071511351443
ABCA3,epithelial cell,spleen,normal,1,11672,0.0085675119945167,1.568359798877292
ABCA4,epithelial cell,spleen,normal,22,11672,0.1884852638793694,1.3906846534324284
ABCA5,epithelial cell,spleen,normal,50,11672,0.4283755997258396,1.26983746131744
ABCA6,epithelial cell,spleen,normal,2,11672,0.0171350239890335,1.218420816079011
ABCA7,epithelial cell,spleen,normal,32,11672,0.2741603838245374,1.3651967185291185
ABCA8,epithelial cell,spleen,normal,78,11672,0.6682659355723098,1.4066661072254796
ABCA9,epithelial cell,spleen,normal,4,11672,0.0342700479780671,1.3950963512532106
ABCA9-AS1,epithelial cell,spleen,normal,151,11672,1.2936943111720356,1.553684222833137
ABCB1,epithelial cell,spleen,normal,166,11672,1.4222069910897874,1.6400907094566812
ABCB10,epithelial cell,spleen,normal,114,11672,0.9766963673749144,1.3432111386826278
ABCB6,epithelial cell,spleen,normal,14,11672,0.119945167923235,1.3482292758525956
ABCB7,epithelial cell,spleen,normal,26,11672,0.2227553118574366,1.220225202284523
ABCB8,epithelial cell,spleen,normal,202,11672,1.730637422892392,1.3441027618959505
ABCB9,epithelial cell,spleen,normal,2,11672,0.0171350239890335,1.4773577217618814
ABCC1,epithelial cell,spleen,normal,3,11672,0.0257025359835503,1.1806724002037945
ABCC10,epithelial cell,spleen,normal,77,11672,0.6596984235777931,1.3557640093696413
ABCC2,epithelial cell,spleen,normal,10,11672,0.0856751199451679,1.2582800167240105
ABCC3,epithelial cell,spleen,normal,20,11672,0.1713502398903358,1.4139128030268735
ABCC4,epithelial cell,spleen,normal,25,11672,0.2141877998629198,1.2814246335882058
ABCC5,epithelial cell,spleen,normal,14,11672,0.119945167923235,1.2002023622681668
ABCC5-AS1,epithelial cell,spleen,normal,1,11672,0.0085675119945167,1.4704995726721064
ABCD1,epithelial cell,spleen,normal,28,11672,0.2398903358464701,1.2832779182777858
ABCD3,epithelial cell,spleen,normal,1,11672,0.0085675119945167,1.197284057915104
ABCD4,epithelial cell,spleen,normal,1183,11672,10.135366689513363,1.387459771109213
ABCE1,epithelial cell,spleen,normal,2101,11672,18.00034270047978,1.4272869448539984
ABCF1,epithelial cell,spleen,normal,20,11672,0.1713502398903358,1.1785012770144347
ABCF2,epithelial cell,spleen,normal,81,11672,0.6939684715558602,1.31954597019325
ABCF3,epithelial cell,spleen,normal,506,11672,4.335161069225497,1.3727103753326009
ABCG1,epithelial cell,spleen,normal,173,11672,1.482179575051405,1.3354875231670522
ABCG2,epithelial cell,spleen,normal,18,11672,0.1542152159013022,1.2391034549447346
ABHD1,epithelial cell,spleen,normal,5,11672,0.0428375599725839,1.2482056416622207
ABHD10,epithelial cell,spleen,normal,383,11672,3.281357093899932,1.335997580325036
ABHD11,epithelial cell,spleen,normal,88,11672,0.7539410555174777,1.3529997051458278
ABHD12,epithelial cell,spleen,normal,211,11672,1.8077450308430432,1.3186185457748942
ABHD14A,epithelial cell,spleen,normal,145,11672,1.242289239204935,1.3360332845315777
ABHD14A-ACY1,epithelial cell,spleen,normal,1,11672,0.0085675119945167,1.145388225567522
ABHD14B,epithelial cell,spleen,normal,62,11672,0.5311857436600411,1.242097039989584
ABHD15-AS1,epithelial cell,spleen,normal,182,11672,1.5592871830020565,1.7885415714427666
ABHD16A,epithelial cell,spleen,normal,427,11672,3.658327621658671,1.333183527225532
ABHD17A,epithelial cell,spleen,normal,113,11672,0.9681288553803976,1.2536244073574747
ABHD17B,epithelial cell,spleen,normal,30,11672,0.2570253598355038,1.3398135664400208
ABHD17C,epithelial cell,spleen,normal,12,11672,0.1028101439342015,1.2342680174654064
ABHD18,epithelial cell,spleen,normal,35,11672,0.2998629198080877,1.262373061248785
ABHD2,epithelial cell,spleen,normal,1247,11672,10.68368745716244,1.5520329003769056
ABHD3,epithelial cell,spleen,normal,603,11672,5.166209732693626,1.453445121673452
ABHD4,epithelial cell,spleen,normal,1518,11672,13.005483207676493,1.458539610071229
