gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,erythrocyte,spleen,normal,9,3498,0.2572898799313894,1.7469103522421756
7SK_ENSG00000274303,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.6086926860570316
A2M,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.1851395974140069
A2ML1-AS1,erythrocyte,spleen,normal,3,3498,0.0857632933104631,1.501714797819104
A4GALT,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.2034630328749385
AAAS,erythrocyte,spleen,normal,4,3498,0.1143510577472841,1.242695717407097
AAGAB,erythrocyte,spleen,normal,9,3498,0.2572898799313894,1.4432146188669277
AAK1,erythrocyte,spleen,normal,8,3498,0.2287021154945683,1.45220180157212
AAMDC,erythrocyte,spleen,normal,48,3498,1.37221269296741,1.367320844706768
AAMP,erythrocyte,spleen,normal,6,3498,0.1715265866209262,1.3893778432016797
AARSD1,erythrocyte,spleen,normal,11,3498,0.3144654088050315,1.4831769372635897
AASDHPPT,erythrocyte,spleen,normal,17,3498,0.4859919954259576,1.3309241049548544
AATF,erythrocyte,spleen,normal,3,3498,0.0857632933104631,1.5133094515278944
ABAT,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.1117795893669828
ABCA1,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.1803531204786637
ABCA7,erythrocyte,spleen,normal,59,3498,1.6866781017724413,1.5668460077750903
ABCB10,erythrocyte,spleen,normal,206,3498,5.889079473985134,1.6556216617059722
ABCB4,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.4987291416717372
ABCB6,erythrocyte,spleen,normal,20,3498,0.5717552887364208,1.4596506342449085
ABCB7,erythrocyte,spleen,normal,7,3498,0.2001143510577473,1.424619877069116
ABCB8,erythrocyte,spleen,normal,23,3498,0.657518582046884,1.412466473351689
ABCB9,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.151783328529861
ABCC10,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.9593806698074987
ABCC13_ENSG00000243064,erythrocyte,spleen,normal,4,3498,0.1143510577472841,1.1823709542949374
ABCC3,erythrocyte,spleen,normal,1,3498,0.028587764436821,1.258001742209222
ABCC4,erythrocyte,spleen,normal,41,3498,1.1720983419096629,1.9140114144122955
ABCC5,erythrocyte,spleen,normal,13,3498,0.3716409376786735,1.272586863722441
ABCC5-AS1,erythrocyte,spleen,normal,2,3498,0.057175528873642,1.1128436881993793
ABCD4,erythrocyte,spleen,normal,14,3498,0.4002287021154946,1.2733603263664033
ABCE1,erythrocyte,spleen,normal,130,3498,3.716409376786736,1.2734600517006909
ABCF2,erythrocyte,spleen,normal,6,3498,0.1715265866209262,1.2590750430437838
ABCF3,erythrocyte,spleen,normal,14,3498,0.4002287021154946,1.5002097961501222
ABHD10,erythrocyte,spleen,normal,7,3498,0.2001143510577473,1.2680415630824309
ABHD11,erythrocyte,spleen,normal,4,3498,0.1143510577472841,1.4102545753320512
ABHD12,erythrocyte,spleen,normal,2,3498,0.057175528873642,1.3312809138283246
ABHD14A,erythrocyte,spleen,normal,7,3498,0.2001143510577473,1.4030068941395182
