gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,erythroid lineage cell,spleen,normal,9,3522,0.2555366269165247,1.7469103522421756
7SK_ENSG00000274303,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.6086926860570316
A2M,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.1851395974140069
A2ML1-AS1,erythroid lineage cell,spleen,normal,3,3522,0.0851788756388415,1.501714797819104
A4GALT,erythroid lineage cell,spleen,normal,3,3522,0.0851788756388415,1.2787349232111638
AAAS,erythroid lineage cell,spleen,normal,4,3522,0.1135718341851221,1.242695717407097
AAGAB,erythroid lineage cell,spleen,normal,11,3522,0.3123225440090857,1.4402949452579603
AAK1,erythroid lineage cell,spleen,normal,9,3522,0.2555366269165247,1.433960358298909
AAMDC,erythroid lineage cell,spleen,normal,52,3522,1.4764338444065872,1.375877111343541
AAMP,erythroid lineage cell,spleen,normal,6,3522,0.1703577512776831,1.3893778432016797
AARSD1,erythroid lineage cell,spleen,normal,12,3522,0.3407155025553662,1.483039960197173
AASDHPPT,erythroid lineage cell,spleen,normal,19,3522,0.5394662123793299,1.350564046240832
AATF,erythroid lineage cell,spleen,normal,3,3522,0.0851788756388415,1.5133094515278944
ABAT,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.1117795893669828
ABCA1,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.1803531204786637
ABCA7,erythroid lineage cell,spleen,normal,60,3522,1.7035775127768311,1.570099883784407
ABCB10,erythroid lineage cell,spleen,normal,211,3522,5.99091425326519,1.6527019964317131
ABCB4,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.4987291416717372
ABCB6,erythroid lineage cell,spleen,normal,20,3522,0.5678591709256104,1.4596506342449085
ABCB7,erythroid lineage cell,spleen,normal,7,3522,0.1987507098239636,1.424619877069116
ABCB8,erythroid lineage cell,spleen,normal,24,3522,0.6814310051107325,1.4111781134879218
ABCB9,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.151783328529861
ABCC10,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.5678592802311182
ABCC13_ENSG00000243064,erythroid lineage cell,spleen,normal,4,3522,0.1135718341851221,1.1823709542949374
ABCC3,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.258001742209222
ABCC4,erythroid lineage cell,spleen,normal,41,3522,1.1641113003975014,1.9140114144122955
ABCC5,erythroid lineage cell,spleen,normal,13,3522,0.3691084611016468,1.272586863722441
ABCC5-AS1,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.1128436881993793
ABCD4,erythroid lineage cell,spleen,normal,14,3522,0.3975014196479273,1.2733603263664033
ABCE1,erythroid lineage cell,spleen,normal,133,3522,3.7762634866553095,1.2728315925264682
ABCF2,erythroid lineage cell,spleen,normal,10,3522,0.2839295854628052,1.2867207894460004
ABCF3,erythroid lineage cell,spleen,normal,14,3522,0.3975014196479273,1.5002097961501222
ABHD10,erythroid lineage cell,spleen,normal,7,3522,0.1987507098239636,1.2680415630824309
ABHD11,erythroid lineage cell,spleen,normal,4,3522,0.1135718341851221,1.4102545753320512
ABHD12,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.3312809138283246
ABHD14A,erythroid lineage cell,spleen,normal,10,3522,0.2839295854628052,1.3525295897606064
ABHD14B,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.3561248101129773
ABHD15-AS1,erythroid lineage cell,spleen,normal,4,3522,0.1135718341851221,1.7330099739605898
ABHD16A,erythroid lineage cell,spleen,normal,7,3522,0.1987507098239636,1.4153316302429615
ABHD17A,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.1003067328909284
ABHD18,erythroid lineage cell,spleen,normal,3,3522,0.0851788756388415,1.323720582112931
ABHD2,erythroid lineage cell,spleen,normal,43,3522,1.2208972174900623,1.4094823309233582
ABHD3,erythroid lineage cell,spleen,normal,12,3522,0.3407155025553662,1.3735958665536874
ABHD4,erythroid lineage cell,spleen,normal,19,3522,0.5394662123793299,1.403553449704648
ABHD5,erythroid lineage cell,spleen,normal,71,3522,2.015900056785917,1.4911577655002115
ABHD6,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.454074132735921
ABHD8,erythroid lineage cell,spleen,normal,8,3522,0.2271436683702442,1.35837609753598
ABI1,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.3097728002767075
ABI2,erythroid lineage cell,spleen,normal,32,3522,0.9085746734809768,1.3771109378991813
ABITRAM,erythroid lineage cell,spleen,normal,7,3522,0.1987507098239636,1.399915411361839
ABR,erythroid lineage cell,spleen,normal,4,3522,0.1135718341851221,1.2143245444319195
ABRACL,erythroid lineage cell,spleen,normal,295,3522,8.375922771152753,1.3692333703702468
ABRAXAS1,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.238684237079311
ABT1,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.23695143682466
ABTB1,erythroid lineage cell,spleen,normal,25,3522,0.7098239636570131,1.3056900661914952
ABTB2,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.5723886905804985
ACAA1,erythroid lineage cell,spleen,normal,18,3522,0.5110732538330494,1.3306285480211442
ACAA2,erythroid lineage cell,spleen,normal,5,3522,0.1419647927314026,1.272461974762044
ACACA,erythroid lineage cell,spleen,normal,13,3522,0.3691084611016468,1.5028922585450262
ACACB,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.2258254997480664
ACAD10,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.2084747100270186
ACAD8,erythroid lineage cell,spleen,normal,4,3522,0.1135718341851221,1.4103897690445983
ACAD9,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.4160554116953874
ACAD9-DT,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.1818430096627974
ACADM,erythroid lineage cell,spleen,normal,1,3522,0.0283929585462805,1.3865430145434936
ACADS,erythroid lineage cell,spleen,normal,2,3522,0.056785917092561,1.4479075897014768
