gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AASDHPPT,eurydendroid cell,spleen,normal,1,1,100.0,1.2567539640658103
ABCE1,eurydendroid cell,spleen,normal,1,1,100.0,1.6268244548744737
ABRACL,eurydendroid cell,spleen,normal,1,1,100.0,2.413205141933693
ACAD8,eurydendroid cell,spleen,normal,1,1,100.0,1.2510688667602154
ACIN1,eurydendroid cell,spleen,normal,1,1,100.0,1.5139195659536662
ACP1,eurydendroid cell,spleen,normal,1,1,100.0,1.7170806226784865
ACTB,eurydendroid cell,spleen,normal,1,1,100.0,3.6823267976330327
ACTG1,eurydendroid cell,spleen,normal,1,1,100.0,1.4637007949455014
ACY1,eurydendroid cell,spleen,normal,1,1,100.0,1.3793114649731668
ACYP1,eurydendroid cell,spleen,normal,1,1,100.0,1.801763783801887
AGPAT3,eurydendroid cell,spleen,normal,1,1,100.0,1.451252256781004
AIF1,eurydendroid cell,spleen,normal,1,1,100.0,2.361868461867773
AKIP1,eurydendroid cell,spleen,normal,1,1,100.0,1.36190418770616
AKIRIN1,eurydendroid cell,spleen,normal,1,1,100.0,1.2376580117214282
AKR1B1,eurydendroid cell,spleen,normal,1,1,100.0,1.8071537135919284
AKT2,eurydendroid cell,spleen,normal,1,1,100.0,1.7425449789624392
ANAPC11,eurydendroid cell,spleen,normal,1,1,100.0,1.8277335091373468
ANKRD12,eurydendroid cell,spleen,normal,1,1,100.0,1.4394385267209653
ANP32B,eurydendroid cell,spleen,normal,1,1,100.0,1.7194661602501335
ANP32E,eurydendroid cell,spleen,normal,1,1,100.0,1.4394385267209653
ANXA4,eurydendroid cell,spleen,normal,1,1,100.0,1.6588774120486245
ANXA5,eurydendroid cell,spleen,normal,1,1,100.0,1.3957866871972084
AP2M1,eurydendroid cell,spleen,normal,1,1,100.0,1.4429590059547344
APBB3,eurydendroid cell,spleen,normal,1,1,100.0,1.4119783249961282
APOC1,eurydendroid cell,spleen,normal,1,1,100.0,3.453724451937304
ARF5,eurydendroid cell,spleen,normal,1,1,100.0,1.8811423537576963
ARL2,eurydendroid cell,spleen,normal,1,1,100.0,1.5843786253844236
ARL4A,eurydendroid cell,spleen,normal,1,1,100.0,1.320190765245892
ARL5A,eurydendroid cell,spleen,normal,1,1,100.0,1.6512614261270708
ARMC1,eurydendroid cell,spleen,normal,1,1,100.0,1.4472892321810509
ARMCX6,eurydendroid cell,spleen,normal,1,1,100.0,1.5972293948177672
ARPC3,eurydendroid cell,spleen,normal,1,1,100.0,2.552004008794264
ASAP1,eurydendroid cell,spleen,normal,1,1,100.0,1.687934108108941
ATF3,eurydendroid cell,spleen,normal,1,1,100.0,2.169341762298763
ATF5,eurydendroid cell,spleen,normal,1,1,100.0,1.568898558978174
ATF7IP,eurydendroid cell,spleen,normal,1,1,100.0,1.863388785800371
ATG12,eurydendroid cell,spleen,normal,1,1,100.0,1.363278155557931
ATG4B,eurydendroid cell,spleen,normal,1,1,100.0,1.6577841730445155
ATOX1,eurydendroid cell,spleen,normal,1,1,100.0,3.104722787937571
ATP1B3,eurydendroid cell,spleen,normal,1,1,100.0,1.7099727423628954
ATP5F1B,eurydendroid cell,spleen,normal,1,1,100.0,1.582423583303627
ATP5F1C,eurydendroid cell,spleen,normal,1,1,100.0,1.8361325347862747
ATP5F1D,eurydendroid cell,spleen,normal,1,1,100.0,2.2967509161564745
ATP5F1E,eurydendroid cell,spleen,normal,1,1,100.0,2.2385784821698467
ATP5MC1,eurydendroid cell,spleen,normal,1,1,100.0,2.4917853688122964
ATP5MC3,eurydendroid cell,spleen,normal,1,1,100.0,2.137274366579135
ATP5ME,eurydendroid cell,spleen,normal,1,1,100.0,3.969146568752081
ATP5MF,eurydendroid cell,spleen,normal,1,1,100.0,2.6093411412842418
ATP5MG,eurydendroid cell,spleen,normal,1,1,100.0,2.91702675792978
ATP5MJ,eurydendroid cell,spleen,normal,1,1,100.0,1.6721349779917245
ATP5PD,eurydendroid cell,spleen,normal,1,1,100.0,1.8194309365516008
ATP5PF,eurydendroid cell,spleen,normal,1,1,100.0,1.8071537135919284
ATP5PO,eurydendroid cell,spleen,normal,1,1,100.0,1.856116661590158
ATP6V1F,eurydendroid cell,spleen,normal,1,1,100.0,2.309627524198396
ATP6V1G1,eurydendroid cell,spleen,normal,1,1,100.0,1.904726807146109
B2M,eurydendroid cell,spleen,normal,1,1,100.0,3.265002937663157
BANF1,eurydendroid cell,spleen,normal,1,1,100.0,1.7767021840911488
BCAP31,eurydendroid cell,spleen,normal,1,1,100.0,1.5547107431283431
BCL10,eurydendroid cell,spleen,normal,1,1,100.0,1.1497221787672298
BCL2A1,eurydendroid cell,spleen,normal,1,1,100.0,1.6164704306727962
BLOC1S1,eurydendroid cell,spleen,normal,1,1,100.0,2.528077089652488
BLVRB,eurydendroid cell,spleen,normal,1,1,100.0,1.6133952029052012
BOLA2B,eurydendroid cell,spleen,normal,1,1,100.0,2.2400068856043043
BST2,eurydendroid cell,spleen,normal,1,1,100.0,1.5218737267410158
BTF3L4,eurydendroid cell,spleen,normal,1,1,100.0,1.5547107431283431
BTG1,eurydendroid cell,spleen,normal,1,1,100.0,1.1906164006125457
C12orf57,eurydendroid cell,spleen,normal,1,1,100.0,1.7779994747411614
C19orf53,eurydendroid cell,spleen,normal,1,1,100.0,2.607490293810917
C1D,eurydendroid cell,spleen,normal,1,1,100.0,1.555647061795466
C1QA,eurydendroid cell,spleen,normal,1,1,100.0,1.7296968096009495
C1QB,eurydendroid cell,spleen,normal,1,1,100.0,1.3463291131699031
C1QC,eurydendroid cell,spleen,normal,1,1,100.0,1.3056782222629728
C1orf43,eurydendroid cell,spleen,normal,1,1,100.0,1.2371062377246598
C4orf48,eurydendroid cell,spleen,normal,1,1,100.0,2.705244639453827
CAAP1,eurydendroid cell,spleen,normal,1,1,100.0,1.265972491137502
CAD,eurydendroid cell,spleen,normal,1,1,100.0,1.6501803711481542
CALM2,eurydendroid cell,spleen,normal,1,1,100.0,1.2951825663970986
CALM3,eurydendroid cell,spleen,normal,1,1,100.0,1.5209850393211344
CAP1,eurydendroid cell,spleen,normal,1,1,100.0,1.5795018522668416
CAPS2,eurydendroid cell,spleen,normal,1,1,100.0,1.2818808023906731
CBX3,eurydendroid cell,spleen,normal,1,1,100.0,1.4164702404719944
CCDC34,eurydendroid cell,spleen,normal,1,1,100.0,1.1530107920332766
CCL2,eurydendroid cell,spleen,normal,1,1,100.0,1.8759197063059585
CCL3,eurydendroid cell,spleen,normal,1,1,100.0,1.8924601259874256
CCL3L3,eurydendroid cell,spleen,normal,1,1,100.0,1.612373265223416
CCL4,eurydendroid cell,spleen,normal,1,1,100.0,2.999520086907756
CCL4L2,eurydendroid cell,spleen,normal,1,1,100.0,3.191092983055017
CCNL1,eurydendroid cell,spleen,normal,1,1,100.0,1.559405846584043
CCT5,eurydendroid cell,spleen,normal,1,1,100.0,1.6352242196384732
CD163,eurydendroid cell,spleen,normal,1,1,100.0,1.6982858610306275
CD164,eurydendroid cell,spleen,normal,1,1,100.0,1.156320330826987
CD300LF,eurydendroid cell,spleen,normal,1,1,100.0,1.1712340983698877
CD36,eurydendroid cell,spleen,normal,1,1,100.0,1.529027845603502
CD63,eurydendroid cell,spleen,normal,1,1,100.0,2.569514074291208
CD69,eurydendroid cell,spleen,normal,1,1,100.0,1.9950018904893343
CD81,eurydendroid cell,spleen,normal,1,1,100.0,1.505196168740342
CD99_ENSG00000002586,eurydendroid cell,spleen,normal,1,1,100.0,1.581448232349296
CDC37,eurydendroid cell,spleen,normal,1,1,100.0,1.637340639850786
CDIP1,eurydendroid cell,spleen,normal,1,1,100.0,1.5992287581980915
CDK19,eurydendroid cell,spleen,normal,1,1,100.0,1.3510259244466143
CDV3,eurydendroid cell,spleen,normal,1,1,100.0,1.5883061738346025
CETN3,eurydendroid cell,spleen,normal,1,1,100.0,1.5942416066529077
CFL1,eurydendroid cell,spleen,normal,1,1,100.0,1.5435788441018827
CHCHD10,eurydendroid cell,spleen,normal,1,1,100.0,1.997621896376592
CHCHD2,eurydendroid cell,spleen,normal,1,1,100.0,1.6534287193271977
CHCHD7,eurydendroid cell,spleen,normal,1,1,100.0,1.859016829538254
CHD6,eurydendroid cell,spleen,normal,1,1,100.0,1.1344941625041425
CHD9,eurydendroid cell,spleen,normal,1,1,100.0,1.4472892321810509
CHURC1,eurydendroid cell,spleen,normal,1,1,100.0,1.2454414170817625
CIAO2A,eurydendroid cell,spleen,normal,1,1,100.0,1.668796355960266
CIB1,eurydendroid cell,spleen,normal,1,1,100.0,1.498302472721129
CIR1,eurydendroid cell,spleen,normal,1,1,100.0,1.7327345793308897
CISD2,eurydendroid cell,spleen,normal,1,1,100.0,1.5463439780289974
CKS2,eurydendroid cell,spleen,normal,1,1,100.0,1.8098639317640075
CLEC7A,eurydendroid cell,spleen,normal,1,1,100.0,1.4225114060948607
CLIC1,eurydendroid cell,spleen,normal,1,1,100.0,2.184761686431723
CLIP2,eurydendroid cell,spleen,normal,1,1,100.0,1.566988964472481
CLNS1A,eurydendroid cell,spleen,normal,1,1,100.0,1.6959720034879866
