gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,fibroblast,spleen,normal,41,34458,0.1189854315398456,1.1877324293082032
A1BG-AS1,fibroblast,spleen,normal,3,34458,0.0087062510882813,1.1960334490931483
A2M,fibroblast,spleen,normal,18296,34458,53.09652330373208,1.9369549050576296
A2ML1,fibroblast,spleen,normal,13,34458,0.0377270880492193,1.5834051950729575
A2ML1-AS1,fibroblast,spleen,normal,1,34458,0.0029020836960937,1.2428169138395115
A4GALT,fibroblast,spleen,normal,5,34458,0.0145104184804689,1.1554178248406246
AAAS,fibroblast,spleen,normal,219,34458,0.6355563294445411,1.2386950601676228
AACS,fibroblast,spleen,normal,22,34458,0.0638458413140635,1.1989600015884507
AADAT,fibroblast,spleen,normal,58,34458,0.1683208543734401,1.2595146463436888
AAGAB,fibroblast,spleen,normal,225,34458,0.652968831621104,1.2777342351152905
AAK1,fibroblast,spleen,normal,2125,34458,6.166927854199315,1.3754517343020338
AAMDC,fibroblast,spleen,normal,9503,34458,27.57850136397933,1.51457477937283
AAMP,fibroblast,spleen,normal,1510,34458,4.382146381101631,1.2742814234195767
AANAT,fibroblast,spleen,normal,2,34458,0.0058041673921875,1.229489761411986
AAR2,fibroblast,spleen,normal,9,34458,0.0261187532648441,1.22486432829307
AARD,fibroblast,spleen,normal,10,34458,0.0290208369609379,1.2787851369635914
AARS1,fibroblast,spleen,normal,3,34458,0.0087062510882813,1.1226151966283051
AARS2,fibroblast,spleen,normal,3,34458,0.0087062510882813,1.3250425469847569
AARSD1,fibroblast,spleen,normal,1192,34458,3.4592837657438045,1.3986799976880615
AASDH,fibroblast,spleen,normal,7,34458,0.0203145858726565,1.293720942101375
AASDHPPT,fibroblast,spleen,normal,2991,34458,8.680132335016543,1.3303735589128982
AASS,fibroblast,spleen,normal,1,34458,0.0029020836960937,1.2913902677787712
AATF,fibroblast,spleen,normal,69,34458,0.2002437750304718,1.1844857181327322
AATK,fibroblast,spleen,normal,80,34458,0.2321666956875036,1.3018848906402374
ABAT,fibroblast,spleen,normal,20,34458,0.0580416739218759,1.266827852507428
ABCA1,fibroblast,spleen,normal,597,34458,1.7325439665679958,1.3550748654399238
ABCA10,fibroblast,spleen,normal,6,34458,0.0174125021765627,1.314053964949209
ABCA2,fibroblast,spleen,normal,404,34458,1.1724418132218934,1.3287895502453193
ABCA4,fibroblast,spleen,normal,8,34458,0.0232166695687503,1.5875906905916493
ABCA5,fibroblast,spleen,normal,9,34458,0.0261187532648441,1.2110429007529022
ABCA6,fibroblast,spleen,normal,3,34458,0.0087062510882813,1.4593840137069896
