gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,follicular B cell,spleen,normal,1,15147,0.0066019673862811,1.3412297800721409
A1BG-AS1,follicular B cell,spleen,normal,24,15147,0.1584472172707466,1.2647881531678162
A2M,follicular B cell,spleen,normal,8,15147,0.0528157390902488,1.4038988562406896
A2M-AS1,follicular B cell,spleen,normal,4,15147,0.0264078695451244,1.3102336072793084
A2ML1,follicular B cell,spleen,normal,6,15147,0.0396118043176866,1.4253092066701605
A4GALT,follicular B cell,spleen,normal,3,15147,0.0198059021588433,1.1935981747809885
AAAS,follicular B cell,spleen,normal,100,15147,0.6601967386281111,1.3417576148773112
AACS,follicular B cell,spleen,normal,14,15147,0.0924275434079355,1.356929643728684
AAGAB,follicular B cell,spleen,normal,315,15147,2.0796197266785503,1.3994429980822125
AAK1,follicular B cell,spleen,normal,255,15147,1.6835016835016834,1.504865697517735
AAMDC,follicular B cell,spleen,normal,284,15147,1.874958737703836,1.5503900360144232
AAMP,follicular B cell,spleen,normal,384,15147,2.535155476331947,1.324411219111344
AANAT,follicular B cell,spleen,normal,1,15147,0.0066019673862811,1.116818850175434
AAR2,follicular B cell,spleen,normal,6,15147,0.0396118043176866,1.1415081671040712
AARD,follicular B cell,spleen,normal,1,15147,0.0066019673862811,1.2161624511843854
AARS1,follicular B cell,spleen,normal,3,15147,0.0198059021588433,1.1937338855298925
AARS2,follicular B cell,spleen,normal,3,15147,0.0198059021588433,1.3075999490822678
AARSD1,follicular B cell,spleen,normal,469,15147,3.096322704165841,1.5009539756633448
AASDH,follicular B cell,spleen,normal,17,15147,0.1122334455667789,1.2830566720697238
AASDHPPT,follicular B cell,spleen,normal,378,15147,2.4955436720142603,1.3768002253748828
AASS,follicular B cell,spleen,normal,4,15147,0.0264078695451244,1.1765094312903157
AATF,follicular B cell,spleen,normal,115,15147,0.7592262494223279,1.2714385468886285
