gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.1391500934124394
A1BG-AS1,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.1004758289645462
A2M,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.733422175988364
AAGAB,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.4011314167461606
AAK1,fraction A pre-pro B cell,spleen,normal,5,278,1.7985611510791366,1.2781263545786177
AAMDC,fraction A pre-pro B cell,spleen,normal,16,278,5.755395683453238,1.2402755181156773
AAMP,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.124863204224058
AARSD1,fraction A pre-pro B cell,spleen,normal,4,278,1.4388489208633095,1.4438862132658812
AASDHPPT,fraction A pre-pro B cell,spleen,normal,7,278,2.5179856115107917,1.3122517716960185
ABCA7,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.5508015083666638
ABCB1,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.146125222484314
ABCB10,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.5711611969672576
ABCB7,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.152850236327891
ABCB8,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.3340340410350229
ABCD1,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.1727099029591028
ABCD4,fraction A pre-pro B cell,spleen,normal,7,278,2.5179856115107917,1.340482088715237
ABCE1,fraction A pre-pro B cell,spleen,normal,37,278,13.309352517985612,1.2962016652524575
ABCF2,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.235009040271791
ABHD11,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.2398221159306138
ABHD12,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.1598979747203553
ABHD14B,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.380635872034019
ABHD16A,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.1191240419405293
ABHD2,fraction A pre-pro B cell,spleen,normal,4,278,1.4388489208633095,1.3063719453439204
ABHD3,fraction A pre-pro B cell,spleen,normal,11,278,3.956834532374101,1.231491258062291
ABHD5,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.2122705399272051
ABHD8,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.4705026223073836
ABI2,fraction A pre-pro B cell,spleen,normal,4,278,1.4388489208633095,1.1867940372743118
ABITRAM,fraction A pre-pro B cell,spleen,normal,4,278,1.4388489208633095,1.2567812837677987
ABRACL,fraction A pre-pro B cell,spleen,normal,224,278,80.57553956834532,1.6533975457728114
ABTB1,fraction A pre-pro B cell,spleen,normal,3,278,1.079136690647482,1.322759756032982
ACAA1,fraction A pre-pro B cell,spleen,normal,16,278,5.755395683453238,1.2227443258186617
ACAA2,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.1760015967066506
ACAD10,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.197722875860355
ACADVL,fraction A pre-pro B cell,spleen,normal,22,278,7.913669064748201,1.3521383988078028
ACAP1,fraction A pre-pro B cell,spleen,normal,45,278,16.18705035971223,1.4607766828018751
ACAP2,fraction A pre-pro B cell,spleen,normal,24,278,8.633093525179856,1.3862031706391946
ACAT1,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.1339973737734357
ACAT2,fraction A pre-pro B cell,spleen,normal,3,278,1.079136690647482,1.457805916342121
ACD,fraction A pre-pro B cell,spleen,normal,2,278,0.7194244604316548,1.1380417851010658
ACIN1,fraction A pre-pro B cell,spleen,normal,29,278,10.431654676258994,1.3175245750003648
ACOT8,fraction A pre-pro B cell,spleen,normal,3,278,1.079136690647482,1.2759264538441524
ACOX1,fraction A pre-pro B cell,spleen,normal,13,278,4.676258992805756,1.407024080572132
ACP1,fraction A pre-pro B cell,spleen,normal,146,278,52.51798561151079,1.4448540004308503
ACP5,fraction A pre-pro B cell,spleen,normal,1,278,0.3597122302158274,1.1095766301372416
ACRBP,fraction A pre-pro B cell,spleen,normal,3,278,1.079136690647482,1.8010123707390673
