gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,gamma-delta T cell,spleen,normal,38,3447,1.1024078909196402,1.2690278462965592
A1BG-AS1,gamma-delta T cell,spleen,normal,8,3447,0.2320858717725558,1.3949016506206384
A2M,gamma-delta T cell,spleen,normal,164,3447,4.757760371337395,1.662082601361479
A2M-AS1,gamma-delta T cell,spleen,normal,97,3447,2.81404119524224,1.3633571032333316
A2ML1-AS1,gamma-delta T cell,spleen,normal,3,3447,0.0870322019147084,1.6816375215894146
AAAS,gamma-delta T cell,spleen,normal,31,3447,0.899332753118654,1.4364110820785132
AACS,gamma-delta T cell,spleen,normal,2,3447,0.0580214679431389,1.578108202618234
AAGAB,gamma-delta T cell,spleen,normal,150,3447,4.351610095735422,1.408148979971026
AAK1,gamma-delta T cell,spleen,normal,1039,3447,30.14215259646069,1.5736471082232626
AAMDC,gamma-delta T cell,spleen,normal,107,3447,3.1041485349579343,1.6966740325157044
AAMP,gamma-delta T cell,spleen,normal,126,3447,3.655352480417754,1.447234861050246
AANAT,gamma-delta T cell,spleen,normal,1,3447,0.0290107339715694,1.349911439878569
AAR2,gamma-delta T cell,spleen,normal,10,3447,0.2901073397156948,1.3194890985276395
AARD,gamma-delta T cell,spleen,normal,4,3447,0.1160429358862779,1.4033935704634262
AARS1,gamma-delta T cell,spleen,normal,7,3447,0.2030751378009863,1.2538036349339614
AARS2,gamma-delta T cell,spleen,normal,3,3447,0.0870322019147084,1.280803919334568
AARSD1,gamma-delta T cell,spleen,normal,228,3447,6.614447345517842,1.5226052173179316
AASDH,gamma-delta T cell,spleen,normal,21,3447,0.6092254134029591,1.2554705848954393
AASDHPPT,gamma-delta T cell,spleen,normal,187,3447,5.425007252683493,1.4792984232136168
AASS,gamma-delta T cell,spleen,normal,1,3447,0.0290107339715694,1.142759962700563
AATF,gamma-delta T cell,spleen,normal,102,3447,2.959094865100087,1.3349016004928091
AATK,gamma-delta T cell,spleen,normal,11,3447,0.3191180736872643,1.2381578213310975
ABALON,gamma-delta T cell,spleen,normal,1,3447,0.0290107339715694,1.5320847762201484
ABAT,gamma-delta T cell,spleen,normal,27,3447,0.7832898172323759,1.4268054799511471
ABCA1,gamma-delta T cell,spleen,normal,18,3447,0.5221932114882507,1.5025994714876734
ABCA10,gamma-delta T cell,spleen,normal,2,3447,0.0580214679431389,1.6163711781095205
ABCA2,gamma-delta T cell,spleen,normal,196,3447,5.686103858427619,1.4351828682593095
ABCA3,gamma-delta T cell,spleen,normal,3,3447,0.0870322019147084,1.2818721991616608
ABCA5,gamma-delta T cell,spleen,normal,64,3447,1.8566869741804468,1.4069697355077335
ABCA7,gamma-delta T cell,spleen,normal,192,3447,5.57006092254134,1.545472615152586
ABCB1,gamma-delta T cell,spleen,normal,574,3447,16.65216129968088,1.5615159253613362
ABCB10,gamma-delta T cell,spleen,normal,44,3447,1.2764722947490572,1.3897472645822722
ABCB4,gamma-delta T cell,spleen,normal,1,3447,0.0290107339715694,1.3641719456739203
ABCB6,gamma-delta T cell,spleen,normal,16,3447,0.4641717435451117,1.3281534123706196
ABCB7,gamma-delta T cell,spleen,normal,24,3447,0.6962576153176675,1.338364860895453
ABCB8,gamma-delta T cell,spleen,normal,120,3447,3.4812880765883376,1.4462633187183376
ABCB9,gamma-delta T cell,spleen,normal,2,3447,0.0580214679431389,1.340721218341209
ABCC1,gamma-delta T cell,spleen,normal,23,3447,0.6672468813460981,1.266279876537285
ABCC10,gamma-delta T cell,spleen,normal,140,3447,4.061502756019728,1.4937751412695224
ABCC2,gamma-delta T cell,spleen,normal,3,3447,0.0870322019147084,1.3422674391395153
ABCC3,gamma-delta T cell,spleen,normal,2,3447,0.0580214679431389,1.6805120996355007
ABCC4,gamma-delta T cell,spleen,normal,4,3447,0.1160429358862779,1.289273747607561
ABCC5,gamma-delta T cell,spleen,normal,23,3447,0.6672468813460981,1.4272645694476112
ABCC6,gamma-delta T cell,spleen,normal,1,3447,0.0290107339715694,1.2466967272207257
ABCD1,gamma-delta T cell,spleen,normal,36,3447,1.0443864229765014,1.3507290611387737
ABCD3,gamma-delta T cell,spleen,normal,2,3447,0.0580214679431389,1.209292991006783
ABCD4,gamma-delta T cell,spleen,normal,233,3447,6.759501015375689,1.4489198937493215
ABCE1,gamma-delta T cell,spleen,normal,466,3447,13.51900203075138,1.531445852322428
ABCF1,gamma-delta T cell,spleen,normal,74,3447,2.1467943138961414,1.3017997793521443
ABCF2,gamma-delta T cell,spleen,normal,186,3447,5.395996518711923,1.3882875924046305
ABCF3,gamma-delta T cell,spleen,normal,277,3447,8.035973310124746,1.513509138584438
ABCG1,gamma-delta T cell,spleen,normal,14,3447,0.4061502756019727,1.290834330519708
ABHD1,gamma-delta T cell,spleen,normal,7,3447,0.2030751378009863,1.3677049343328356
ABHD10,gamma-delta T cell,spleen,normal,181,3447,5.250942848854076,1.3687360529711672
