gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.1335288595231332
AAAS,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.182099837505272
AACS,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.4923039940455256
AAGAB,germinal center B cell,spleen,normal,8,138,5.797101449275362,1.4221700184409791
AAK1,germinal center B cell,spleen,normal,2,138,1.4492753623188406,1.5722471012596009
AAMDC,germinal center B cell,spleen,normal,2,138,1.4492753623188406,2.103003182075001
AAMP,germinal center B cell,spleen,normal,6,138,4.3478260869565215,1.5454417156827531
AARS1,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.2398640843254731
AARSD1,germinal center B cell,spleen,normal,7,138,5.072463768115942,1.557377080323145
AASDHPPT,germinal center B cell,spleen,normal,5,138,3.6231884057971016,1.483072998173182
AATF,germinal center B cell,spleen,normal,5,138,3.6231884057971016,1.4755469674618205
ABAT,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.1849564977807563
ABCA1,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.3556963987401265
ABCA5,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.6285024441466267
ABCA7,germinal center B cell,spleen,normal,3,138,2.1739130434782608,1.3165645175444047
ABCB6,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.1438406071118463
ABCB7,germinal center B cell,spleen,normal,2,138,1.4492753623188406,1.625168161286592
ABCB8,germinal center B cell,spleen,normal,2,138,1.4492753623188406,1.390164936480352
ABCC1,germinal center B cell,spleen,normal,2,138,1.4492753623188406,1.1587295462569054
ABCD4,germinal center B cell,spleen,normal,5,138,3.6231884057971016,1.4506999199260586
ABCE1,germinal center B cell,spleen,normal,18,138,13.043478260869565,1.565991032709139
ABCF1,germinal center B cell,spleen,normal,4,138,2.898550724637681,1.3422943694563128
ABCF2,germinal center B cell,spleen,normal,8,138,5.797101449275362,1.5280953247954938
ABCF3,germinal center B cell,spleen,normal,5,138,3.6231884057971016,1.5662202056122545
ABHD10,germinal center B cell,spleen,normal,8,138,5.797101449275362,1.5504033188898154
ABHD11,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.3028799460668077
ABHD12,germinal center B cell,spleen,normal,2,138,1.4492753623188406,1.309135301115916
ABHD14B,germinal center B cell,spleen,normal,6,138,4.3478260869565215,1.2915402678069043
ABHD16A,germinal center B cell,spleen,normal,3,138,2.1739130434782608,1.3567866891277185
ABHD18,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.6511938455883446
ABHD2,germinal center B cell,spleen,normal,2,138,1.4492753623188406,2.0267293832510216
ABHD3,germinal center B cell,spleen,normal,6,138,4.3478260869565215,1.6435321860360093
ABHD4,germinal center B cell,spleen,normal,3,138,2.1739130434782608,1.5982842010742992
ABHD5,germinal center B cell,spleen,normal,2,138,1.4492753623188406,1.5767913162288316
ABHD6,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.3408668457709874
ABHD8,germinal center B cell,spleen,normal,5,138,3.6231884057971016,1.7120708156439464
ABI1,germinal center B cell,spleen,normal,3,138,2.1739130434782608,1.3358269263943647
ABI2,germinal center B cell,spleen,normal,7,138,5.072463768115942,1.6211823678032768
ABI3,germinal center B cell,spleen,normal,11,138,7.971014492753622,1.4595245321086805
ABITRAM,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.3782113042035022
ABLIM1,germinal center B cell,spleen,normal,4,138,2.898550724637681,1.319941572497764
ABR,germinal center B cell,spleen,normal,7,138,5.072463768115942,1.5972228589157618
ABRACL,germinal center B cell,spleen,normal,60,138,43.47826086956522,1.7401541311547646
ABRAXAS1,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.295885081501056
ABT1,germinal center B cell,spleen,normal,3,138,2.1739130434782608,1.2225924826001886
ABTB1,germinal center B cell,spleen,normal,4,138,2.898550724637681,1.873640863146244
ACAA1,germinal center B cell,spleen,normal,9,138,6.521739130434782,1.450272830514126
ACAA2,germinal center B cell,spleen,normal,7,138,5.072463768115942,1.3653472612917716
ACACA,germinal center B cell,spleen,normal,5,138,3.6231884057971016,1.4413991937911257
ACAD10,germinal center B cell,spleen,normal,1,138,0.7246376811594203,1.9804477780393523
