gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAGAB,granulocyte monocyte progenitor cell,spleen,normal,2,116,1.7241379310344829,1.3354892668670058
AAK1,granulocyte monocyte progenitor cell,spleen,normal,3,116,2.586206896551724,1.4508048414384105
AAMDC,granulocyte monocyte progenitor cell,spleen,normal,3,116,2.586206896551724,1.477024357482404
AAMP,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.2215650866494103
AARSD1,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.1840893824867456
ABCB10,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.4855669654127828
ABCB8,granulocyte monocyte progenitor cell,spleen,normal,3,116,2.586206896551724,1.3852531719180066
ABCE1,granulocyte monocyte progenitor cell,spleen,normal,4,116,3.4482758620689653,1.4110893440408403
ABHD10,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.1307202161362129
ABHD12,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.2006900962569012
ABHD14A,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.3949364536911943
ABHD2,granulocyte monocyte progenitor cell,spleen,normal,3,116,2.586206896551724,1.21371777823974
ABHD3,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.1872077936572885
ABI2,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.214252178036345
ABR,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.2579828062541631
ABRACL,granulocyte monocyte progenitor cell,spleen,normal,61,116,52.58620689655172,1.5168122774050354
ACAA1,granulocyte monocyte progenitor cell,spleen,normal,2,116,1.7241379310344829,1.2420146328872137
ACACA,granulocyte monocyte progenitor cell,spleen,normal,2,116,1.7241379310344829,1.2582996168577112
ACADVL,granulocyte monocyte progenitor cell,spleen,normal,15,116,12.93103448275862,1.338396977968178
ACAP1,granulocyte monocyte progenitor cell,spleen,normal,6,116,5.172413793103448,1.6121240477535508
ACAP2,granulocyte monocyte progenitor cell,spleen,normal,11,116,9.482758620689657,1.5548415109256095
ACAP3,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.206248225390309
ACAT1,granulocyte monocyte progenitor cell,spleen,normal,2,116,1.7241379310344829,1.2635727249488538
ACAT2,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.1160227793173367
ACIN1,granulocyte monocyte progenitor cell,spleen,normal,4,116,3.4482758620689653,1.4079438121245984
ACOX1,granulocyte monocyte progenitor cell,spleen,normal,3,116,2.586206896551724,1.4614962914104357
ACOX2,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.4344931091684956
ACP1,granulocyte monocyte progenitor cell,spleen,normal,30,116,25.86206896551724,1.3213845304513532
ACP3,granulocyte monocyte progenitor cell,spleen,normal,2,116,1.7241379310344829,1.413223417817896
ACRBP,granulocyte monocyte progenitor cell,spleen,normal,2,116,1.7241379310344829,1.3142096179002671
ACSM3,granulocyte monocyte progenitor cell,spleen,normal,3,116,2.586206896551724,1.3043180420526312
ACSS2,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.113125276906707
ACTB,granulocyte monocyte progenitor cell,spleen,normal,116,116,100.0,3.357078183042641
ACTG1,granulocyte monocyte progenitor cell,spleen,normal,115,116,99.13793103448276,2.370021896520509
ACTL6A,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.1988245646537126
ACTN4,granulocyte monocyte progenitor cell,spleen,normal,2,116,1.7241379310344829,1.3281781427402892
ACTR10,granulocyte monocyte progenitor cell,spleen,normal,4,116,3.4482758620689653,1.2502141059648824
ACTR2,granulocyte monocyte progenitor cell,spleen,normal,22,116,18.96551724137931,1.3036887405538755
ACTR3,granulocyte monocyte progenitor cell,spleen,normal,31,116,26.72413793103448,1.3971082662128262
ACY3,granulocyte monocyte progenitor cell,spleen,normal,3,116,2.586206896551724,1.284470455725237
ACYP1,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.212685209388917
ADA,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.6346194049900578
ADAM10,granulocyte monocyte progenitor cell,spleen,normal,4,116,3.4482758620689653,1.4834727457009704
ADAM15,granulocyte monocyte progenitor cell,spleen,normal,4,116,3.4482758620689653,1.2270309747706778
ADAM8,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.408782704606704
ADAP1,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.2574187641941974
ADD3,granulocyte monocyte progenitor cell,spleen,normal,5,116,4.310344827586207,1.5022116526466258
ADGRA3,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.5927332576660609
ADGRE5,granulocyte monocyte progenitor cell,spleen,normal,8,116,6.896551724137931,1.573862178151913
ADH5,granulocyte monocyte progenitor cell,spleen,normal,6,116,5.172413793103448,1.3654288214244694
ADIPOR2,granulocyte monocyte progenitor cell,spleen,normal,5,116,4.310344827586207,1.4546559393290417
ADISSP,granulocyte monocyte progenitor cell,spleen,normal,48,116,41.37931034482759,1.4449633235125574
ADM,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.4365123078375484
ADNP2,granulocyte monocyte progenitor cell,spleen,normal,4,116,3.4482758620689653,1.3538818561468589
ADORA2A,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.6214325789279664
ADPRM,granulocyte monocyte progenitor cell,spleen,normal,1,116,0.8620689655172413,1.129721105630646
ADSS2,granulocyte monocyte progenitor cell,spleen,normal,7,116,6.0344827586206895,1.2339410791575902
