gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,granulocyte,spleen,normal,5,15146,0.0330120163739601,3.273495461408782
7SK_ENSG00000202198,granulocyte,spleen,normal,303,15146,2.0005281922619838,1.987641233158288
7SK_ENSG00000274303,granulocyte,spleen,normal,1,15146,0.006602403274792,2.462380433932442
A1BG-AS1,granulocyte,spleen,normal,3,15146,0.019807209824376,1.2537847667370592
A2M,granulocyte,spleen,normal,96,15146,0.6338307143800344,1.634175811293738
A2M-AS1,granulocyte,spleen,normal,1,15146,0.006602403274792,1.979749654305855
A2ML1,granulocyte,spleen,normal,19,15146,0.1254456622210484,1.6093871131776307
A2ML1-AS1,granulocyte,spleen,normal,99,15146,0.6536379242044104,1.8448062616776304
A3GALT2,granulocyte,spleen,normal,388,15146,2.561732470619305,1.3927368354912355
AAAS,granulocyte,spleen,normal,10,15146,0.0660240327479202,1.1665062410597329
AACS,granulocyte,spleen,normal,6,15146,0.0396144196487521,1.2277479175253634
AACSP1_ENSG00000250420,granulocyte,spleen,normal,23,15146,0.1518552753202165,1.3328936159862494
AADAC,granulocyte,spleen,normal,2,15146,0.013204806549584,1.4415096517121828
AADACL2-AS1,granulocyte,spleen,normal,234,15146,1.5449623663013337,1.9012339633425128
AAGAB,granulocyte,spleen,normal,386,15146,2.5485276640697214,1.4727023895816425
AAK1,granulocyte,spleen,normal,3382,15146,22.329327875346628,1.6878780020795323
AAMDC,granulocyte,spleen,normal,255,15146,1.683612835071966,1.5887425676815614
AAMP,granulocyte,spleen,normal,64,15146,0.4225538095866895,1.2289980452420113
AANAT,granulocyte,spleen,normal,9,15146,0.0594216294731282,1.2540925317012055
AAR2,granulocyte,spleen,normal,3,15146,0.019807209824376,1.2202636893841348
AARD,granulocyte,spleen,normal,2,15146,0.013204806549584,1.173967120202518
AARSD1,granulocyte,spleen,normal,22,15146,0.1452528720454245,1.3495484599443417
AASDH,granulocyte,spleen,normal,4,15146,0.026409613099168,1.141688775502944
AASDHPPT,granulocyte,spleen,normal,122,15146,0.8054931995246271,1.2919478645891824
AATBC,granulocyte,spleen,normal,1,15146,0.006602403274792,1.1281383721168827
AATF,granulocyte,spleen,normal,652,15146,4.304766935164399,1.4114476339434652
AATK,granulocyte,spleen,normal,6021,15146,39.753070117522775,1.65967694763384
ABAT,granulocyte,spleen,normal,1265,15146,8.35204014261191,1.567716731774354
ABCA1,granulocyte,spleen,normal,8011,15146,52.891852634358905,1.9859450640549936
ABCA10,granulocyte,spleen,normal,45,15146,0.2971081473656411,1.35834774702246
ABCA11P,granulocyte,spleen,normal,1,15146,0.006602403274792,1.1338242446888578
ABCA13,granulocyte,spleen,normal,738,15146,4.872573616796514,2.261493946965712
ABCA15P,granulocyte,spleen,normal,2,15146,0.013204806549584,1.3164902307583202
ABCA17P,granulocyte,spleen,normal,13,15146,0.0858312425722963,1.7270042165457271
ABCA2,granulocyte,spleen,normal,283,15146,1.8684801267661428,1.3671197831044308
ABCA3,granulocyte,spleen,normal,1,15146,0.006602403274792,1.129184793009366
ABCA3P1,granulocyte,spleen,normal,1,15146,0.006602403274792,1.1925838845927397
ABCA4,granulocyte,spleen,normal,10,15146,0.0660240327479202,1.4163993156241008
ABCA5,granulocyte,spleen,normal,180,15146,1.1884325894625645,1.4071039186053949
ABCA6,granulocyte,spleen,normal,3,15146,0.019807209824376,1.2259474343805936
ABCA7,granulocyte,spleen,normal,1798,15146,11.87112108807606,1.594927137941622
ABCA8,granulocyte,spleen,normal,35,15146,0.2310841146177208,1.2198608149996728
ABCA9,granulocyte,spleen,normal,10,15146,0.0660240327479202,1.33257647956208
ABCA9-AS1,granulocyte,spleen,normal,3,15146,0.019807209824376,1.7308083350634818
ABCB1,granulocyte,spleen,normal,258,15146,1.703420044896342,1.5450585383071929
ABCB10,granulocyte,spleen,normal,182,15146,1.2016373960121485,1.4457983583391982
