gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,group 3 innate lymphoid cell,spleen,normal,4,1583,0.2526847757422615,1.2085018992702297
A1BG-AS1,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,1.1699103391014365
A2M,group 3 innate lymphoid cell,spleen,normal,8,1583,0.505369551484523,1.4371846468553364
A2ML1-AS1,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,2.359911607945498
AAAS,group 3 innate lymphoid cell,spleen,normal,1,1583,0.0631711939355653,1.1199974433643336
AAGAB,group 3 innate lymphoid cell,spleen,normal,37,1583,2.337334175615919,1.3534893992124422
AAK1,group 3 innate lymphoid cell,spleen,normal,429,1583,27.10044219835755,1.5287899174417148
AAMDC,group 3 innate lymphoid cell,spleen,normal,83,1583,5.243209096651927,1.417555308313316
AAMP,group 3 innate lymphoid cell,spleen,normal,19,1583,1.2002526847757422,1.2423123134417593
AARS1,group 3 innate lymphoid cell,spleen,normal,1,1583,0.0631711939355653,1.2287673189923172
AARSD1,group 3 innate lymphoid cell,spleen,normal,76,1583,4.801010739102969,1.4197274733458978
AASDH,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,1.4123776631314582
AASDHPPT,group 3 innate lymphoid cell,spleen,normal,79,1583,4.990524320909665,1.352845320045262
AATF,group 3 innate lymphoid cell,spleen,normal,4,1583,0.2526847757422615,1.2497779078582183
AATK,group 3 innate lymphoid cell,spleen,normal,18,1583,1.137081490840177,1.304437111617286
ABAT,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,1.22483451668297
ABCA1,group 3 innate lymphoid cell,spleen,normal,31,1583,1.9583070120025268,1.481795743894211
ABCA10,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,1.1777323436499407
ABCA2,group 3 innate lymphoid cell,spleen,normal,51,1583,3.2217308907138342,1.388281190885697
ABCA5,group 3 innate lymphoid cell,spleen,normal,11,1583,0.6948831332912192,1.2606586291599748
ABCA6,group 3 innate lymphoid cell,spleen,normal,1,1583,0.0631711939355653,1.9028807005725477
ABCA7,group 3 innate lymphoid cell,spleen,normal,53,1583,3.3480732785849656,1.4618610430971173
ABCB1,group 3 innate lymphoid cell,spleen,normal,106,1583,6.696146557169931,1.4255787396020956
ABCB10,group 3 innate lymphoid cell,spleen,normal,13,1583,0.82122552116235,1.3488303523645313
ABCB5,group 3 innate lymphoid cell,spleen,normal,3,1583,0.1895135818066961,1.2470122540211033
ABCB6,group 3 innate lymphoid cell,spleen,normal,5,1583,0.3158559696778269,1.3838643966880038
ABCB7,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,1.325257124872791
ABCB8,group 3 innate lymphoid cell,spleen,normal,43,1583,2.7163613392293118,1.3844613114513984
ABCC1,group 3 innate lymphoid cell,spleen,normal,6,1583,0.3790271636133923,1.240230569459331
ABCC10,group 3 innate lymphoid cell,spleen,normal,24,1583,1.5161086544535691,1.352328013270203
ABCC2,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,1.3259115602296143
ABCC3,group 3 innate lymphoid cell,spleen,normal,1,1583,0.0631711939355653,1.34374026604362
ABCC4,group 3 innate lymphoid cell,spleen,normal,2,1583,0.1263423878711307,1.3508231675687237
