gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAGAB,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.1175688041575185
AAK1,hematopoietic multipotent progenitor cell,spleen,normal,5,175,2.857142857142857,1.190655919455517
AAMDC,hematopoietic multipotent progenitor cell,spleen,normal,12,175,6.857142857142858,1.281320670780579
AAMP,hematopoietic multipotent progenitor cell,spleen,normal,3,175,1.7142857142857144,1.305606216827849
AARSD1,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.198468407545139
AASDHPPT,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.2286574869549218
AATK,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.223681460481385
ABCA1,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.502128354436569
ABCA7,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.33058204487226
ABCA9-AS1,hematopoietic multipotent progenitor cell,spleen,normal,6,175,3.428571428571429,1.9116219439169064
ABCB1,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.1973256948143984
ABCB8,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.2384938939866104
ABCD4,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.3891374541057884
ABCE1,hematopoietic multipotent progenitor cell,spleen,normal,15,175,8.571428571428571,1.409879714015092
ABCF2,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.2924080876049986
ABHD10,hematopoietic multipotent progenitor cell,spleen,normal,6,175,3.428571428571429,1.2300588507779433
ABHD11,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.355522373165783
ABHD12,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.3239931482765104
ABHD14A,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.129787332810191
ABHD14B,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.404975716315347
ABHD16A,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.368744976329518
ABHD2,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.4113336862946395
ABHD3,hematopoietic multipotent progenitor cell,spleen,normal,10,175,5.714285714285714,1.4699389923703976
ABHD4,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.470913949686906
ABHD5,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.2637281297396874
ABHD8,hematopoietic multipotent progenitor cell,spleen,normal,9,175,5.142857142857142,1.4599403048647557
ABI2,hematopoietic multipotent progenitor cell,spleen,normal,7,175,4.0,1.4765357756711452
ABITRAM,hematopoietic multipotent progenitor cell,spleen,normal,5,175,2.857142857142857,1.265370806273845
ABR,hematopoietic multipotent progenitor cell,spleen,normal,9,175,5.142857142857142,1.2696303107496536
ABRACL,hematopoietic multipotent progenitor cell,spleen,normal,116,175,66.28571428571428,1.6272452974407443
ABTB1,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.2645724151198685
ACAA1,hematopoietic multipotent progenitor cell,spleen,normal,7,175,4.0,1.3054802004697472
ACACA,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.1277534914384988
ACAD10,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.2376981047891773
ACAD8,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.2907127134374272
ACADSB,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.1194448968208424
ACADVL,hematopoietic multipotent progenitor cell,spleen,normal,16,175,9.142857142857142,1.3300664374387428
ACAP1,hematopoietic multipotent progenitor cell,spleen,normal,41,175,23.42857142857143,1.4588314714649602
ACAP2,hematopoietic multipotent progenitor cell,spleen,normal,30,175,17.142857142857142,1.4392987737769498
ACAP3,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.297039511140834
ACAT1,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.257872622270791
ACAT2,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.3576840641234793
ACIN1,hematopoietic multipotent progenitor cell,spleen,normal,16,175,9.142857142857142,1.3607688624444236
ACOT8,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.2088112718779267
ACOX1,hematopoietic multipotent progenitor cell,spleen,normal,8,175,4.571428571428571,1.2107463542320958
ACP1,hematopoietic multipotent progenitor cell,spleen,normal,52,175,29.714285714285715,1.4233171810401202
ACRBP,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.2043817092706943
ACSF3,hematopoietic multipotent progenitor cell,spleen,normal,3,175,1.7142857142857144,1.2454611127037698
ACSS2,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.2235921750604426
ACTB,hematopoietic multipotent progenitor cell,spleen,normal,175,175,100.0,3.407505127738435
ACTG1,hematopoietic multipotent progenitor cell,spleen,normal,170,175,97.14285714285714,2.7318591347179804
ACTL6A,hematopoietic multipotent progenitor cell,spleen,normal,14,175,8.0,1.4517889068284269
ACTMAP,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.239634375331957
ACTN4,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.3438861454223014
ACTR10,hematopoietic multipotent progenitor cell,spleen,normal,19,175,10.857142857142858,1.3829312616934188
ACTR1A,hematopoietic multipotent progenitor cell,spleen,normal,3,175,1.7142857142857144,1.20065060825396
ACTR2,hematopoietic multipotent progenitor cell,spleen,normal,25,175,14.285714285714285,1.3460286082504695
ACTR3,hematopoietic multipotent progenitor cell,spleen,normal,87,175,49.71428571428572,1.5514507488266454
ACTR3-AS1,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.134861860278645
ACTR3C,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.1523551772012142
ACTR6,hematopoietic multipotent progenitor cell,spleen,normal,9,175,5.142857142857142,1.4506640719339892
ACTR8,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.4420139431805443
ACY3,hematopoietic multipotent progenitor cell,spleen,normal,75,175,42.85714285714285,1.9591147743420985
ACYP1,hematopoietic multipotent progenitor cell,spleen,normal,12,175,6.857142857142858,1.3198487960805871
ACYP2,hematopoietic multipotent progenitor cell,spleen,normal,3,175,1.7142857142857144,1.143619845298601
ADA,hematopoietic multipotent progenitor cell,spleen,normal,33,175,18.857142857142858,1.487692509493123
ADAM10,hematopoietic multipotent progenitor cell,spleen,normal,15,175,8.571428571428571,1.3329880881740397
ADAM28,hematopoietic multipotent progenitor cell,spleen,normal,11,175,6.285714285714287,1.4305171990639396
ADAM8,hematopoietic multipotent progenitor cell,spleen,normal,3,175,1.7142857142857144,1.3789541958388327
ADAMTS10,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.2774649068150536
ADAP1,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.2356184176306273
ADAT1,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.506466477901664
ADCK5,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.390850611843897
ADCY7,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.3053894047221628
ADD1,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.3039964147907084
ADD3,hematopoietic multipotent progenitor cell,spleen,normal,24,175,13.714285714285715,1.5020895865214303
ADGRA3,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.2330102190389594
ADGRE2,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.2563203568691257
ADGRE5,hematopoietic multipotent progenitor cell,spleen,normal,15,175,8.571428571428571,1.4385507551179348
ADGRG1,hematopoietic multipotent progenitor cell,spleen,normal,16,175,9.142857142857142,1.5890373476587691
ADGRL1,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.3077784670727874
ADH5,hematopoietic multipotent progenitor cell,spleen,normal,25,175,14.285714285714285,1.3420121494468331
ADIPOR1,hematopoietic multipotent progenitor cell,spleen,normal,6,175,3.428571428571429,1.3687968712672405
ADIPOR2,hematopoietic multipotent progenitor cell,spleen,normal,17,175,9.714285714285714,1.4859495322905882
ADISSP,hematopoietic multipotent progenitor cell,spleen,normal,4,175,2.2857142857142856,1.3021663409880533
ADK,hematopoietic multipotent progenitor cell,spleen,normal,3,175,1.7142857142857144,1.1408779712543615
ADM,hematopoietic multipotent progenitor cell,spleen,normal,2,175,1.1428571428571428,1.4887365277515676
ADORA2A,hematopoietic multipotent progenitor cell,spleen,normal,1,175,0.5714285714285714,1.5821541735483662
ADPGK,hematopoietic multipotent progenitor cell,spleen,normal,7,175,4.0,1.255010358057948
