gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,immature B cell,spleen,normal,5,1162,0.4302925989672977,1.33599638406807
A1BG-AS1,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.225420479173858
A2M,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.111820054223336
A2ML1-AS1,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.1650638698762317
AAAS,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.1662444222042576
AAGAB,immature B cell,spleen,normal,30,1162,2.5817555938037864,1.2961048181429229
AAK1,immature B cell,spleen,normal,54,1162,4.647160068846816,1.3868124063311071
AAMDC,immature B cell,spleen,normal,37,1162,3.184165232358004,1.5728818811695144
AAMP,immature B cell,spleen,normal,32,1162,2.753872633390706,1.2266319176814129
AARSD1,immature B cell,spleen,normal,48,1162,4.130808950086059,1.4193095773925684
AASDHPPT,immature B cell,spleen,normal,60,1162,5.163511187607573,1.3334760997209778
AATF,immature B cell,spleen,normal,5,1162,0.4302925989672977,1.2161964933969815
AATK,immature B cell,spleen,normal,2,1162,0.1721170395869191,1.3069611530423455
ABAT,immature B cell,spleen,normal,11,1162,0.9466437177280552,1.2840107298005845
ABCA1,immature B cell,spleen,normal,16,1162,1.376936316695353,1.3755136984164456
ABCA2,immature B cell,spleen,normal,2,1162,0.1721170395869191,1.4997698975405944
ABCA5,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.1380250892992123
ABCA6,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.345928418347359
ABCA7,immature B cell,spleen,normal,60,1162,5.163511187607573,1.4021076258917406
ABCB1,immature B cell,spleen,normal,3,1162,0.2581755593803786,1.5556747537623907
ABCB10,immature B cell,spleen,normal,3,1162,0.2581755593803786,1.5558527308717671
ABCB4,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.2740490736841583
ABCB7,immature B cell,spleen,normal,6,1162,0.5163511187607573,1.1679985463455742
ABCB8,immature B cell,spleen,normal,43,1162,3.7005163511187606,1.3401123715523662
ABCC10,immature B cell,spleen,normal,17,1162,1.4629948364888123,1.336854723512527
ABCC2,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.24845902794485
ABCC5,immature B cell,spleen,normal,4,1162,0.3442340791738382,1.1416525127243098
ABCD1,immature B cell,spleen,normal,13,1162,1.1187607573149745,1.361901290049628
ABCD4,immature B cell,spleen,normal,79,1162,6.798623063683305,1.3805926089260667
ABCE1,immature B cell,spleen,normal,167,1162,14.371772805507746,1.4698625378060508
ABCF1,immature B cell,spleen,normal,3,1162,0.2581755593803786,1.1531041525747368
ABCF2,immature B cell,spleen,normal,17,1162,1.4629948364888123,1.3400086634726582
ABCF3,immature B cell,spleen,normal,37,1162,3.184165232358004,1.37401331092414
ABCG1,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.235113537010689
ABHD1,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.1139643405462587
ABHD10,immature B cell,spleen,normal,69,1162,5.938037865748709,1.3638245049516384
ABHD11,immature B cell,spleen,normal,47,1162,4.044750430292599,1.3466335550962134
ABHD12,immature B cell,spleen,normal,5,1162,0.4302925989672977,1.251656402573467
ABHD14A,immature B cell,spleen,normal,11,1162,0.9466437177280552,1.2888085085710417
ABHD14B,immature B cell,spleen,normal,14,1162,1.2048192771084338,1.2189882325879662
ABHD15-AS1,immature B cell,spleen,normal,1,1162,0.0860585197934595,2.377961207651445
ABHD16A,immature B cell,spleen,normal,28,1162,2.409638554216868,1.309908142798156
ABHD17A,immature B cell,spleen,normal,3,1162,0.2581755593803786,1.1065284736945162
ABHD18,immature B cell,spleen,normal,1,1162,0.0860585197934595,1.1095722603563205
ABHD2,immature B cell,spleen,normal,19,1162,1.6351118760757315,1.5009199470860248
ABHD3,immature B cell,spleen,normal,263,1162,22.63339070567986,1.540764482641832
ABHD4,immature B cell,spleen,normal,16,1162,1.376936316695353,1.4155780971744534
ABHD5,immature B cell,spleen,normal,31,1162,2.667814113597246,1.3734063224091162
ABHD6,immature B cell,spleen,normal,13,1162,1.1187607573149745,1.4338386462117934
ABHD8,immature B cell,spleen,normal,35,1162,3.0120481927710845,1.516381827909366
ABI1,immature B cell,spleen,normal,12,1162,1.032702237521515,1.1890264198631313
ABI2,immature B cell,spleen,normal,23,1162,1.9793459552495696,1.457228199649085
ABI3,immature B cell,spleen,normal,25,1162,2.1514629948364887,1.2193575773945708
