gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,innate lymphoid cell,spleen,normal,2,39576,0.0050535678188801,2.387933727844535
5S_rRNA_ENSG00000285626,innate lymphoid cell,spleen,normal,1,39576,0.00252678390944,2.805327640243
7SK_ENSG00000202198,innate lymphoid cell,spleen,normal,106,39576,0.2678390944006468,1.62162115323224
7SK_ENSG00000271394,innate lymphoid cell,spleen,normal,9,39576,0.0227410551849605,1.900411337271644
7SK_ENSG00000274303,innate lymphoid cell,spleen,normal,5,39576,0.0126339195472003,1.6430347921378587
A1BG,innate lymphoid cell,spleen,normal,64,39576,0.1617141702041641,1.3066293090285337
A1BG-AS1,innate lymphoid cell,spleen,normal,85,39576,0.2147766323024055,1.406524784088749
A2M,innate lymphoid cell,spleen,normal,1000,39576,2.5267839094400646,1.739328660614102
A2M-AS1,innate lymphoid cell,spleen,normal,178,39576,0.4497675358803314,1.3722940574538924
A2ML1,innate lymphoid cell,spleen,normal,15,39576,0.0379017586416009,1.544126639952882
A2ML1-AS1,innate lymphoid cell,spleen,normal,45,39576,0.1137052759248029,1.5557811248094038
A3GALT2,innate lymphoid cell,spleen,normal,3,39576,0.0075803517283201,1.1784782154867022
A4GALT,innate lymphoid cell,spleen,normal,34,39576,0.0859106529209622,1.3532341420933007
AAAS,innate lymphoid cell,spleen,normal,366,39576,0.9248029108550636,1.3919831216592655
AACS,innate lymphoid cell,spleen,normal,150,39576,0.3790175864160097,1.3941485768316777
AADACL2-AS1,innate lymphoid cell,spleen,normal,9,39576,0.0227410551849605,1.539727332465489
AADAT,innate lymphoid cell,spleen,normal,2,39576,0.0050535678188801,1.399952479617028
AAGAB,innate lymphoid cell,spleen,normal,1718,39576,4.341014756418031,1.43655762620784
AAK1,innate lymphoid cell,spleen,normal,12661,39576,31.991611077420657,1.6408156341209468
AAMDC,innate lymphoid cell,spleen,normal,1516,39576,3.830604406711138,1.646213953396738
AAMP,innate lymphoid cell,spleen,normal,1936,39576,4.891853648675966,1.3916110653694709
AANAT,innate lymphoid cell,spleen,normal,10,39576,0.0252678390944006,1.344792757160756
AAR2,innate lymphoid cell,spleen,normal,80,39576,0.2021427127552052,1.3259591500883612
AARD,innate lymphoid cell,spleen,normal,28,39576,0.0707499494643218,1.355280466438879
AARS1,innate lymphoid cell,spleen,normal,63,39576,0.159187386294724,1.2377886897526014
AARS2,innate lymphoid cell,spleen,normal,28,39576,0.0707499494643218,1.325646470372893
AARSD1,innate lymphoid cell,spleen,normal,1537,39576,3.8836668688093794,1.589800523617762
AASDH,innate lymphoid cell,spleen,normal,193,39576,0.4876692945219325,1.324078609089653
AASDHPPT,innate lymphoid cell,spleen,normal,2218,39576,5.604406711138064,1.39183412690562
AASS,innate lymphoid cell,spleen,normal,3,39576,0.0075803517283201,1.3672853901511943
AATF,innate lymphoid cell,spleen,normal,836,39576,2.112391348291894,1.351377035495282
AATK,innate lymphoid cell,spleen,normal,268,39576,0.6771780877299374,1.4504871356085565
ABALON,innate lymphoid cell,spleen,normal,17,39576,0.0429553264604811,1.353924955035957
ABAT,innate lymphoid cell,spleen,normal,416,39576,1.051142106327067,1.4292287746329868
ABCA1,innate lymphoid cell,spleen,normal,320,39576,0.8085708510208208,1.5561732882970192
ABCA10,innate lymphoid cell,spleen,normal,53,39576,0.1339195472003234,1.3917195025579463
ABCA15P,innate lymphoid cell,spleen,normal,7,39576,0.0176874873660804,1.315289683678291
ABCA17P,innate lymphoid cell,spleen,normal,19,39576,0.0480088942793612,1.355329334344054
ABCA2,innate lymphoid cell,spleen,normal,2117,39576,5.349201536284617,1.479278138347988
ABCA3,innate lymphoid cell,spleen,normal,31,39576,0.078330301192642,1.3423671615134354
ABCA3P1,innate lymphoid cell,spleen,normal,1,39576,0.00252678390944,1.5705624630295376
ABCA4,innate lymphoid cell,spleen,normal,15,39576,0.0379017586416009,1.4081024892283518
ABCA5,innate lymphoid cell,spleen,normal,500,39576,1.2633919547200323,1.4328961429199127
ABCA6,innate lymphoid cell,spleen,normal,13,39576,0.0328481908227208,1.441199086139636
ABCA7,innate lymphoid cell,spleen,normal,1607,39576,4.060541742470184,1.5692948467612122
