gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAMDC,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.542206812338169
AAMP,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.876208210431051
ABHD10,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.177793119215145
ABHD16A,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.177793119215145
ABHD4,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3616863954492846
ABHD8,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.506027966637056
ABRACL,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.5377352510334568
ABTB1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.236923228252058
ACADVL,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3311850037393942
ACAP2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.2915806075956404
ACP1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4546071310883226
ACSF2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.472783509288053
ACTA2,interstitial cell of Cajal,spleen,normal,2,2,100.0,2.5264028640189387
ACTB,interstitial cell of Cajal,spleen,normal,2,2,100.0,3.608595084268483
ACTG1,interstitial cell of Cajal,spleen,normal,2,2,100.0,3.1303845897737457
ACTG2,interstitial cell of Cajal,spleen,normal,1,2,50.0,2.5802044006062386
ACTR10,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4924413908250629
ACTR3,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3932479012081718
ACTR6,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3609271051609186
ADAM10,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3781036738295396
ADD3,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4278164950523329
ADGRE5,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.600252351590679
ADH5,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.265408267299023
ADISSP,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.418847245181218
AFMID,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.5864434525454545
AGGF1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1100783778818557
AHCYL2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.5019659727796957
AIDA,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1992020930641842
AIF1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3995677467834315
AIG1,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.16553337961147
AK6,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3972867454180131
AKR1A1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.24655079174437
AKR1B1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.443680580842386
AKR7A2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.618299681141483
AKTIP,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.22831473487041
ALAD,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4885227404702328
ALDOA,interstitial cell of Cajal,spleen,normal,2,2,100.0,2.324085365312401
ALKBH3,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4044203862200026
ALKBH7,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4625058179145078
AMN1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3281185762913954
ANAPC11,interstitial cell of Cajal,spleen,normal,1,2,50.0,2.140300096908209
ANAPC2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.2802150065041358
ANAPC7,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1549679972784332
ANG,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3012286209325874
ANK3,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3912385878813949
ANKIB1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3260832431231584
ANKRD10,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.345712074500354
ANKRD12,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.113500261279338
ANP32B,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.6949921796352645
ANTKMT,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.2198396093917163
ANXA3,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.786910324358721
ANXA6,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.6564588369153728
AOPEP,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1388423779150416
AP1G1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.2274612773937306
AP1G2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3769949944059183
AP1S1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4316748231419327
AP1S2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.124257451572756
AP3M2,interstitial cell of Cajal,spleen,normal,1,2,50.0,2.000100971219992
AP3S1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.48305802373507
AP4B1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1740379641388174
APEX1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.340318830072205
APOO,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3363318758096872
APRT,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.535455978465566
AQP3,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1557130215072788
ARAF,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.5043696082854034
ARAP1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.183264304669786
ARF1,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.3447611847227998
ARF3,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.5600951901888502
ARF4,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.3627732399077392
ARF5,interstitial cell of Cajal,spleen,normal,2,2,100.0,2.142091110520506
ARHGEF17,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3486624124182596
ARHGEF3,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.264495683410546
ARID4A,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.122506940080365
ARIH2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.6044517174581323
ARL15,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4252765355986516
ARL16,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.3272860147071988
ARL5A,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3932479012081718
ARL6IP4,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.5169215570141308
ARMC1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.2049587591189124
ARMCX3,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1169454634535458
ARMCX6,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3430868521416015
ARNT,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4403108331199732
ARPC2,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.6992242643320044
ARPC3,interstitial cell of Cajal,spleen,normal,1,2,50.0,2.142278704919934
ARRDC1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3150990605729296
ARV1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1572418672278326
ASB1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.3972867454180131
ASGR1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1374010631641809
ASIP,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4278164950523329
ASS1,interstitial cell of Cajal,spleen,normal,1,2,50.0,2.0388770776112723
ATG10,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.1670178028847342
ATG2B,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.67392240301002
ATIC,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4116390354804014
ATOX1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4779862872051883
ATP10D,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4266129736827018
ATP1B1,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.112311520912469
ATP1B2,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.4925197117439433
ATP23,interstitial cell of Cajal,spleen,normal,1,2,50.0,1.6115100842081114
ATP5F1A,interstitial cell of Cajal,spleen,normal,2,2,100.0,2.447943194857477
ATP5F1B,interstitial cell of Cajal,spleen,normal,2,2,100.0,1.5533513392144571
