gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAGAB,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.301775820535494
AAMDC,large pre-B-II cell,spleen,normal,13,103,12.62135922330097,1.2998113653651064
AAMP,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.267014511758514
AASDHPPT,large pre-B-II cell,spleen,normal,3,103,2.912621359223301,1.2776304614575782
AATF,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.152851011725269
ABCA7,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.1027975678294704
ABCB10,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.139739162598946
ABCC10,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.1790971149163307
ABCD4,large pre-B-II cell,spleen,normal,4,103,3.883495145631068,1.2773693648689315
ABCE1,large pre-B-II cell,spleen,normal,6,103,5.825242718446602,1.3666563303533543
ABCF2,large pre-B-II cell,spleen,normal,3,103,2.912621359223301,1.3071865019898945
ABHD10,large pre-B-II cell,spleen,normal,3,103,2.912621359223301,1.21884000575456
ABHD11,large pre-B-II cell,spleen,normal,4,103,3.883495145631068,1.4661074248190575
ABHD16A,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.1276438666093531
ABHD2,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.3618306881194435
ABHD3,large pre-B-II cell,spleen,normal,14,103,13.592233009708735,1.363885342030782
ABHD5,large pre-B-II cell,spleen,normal,2,103,1.9417475728155336,1.4537113222679137
ABHD8,large pre-B-II cell,spleen,normal,3,103,2.912621359223301,1.211366126907326
ABITRAM,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.5446536858009172
ABRACL,large pre-B-II cell,spleen,normal,45,103,43.68932038834952,1.496540005690681
ABTB1,large pre-B-II cell,spleen,normal,2,103,1.9417475728155336,1.5079519637214926
ACAD10,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.3145785266314194
ACADVL,large pre-B-II cell,spleen,normal,17,103,16.50485436893204,1.434402809994051
ACAP1,large pre-B-II cell,spleen,normal,16,103,15.53398058252427,1.402009002427637
ACAP2,large pre-B-II cell,spleen,normal,17,103,16.50485436893204,1.45613673476551
ACAT2,large pre-B-II cell,spleen,normal,2,103,1.9417475728155336,1.3423274790357684
ACIN1,large pre-B-II cell,spleen,normal,9,103,8.737864077669903,1.264957610667789
ACOT8,large pre-B-II cell,spleen,normal,2,103,1.9417475728155336,1.297622376246086
ACOX1,large pre-B-II cell,spleen,normal,2,103,1.9417475728155336,1.184178473287126
ACP1,large pre-B-II cell,spleen,normal,53,103,51.45631067961165,1.4855422904814306
ACSF2,large pre-B-II cell,spleen,normal,2,103,1.9417475728155336,1.2452572071764958
ACSF3,large pre-B-II cell,spleen,normal,2,103,1.9417475728155336,1.305975900641859
ACSM3,large pre-B-II cell,spleen,normal,11,103,10.679611650485436,1.5235345334022037
ACTB,large pre-B-II cell,spleen,normal,103,103,100.0,3.869966726634103
ACTG1,large pre-B-II cell,spleen,normal,103,103,100.0,3.118125926590687
ACTL6A,large pre-B-II cell,spleen,normal,18,103,17.475728155339805,1.3211724417063506
ACTMAP,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.221200114217173
ACTR10,large pre-B-II cell,spleen,normal,10,103,9.70873786407767,1.3940817013795177
ACTR1A,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.262298792088942
ACTR2,large pre-B-II cell,spleen,normal,22,103,21.35922330097087,1.3548271010556945
ACTR3,large pre-B-II cell,spleen,normal,60,103,58.252427184466015,1.5012319517743258
ACTR6,large pre-B-II cell,spleen,normal,7,103,6.796116504854369,1.2320905411187897
ACYP1,large pre-B-II cell,spleen,normal,34,103,33.00970873786408,1.398851587127068
ADA,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.2040800423600488
ADAM10,large pre-B-II cell,spleen,normal,18,103,17.475728155339805,1.3616351392682675
ADARB2,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.5408955556971042
ADAT1,large pre-B-II cell,spleen,normal,4,103,3.883495145631068,1.192825730927497
ADD1,large pre-B-II cell,spleen,normal,1,103,0.9708737864077668,1.137098588583833
