gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,late pro-B cell,spleen,normal,11,102,10.784313725490197,1.2355602453364174
A2M,late pro-B cell,spleen,normal,1,102,0.9803921568627452,2.0568165657984663
AAGAB,late pro-B cell,spleen,normal,2,102,1.96078431372549,1.557958636035552
AAK1,late pro-B cell,spleen,normal,4,102,3.92156862745098,1.2725242614982029
AAMDC,late pro-B cell,spleen,normal,13,102,12.745098039215684,1.851951167394668
AAMP,late pro-B cell,spleen,normal,8,102,7.84313725490196,1.249191857100444
AARSD1,late pro-B cell,spleen,normal,6,102,5.88235294117647,1.5327301767174664
AASDHPPT,late pro-B cell,spleen,normal,10,102,9.803921568627452,1.3957219055310883
AATF,late pro-B cell,spleen,normal,1,102,0.9803921568627452,1.1089895318429404
ABAT,late pro-B cell,spleen,normal,1,102,0.9803921568627452,1.1401849810154143
ABCA1,late pro-B cell,spleen,normal,9,102,8.823529411764707,1.3359037178022666
ABCA7,late pro-B cell,spleen,normal,2,102,1.96078431372549,1.3894340414307087
ABCA9,late pro-B cell,spleen,normal,1,102,0.9803921568627452,1.5535490537922745
ABCB7,late pro-B cell,spleen,normal,1,102,0.9803921568627452,1.1220272944643208
ABCB8,late pro-B cell,spleen,normal,4,102,3.92156862745098,1.415825697471811
ABCD4,late pro-B cell,spleen,normal,22,102,21.568627450980397,1.5928629719498797
ABCE1,late pro-B cell,spleen,normal,11,102,10.784313725490197,1.6081244289784349
ABCF2,late pro-B cell,spleen,normal,3,102,2.941176470588235,1.4053567638657036
ABCF3,late pro-B cell,spleen,normal,3,102,2.941176470588235,1.4089742117416808
ABHD1,late pro-B cell,spleen,normal,1,102,0.9803921568627452,1.179378987430155
ABHD10,late pro-B cell,spleen,normal,6,102,5.88235294117647,1.5346557075340963
ABHD12,late pro-B cell,spleen,normal,1,102,0.9803921568627452,1.5095556466642133
ABHD14B,late pro-B cell,spleen,normal,4,102,3.92156862745098,1.2420827814137076
ABHD16A,late pro-B cell,spleen,normal,3,102,2.941176470588235,1.4603457456756184
