gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,lymphocyte,spleen,normal,54,227726,0.0237127073764084,2.084051119788391
5S_rRNA_ENSG00000285626,lymphocyte,spleen,normal,3,227726,0.0013173726320226,2.4330754849082696
5S_rRNA_ENSG00000285674,lymphocyte,spleen,normal,1,227726,0.0004391242106742,2.011361694115915
5S_rRNA_ENSG00000285912,lymphocyte,spleen,normal,1,227726,0.0004391242106742,2.9295512983437413
5S_rRNA_ENSG00000288601,lymphocyte,spleen,normal,1,227726,0.0004391242106742,1.9664754790689631
5_8S_rRNA_ENSG00000275877,lymphocyte,spleen,normal,1,227726,0.0004391242106742,1.7887440910230057
7SK_ENSG00000202198,lymphocyte,spleen,normal,726,227726,0.3188041769494919,1.5319815632237088
7SK_ENSG00000271394,lymphocyte,spleen,normal,31,227726,0.0136128505309011,1.7743482797457262
7SK_ENSG00000274303,lymphocyte,spleen,normal,23,227726,0.0100998568455073,1.539623452606249
A1BG,lymphocyte,spleen,normal,633,227726,0.2779656253567884,1.2912044048595424
A1BG-AS1,lymphocyte,spleen,normal,404,227726,0.1774061811123894,1.34632690496218
A1CF,lymphocyte,spleen,normal,1,227726,0.0004391242106742,1.286995051460094
A2M,lymphocyte,spleen,normal,7890,227726,3.4646900222196853,1.8431549147717516
A2M-AS1,lymphocyte,spleen,normal,761,227726,0.33417352432309,1.3415186370415868
A2ML1,lymphocyte,spleen,normal,68,227726,0.0298604463258477,1.4909101003408165
A2ML1-AS1,lymphocyte,spleen,normal,427,227726,0.1875060379578967,1.4321470962035576
A2MP1_ENSG00000256069,lymphocyte,spleen,normal,10,227726,0.0043912421067423,1.1747330850155944
A3GALT2,lymphocyte,spleen,normal,13,227726,0.005708614738765,1.2302587830947112
A4GALT,lymphocyte,spleen,normal,56,227726,0.0245909557977569,1.3302378305238385
AAAS,lymphocyte,spleen,normal,1356,227726,0.5954524296742577,1.3536277869649669
AACS,lymphocyte,spleen,normal,395,227726,0.1734540632163213,1.361314507752019
AACSP1_ENSG00000250420,lymphocyte,spleen,normal,1,227726,0.0004391242106742,1.150202058613
AADACL2-AS1,lymphocyte,spleen,normal,60,227726,0.0263474526404538,1.5553331890678896
AADAT,lymphocyte,spleen,normal,2,227726,0.0008782484213484,1.399952479617028
AAGAB,lymphocyte,spleen,normal,6900,227726,3.029957053652196,1.4003260854375406
