gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,macrophage,spleen,normal,4,20619,0.0193995829089674,1.250689909304273
5S_rRNA_ENSG00000285776,macrophage,spleen,normal,4,20619,0.0193995829089674,1.5110163345371797
7SK_ENSG00000202198,macrophage,spleen,normal,16,20619,0.0775983316358698,1.648773512437654
7SK_ENSG00000274303,macrophage,spleen,normal,1,20619,0.0048498957272418,1.894759427836881
A1BG,macrophage,spleen,normal,32,20619,0.1551966632717396,1.3687129190210092
A1BG-AS1,macrophage,spleen,normal,8,20619,0.0387991658179349,1.4547544643946762
A2M,macrophage,spleen,normal,9568,20619,46.40380231825016,1.969182577230875
A2M-AS1,macrophage,spleen,normal,5,20619,0.0242494786362093,1.230297987452326
A2ML1,macrophage,spleen,normal,13,20619,0.0630486444541442,1.424503993776984
A2ML1-AS1,macrophage,spleen,normal,13,20619,0.0630486444541442,1.366482343023216
A4GALT,macrophage,spleen,normal,1,20619,0.0048498957272418,1.7397735745714022
AAAS,macrophage,spleen,normal,45,20619,0.2182453077258839,1.3112540835214106
AACS,macrophage,spleen,normal,1,20619,0.0048498957272418,1.1121887979566385
AADACL2-AS1,macrophage,spleen,normal,136,20619,0.6595858189048935,1.771109601344847
AADACP1_ENSG00000240602,macrophage,spleen,normal,1,20619,0.0048498957272418,1.1149115897629482
AADAT,macrophage,spleen,normal,2,20619,0.0096997914544837,1.1492734737482666
AAGAB,macrophage,spleen,normal,223,20619,1.0815267471749357,1.4263982429065407
AAK1,macrophage,spleen,normal,2339,20619,11.34390610601872,1.4295517051652369
AAMDC,macrophage,spleen,normal,1522,20619,7.381541296862118,1.461786726254665
AAMP,macrophage,spleen,normal,333,20619,1.6150152771715407,1.3652711032212712
AANAT,macrophage,spleen,normal,2,20619,0.0096997914544837,1.1345065028533496
AAR2,macrophage,spleen,normal,6,20619,0.0290993743634511,1.2040702071763512
AARS1,macrophage,spleen,normal,18,20619,0.0872981230903535,1.2309586933387318
AARS2,macrophage,spleen,normal,5,20619,0.0242494786362093,1.2086335444870924
AARSD1,macrophage,spleen,normal,194,20619,0.9408797710849216,1.522772226489228
AASDH,macrophage,spleen,normal,10,20619,0.0484989572724186,1.204643132065203
AASDHPPT,macrophage,spleen,normal,266,20619,1.2900722634463355,1.3575381917547558
AATBC,macrophage,spleen,normal,1,20619,0.0048498957272418,1.3326648940764991
AATF,macrophage,spleen,normal,96,20619,0.4655899898152189,1.3337142760629763
AATK,macrophage,spleen,normal,331,20619,1.605315485717057,1.323312371368086
ABALON,macrophage,spleen,normal,4,20619,0.0193995829089674,1.4407930092236605
ABAT,macrophage,spleen,normal,81,20619,0.392841553906591,1.344285052141684
ABCA1,macrophage,spleen,normal,7427,20619,36.020175566225326,1.6371806871960182
ABCA13,macrophage,spleen,normal,1,20619,0.0048498957272418,2.1202435227671788
ABCA17P,macrophage,spleen,normal,13,20619,0.0630486444541442,1.383265507264818
ABCA2,macrophage,spleen,normal,32,20619,0.1551966632717396,1.3360904225337984
ABCA5,macrophage,spleen,normal,7,20619,0.033949270090693,1.1999638082989128
ABCA6,macrophage,spleen,normal,2,20619,0.0096997914544837,1.1932260180095984
ABCA7,macrophage,spleen,normal,249,20619,1.2076240360832242,1.403141199550232
ABCA8,macrophage,spleen,normal,2,20619,0.0096997914544837,1.2082721566344123
ABCA9-AS1,macrophage,spleen,normal,4,20619,0.0193995829089674,1.285064415679967
ABCB1,macrophage,spleen,normal,47,20619,0.2279450991803676,1.6251903804501284
ABCB10,macrophage,spleen,normal,295,20619,1.43071923953635,1.4081749276935325
ABCB4,macrophage,spleen,normal,2,20619,0.0096997914544837,1.575167889743771
ABCB6,macrophage,spleen,normal,32,20619,0.1551966632717396,1.5517770931845354
ABCB7,macrophage,spleen,normal,23,20619,0.1115476017265628,1.2810040909646718
