gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,mast cell,spleen,normal,2,681,0.2936857562408223,1.212621613376595
A2M,mast cell,spleen,normal,4,681,0.5873715124816447,1.621996575110432
AAAS,mast cell,spleen,normal,1,681,0.1468428781204111,1.160616235480998
AACS,mast cell,spleen,normal,2,681,0.2936857562408223,1.348562185356958
AAGAB,mast cell,spleen,normal,5,681,0.7342143906020557,1.4350536895440815
AAK1,mast cell,spleen,normal,36,681,5.286343612334802,1.4322661558853296
AAMDC,mast cell,spleen,normal,50,681,7.342143906020558,1.4735225830428027
AAMP,mast cell,spleen,normal,4,681,0.5873715124816447,1.320674603917813
AARS1,mast cell,spleen,normal,1,681,0.1468428781204111,1.1869231709748151
AARSD1,mast cell,spleen,normal,6,681,0.881057268722467,1.3859631879449592
AASDH,mast cell,spleen,normal,1,681,0.1468428781204111,1.5705801003005209
AASDHPPT,mast cell,spleen,normal,16,681,2.3494860499265786,1.2620418099964947
AATF,mast cell,spleen,normal,1,681,0.1468428781204111,1.169451516296406
AATK,mast cell,spleen,normal,3,681,0.4405286343612335,1.6068674636567115
ABAT,mast cell,spleen,normal,3,681,0.4405286343612335,1.385574317765272
ABCA1,mast cell,spleen,normal,6,681,0.881057268722467,1.5129412534024906
ABCA2,mast cell,spleen,normal,2,681,0.2936857562408223,1.459168981957463
ABCA5,mast cell,spleen,normal,1,681,0.1468428781204111,1.4398016158660296
ABCA7,mast cell,spleen,normal,10,681,1.4684287812041117,1.638577431325696
ABCB1,mast cell,spleen,normal,3,681,0.4405286343612335,1.473562095588021
ABCB10,mast cell,spleen,normal,1,681,0.1468428781204111,1.154831810458812
ABCB7,mast cell,spleen,normal,2,681,0.2936857562408223,1.4391372908859943
ABCB8,mast cell,spleen,normal,2,681,0.2936857562408223,1.7405512484447656
ABCC1,mast cell,spleen,normal,1,681,0.1468428781204111,1.2353544793047582
ABCC10,mast cell,spleen,normal,3,681,0.4405286343612335,1.841859391686827
ABCC5,mast cell,spleen,normal,1,681,0.1468428781204111,1.1496948648606686
ABCC6,mast cell,spleen,normal,1,681,0.1468428781204111,1.274702711781994
ABCD1,mast cell,spleen,normal,1,681,0.1468428781204111,1.2769792176432742
ABCD4,mast cell,spleen,normal,18,681,2.643171806167401,1.3441390614313349
ABCE1,mast cell,spleen,normal,29,681,4.258443465491924,1.3605204275431275
ABCF1,mast cell,spleen,normal,1,681,0.1468428781204111,1.419564620914631
ABCF2,mast cell,spleen,normal,2,681,0.2936857562408223,1.363995477960684
ABCF3,mast cell,spleen,normal,4,681,0.5873715124816447,1.237495656477578
ABHD10,mast cell,spleen,normal,8,681,1.1747430249632893,1.297187968218268
ABHD11,mast cell,spleen,normal,4,681,0.5873715124816447,1.327121447868673
ABHD12,mast cell,spleen,normal,3,681,0.4405286343612335,1.4089449713371227
ABHD14A,mast cell,spleen,normal,10,681,1.4684287812041117,1.3513194560822233
ABHD14B,mast cell,spleen,normal,8,681,1.1747430249632893,1.317060942429472
