gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,mature B cell,spleen,normal,132,59439,0.2220764144753444,1.2634892947188725
A1BG-AS1,mature B cell,spleen,normal,61,59439,0.1026262218408788,1.2839424773746546
A2M,mature B cell,spleen,normal,29,59439,0.0487895153014014,1.361184026952353
A2M-AS1,mature B cell,spleen,normal,4,59439,0.0067295883174346,1.3102336072793084
A2ML1,mature B cell,spleen,normal,15,59439,0.02523595619038,1.4623361258206595
A2ML1-AS1,mature B cell,spleen,normal,27,59439,0.045424721142684,1.6144629284137475
A4GALT,mature B cell,spleen,normal,6,59439,0.010094382476152,1.242189700487973
AAAS,mature B cell,spleen,normal,234,59439,0.3936809165699288,1.341831915205664
AACS,mature B cell,spleen,normal,48,59439,0.0807550598092161,1.3632734817786063
AAGAB,mature B cell,spleen,normal,1009,59439,1.6975386530728984,1.388017087962785
AAK1,mature B cell,spleen,normal,562,59439,0.9455071585995728,1.457527535142615
AAMDC,mature B cell,spleen,normal,800,59439,1.345917663486936,1.4424989670463668
AAMP,mature B cell,spleen,normal,899,59439,1.5124749743434447,1.3235303512958363
AANAT,mature B cell,spleen,normal,7,59439,0.0117767795555106,1.308964708847428
AAR2,mature B cell,spleen,normal,58,59439,0.0975790306028028,1.3467709843821547
AARD,mature B cell,spleen,normal,1,59439,0.0016823970793586,1.2161624511843854
AARS1,mature B cell,spleen,normal,39,59439,0.0656134860949881,1.2397608928801866
AARS2,mature B cell,spleen,normal,34,59439,0.0572015006981947,1.3393720900514996
AARSD1,mature B cell,spleen,normal,2545,59439,4.281700566967816,1.4622067063024466
AASDH,mature B cell,spleen,normal,50,59439,0.0841198539679335,1.2809329183558793
AASDHPPT,mature B cell,spleen,normal,1348,59439,2.267871262975487,1.3413952179090842
AASS,mature B cell,spleen,normal,18,59439,0.030283147428456,1.2521173114532118
AATBC,mature B cell,spleen,normal,2,59439,0.0033647941587173,1.8070158706339647
AATF,mature B cell,spleen,normal,340,59439,0.5720150069819478,1.303028862379396
AATK,mature B cell,spleen,normal,26,59439,0.0437423240633254,1.2636400705188016
ABALON,mature B cell,spleen,normal,8,59439,0.0134591766348693,1.2190176716464105
ABAT,mature B cell,spleen,normal,237,59439,0.3987281078080048,1.3881338455848318
ABCA1,mature B cell,spleen,normal,499,59439,0.8395161425999765,1.4419013744949878
ABCA10,mature B cell,spleen,normal,11,59439,0.0185063678729453,1.6352147772801544
ABCA15P,mature B cell,spleen,normal,7,59439,0.0117767795555106,1.4680171193477582
ABCA2,mature B cell,spleen,normal,87,59439,0.1463685459042043,1.4708513497032925
ABCA3,mature B cell,spleen,normal,6,59439,0.010094382476152,1.4765641632408422
ABCA5,mature B cell,spleen,normal,150,59439,0.2523595619038005,1.4079070015995567
ABCA6,mature B cell,spleen,normal,38,59439,0.0639310890156294,1.3805561504288029
ABCA7,mature B cell,spleen,normal,1510,59439,2.540419589831592,1.4657027507870772
ABCA8,mature B cell,spleen,normal,2,59439,0.0033647941587173,1.7324438662279389
ABCA9,mature B cell,spleen,normal,7,59439,0.0117767795555106,1.361531255579692
