gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,mature NK T cell,spleen,normal,40,908,4.405286343612335,1.5369659233472237
7SK_ENSG00000271394,mature NK T cell,spleen,normal,2,908,0.2202643171806167,1.6142148495041613
A2M,mature NK T cell,spleen,normal,112,908,12.334801762114536,1.801816480134644
A2M-AS1,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.2074756694613336
A2ML1,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.175241018103033
A2ML1-AS1,mature NK T cell,spleen,normal,8,908,0.881057268722467,1.3352320730188956
AAAS,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.2055413530993124
AADACL2-AS1,mature NK T cell,spleen,normal,4,908,0.4405286343612335,1.4107143586709845
AAGAB,mature NK T cell,spleen,normal,56,908,6.167400881057269,1.3471513577553975
AAK1,mature NK T cell,spleen,normal,593,908,65.30837004405286,1.6564193729261836
AAMDC,mature NK T cell,spleen,normal,54,908,5.947136563876652,1.450691843077185
AAMP,mature NK T cell,spleen,normal,10,908,1.1013215859030838,1.254286386781341
AANAT,mature NK T cell,spleen,normal,2,908,0.2202643171806167,1.2583612547795104
AAR2,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.2480580531960277
AARSD1,mature NK T cell,spleen,normal,12,908,1.3215859030837005,1.300135155166511
AASDHPPT,mature NK T cell,spleen,normal,16,908,1.762114537444934,1.3113303182826044
AATF,mature NK T cell,spleen,normal,13,908,1.4317180616740088,1.2070034417859807
AATK,mature NK T cell,spleen,normal,15,908,1.6519823788546255,1.418741162656423
ABAT,mature NK T cell,spleen,normal,17,908,1.8722466960352424,1.3169948237983329
ABCA1,mature NK T cell,spleen,normal,28,908,3.0837004405286343,1.2967701589005023
ABCA10,mature NK T cell,spleen,normal,3,908,0.3303964757709251,1.226663283476902
ABCA15P,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.1602483199341105
ABCA17P,mature NK T cell,spleen,normal,2,908,0.2202643171806167,1.2205205318977372
ABCA2,mature NK T cell,spleen,normal,42,908,4.625550660792952,1.304618465960819
ABCA3,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.239594950653203
ABCA5,mature NK T cell,spleen,normal,17,908,1.8722466960352424,1.2428256528907646
ABCA7,mature NK T cell,spleen,normal,65,908,7.158590308370044,1.3562495971030146
ABCB1,mature NK T cell,spleen,normal,436,908,48.01762114537445,1.6657620444171732
ABCB10,mature NK T cell,spleen,normal,34,908,3.744493392070485,1.3168670515690726
ABCB7,mature NK T cell,spleen,normal,9,908,0.9911894273127754,1.288485127379233
ABCB8,mature NK T cell,spleen,normal,14,908,1.5418502202643172,1.353808635518046
ABCC1,mature NK T cell,spleen,normal,27,908,2.973568281938326,1.2855174225432606
ABCC10,mature NK T cell,spleen,normal,11,908,1.2114537444933922,1.3328653456583932
ABCC5,mature NK T cell,spleen,normal,2,908,0.2202643171806167,1.175510659607049
ABCC5-AS1,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.543909156590331
ABCD1,mature NK T cell,spleen,normal,4,908,0.4405286343612335,1.3869454624546864
ABCD3,mature NK T cell,spleen,normal,1,908,0.1101321585903083,1.176252600547751
ABCD4,mature NK T cell,spleen,normal,26,908,2.8634361233480177,1.2932578466984344
ABCE1,mature NK T cell,spleen,normal,63,908,6.938325991189427,1.32063660734675
ABCF1,mature NK T cell,spleen,normal,5,908,0.5506607929515419,1.15963174353529
ABCF2,mature NK T cell,spleen,normal,3,908,0.3303964757709251,1.1784766267869868
ABCF3,mature NK T cell,spleen,normal,19,908,2.092511013215859,1.2820620675836694
ABCG1,mature NK T cell,spleen,normal,15,908,1.6519823788546255,1.2902382266687722
ABHD10,mature NK T cell,spleen,normal,15,908,1.6519823788546255,1.2835230958986668
ABHD11,mature NK T cell,spleen,normal,4,908,0.4405286343612335,1.2850886251246048
ABHD12,mature NK T cell,spleen,normal,38,908,4.185022026431718,1.3403101519821148
ABHD14A,mature NK T cell,spleen,normal,12,908,1.3215859030837005,1.2487309543422564
ABHD14B,mature NK T cell,spleen,normal,3,908,0.3303964757709251,1.1808734842765134
ABHD15-AS1,mature NK T cell,spleen,normal,590,908,64.97797356828194,2.4840213953389427
ABHD16A,mature NK T cell,spleen,normal,8,908,0.881057268722467,1.2462816148285227
ABHD17A,mature NK T cell,spleen,normal,105,908,11.563876651982378,1.3342702561874795
