gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AADAT,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.5725101373781576
AAK1,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.116545789418033
AAMDC,megakaryocyte-erythroid progenitor cell,spleen,normal,26,864,3.009259259259259,1.3290197090229403
AAMP,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.281831873575637
AARSD1,megakaryocyte-erythroid progenitor cell,spleen,normal,7,864,0.8101851851851851,1.2781892503514585
AASDHPPT,megakaryocyte-erythroid progenitor cell,spleen,normal,9,864,1.0416666666666663,1.2692629481697388
ABCA2,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.3700058375859934
ABCA7,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.415430348524735
ABCB1,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.6282818028979988
ABCB6,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.4557701244549783
ABCC10,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.180043176985793
ABCC3,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.383777084729419
ABCC4,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.1085694025042914
ABCD4,megakaryocyte-erythroid progenitor cell,spleen,normal,16,864,1.851851851851852,1.2170260264743848
ABCE1,megakaryocyte-erythroid progenitor cell,spleen,normal,66,864,7.638888888888889,1.2993209566421862
ABCF3,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.5401974754740893
ABHD10,megakaryocyte-erythroid progenitor cell,spleen,normal,6,864,0.6944444444444444,1.3041630270538969
ABHD11,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.1500307875946747
ABHD12,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.24434187621078
ABHD14B,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.1186165595017772
ABHD16A,megakaryocyte-erythroid progenitor cell,spleen,normal,9,864,1.0416666666666663,1.5329468867143
ABHD2,megakaryocyte-erythroid progenitor cell,spleen,normal,12,864,1.3888888888888888,1.2948022224500126
ABHD3,megakaryocyte-erythroid progenitor cell,spleen,normal,15,864,1.7361111111111112,1.2277874926008687
ABHD4,megakaryocyte-erythroid progenitor cell,spleen,normal,23,864,2.662037037037037,1.5304305035320005
ABHD5,megakaryocyte-erythroid progenitor cell,spleen,normal,6,864,0.6944444444444444,1.2016424248610045
ABHD6,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.170948375630238
ABHD8,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.1029060609142172
ABI2,megakaryocyte-erythroid progenitor cell,spleen,normal,14,864,1.6203703703703702,1.255869143505448
ABITRAM,megakaryocyte-erythroid progenitor cell,spleen,normal,6,864,0.6944444444444444,1.2315984190702591
ABR,megakaryocyte-erythroid progenitor cell,spleen,normal,5,864,0.5787037037037037,1.248406700887017
ABRACL,megakaryocyte-erythroid progenitor cell,spleen,normal,586,864,67.82407407407408,1.5567089910763945
ABRAXAS1,megakaryocyte-erythroid progenitor cell,spleen,normal,2,864,0.2314814814814814,1.1250504442999203
ABTB1,megakaryocyte-erythroid progenitor cell,spleen,normal,8,864,0.9259259259259258,1.5194464378543606
ACAA1,megakaryocyte-erythroid progenitor cell,spleen,normal,17,864,1.9675925925925928,1.2494983971969893
ACAA2,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.141500504859221
ACACA,megakaryocyte-erythroid progenitor cell,spleen,normal,4,864,0.4629629629629629,1.3255115488632243
ACAD8,megakaryocyte-erythroid progenitor cell,spleen,normal,3,864,0.3472222222222222,1.360605821259111
ACADM,megakaryocyte-erythroid progenitor cell,spleen,normal,1,864,0.1157407407407407,1.2662376119281733
