gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,megakaryocyte,spleen,normal,52,6190,0.840064620355412,1.3063786758031193
A1BG-AS1,megakaryocyte,spleen,normal,3,6190,0.048465266558966,1.2965272778014612
A2M,megakaryocyte,spleen,normal,30,6190,0.4846526655896607,1.599900258905077
A2ML1,megakaryocyte,spleen,normal,16,6190,0.258481421647819,1.6083861912778097
A2ML1-AS1,megakaryocyte,spleen,normal,2,6190,0.0323101777059773,1.6050922480477907
AAAS,megakaryocyte,spleen,normal,13,6190,0.210016155088853,1.2109235104778218
AACS,megakaryocyte,spleen,normal,4,6190,0.0646203554119547,1.29509659810134
AAGAB,megakaryocyte,spleen,normal,215,6190,3.4733441033925687,1.396645823193326
AAK1,megakaryocyte,spleen,normal,173,6190,2.7948303715670435,1.430441125371203
AAMDC,megakaryocyte,spleen,normal,482,6190,7.786752827140549,1.4787905447676015
AAMP,megakaryocyte,spleen,normal,381,6190,6.155088852988691,1.3593620266289557
AANAT,megakaryocyte,spleen,normal,2,6190,0.0323101777059773,1.5981601243954515
AAR2,megakaryocyte,spleen,normal,3,6190,0.048465266558966,1.2117262201711467
AARS1,megakaryocyte,spleen,normal,9,6190,0.1453957996768982,1.2750919919129342
AARSD1,megakaryocyte,spleen,normal,99,6190,1.5993537964458804,1.5033487562084444
AASDHPPT,megakaryocyte,spleen,normal,677,6190,10.936995153473344,1.4563709540673035
AATF,megakaryocyte,spleen,normal,77,6190,1.2439418416801291,1.2716005508305477
AATK,megakaryocyte,spleen,normal,533,6190,8.610662358642973,1.5292599969218867
ABALON,megakaryocyte,spleen,normal,3,6190,0.048465266558966,1.2594533729540045
ABAT,megakaryocyte,spleen,normal,36,6190,0.5815831987075929,1.4262213857096468
ABCA1,megakaryocyte,spleen,normal,6,6190,0.0969305331179321,1.3733478583223704
ABCA10,megakaryocyte,spleen,normal,9,6190,0.1453957996768982,1.317436964092557
ABCA3,megakaryocyte,spleen,normal,1,6190,0.0161550888529886,1.2393855556611597
ABCA5,megakaryocyte,spleen,normal,16,6190,0.258481421647819,1.2611175683658602
ABCA6,megakaryocyte,spleen,normal,168,6190,2.7140549273021,1.4425985556459429
ABCA7,megakaryocyte,spleen,normal,553,6190,8.933764135702745,1.5819773043034189
ABCA8,megakaryocyte,spleen,normal,1,6190,0.0161550888529886,1.1330137646200449
ABCA9,megakaryocyte,spleen,normal,51,6190,0.8239095315024233,1.4714726211688804
ABCA9-AS1,megakaryocyte,spleen,normal,1,6190,0.0161550888529886,1.735499810269567
ABCB1,megakaryocyte,spleen,normal,111,6190,1.7932148626817448,1.6500049256133056
ABCB10,megakaryocyte,spleen,normal,20,6190,0.3231017770597738,1.4403345008975237
ABCB11,megakaryocyte,spleen,normal,1,6190,0.0161550888529886,1.2767483686664731
ABCB4,megakaryocyte,spleen,normal,1,6190,0.0161550888529886,1.1482407388659466
ABCB6,megakaryocyte,spleen,normal,94,6190,1.518578352180937,1.4112240851736944
ABCB7,megakaryocyte,spleen,normal,23,6190,0.3715670436187399,1.3068510829002309
ABCB8,megakaryocyte,spleen,normal,21,6190,0.3392568659127625,1.433974057904012
ABCC1,megakaryocyte,spleen,normal,5,6190,0.0807754442649434,1.2200899554763425
ABCC10,megakaryocyte,spleen,normal,20,6190,0.3231017770597738,1.3802915933030688
ABCC2,megakaryocyte,spleen,normal,3,6190,0.048465266558966,1.353883548098027
ABCC3,megakaryocyte,spleen,normal,1543,6190,24.92730210016155,1.887807489959085
ABCC4,megakaryocyte,spleen,normal,625,6190,10.09693053311793,1.4370897664738462
ABCC5,megakaryocyte,spleen,normal,20,6190,0.3231017770597738,1.220068423340421
ABCC6,megakaryocyte,spleen,normal,3,6190,0.048465266558966,1.3276518118998732
ABCD1,megakaryocyte,spleen,normal,20,6190,0.3231017770597738,1.376988391053862
ABCD4,megakaryocyte,spleen,normal,173,6190,2.7948303715670435,1.4811379884780091
ABCE1,megakaryocyte,spleen,normal,1036,6190,16.73667205169628,1.6854542294067263
ABCF1,megakaryocyte,spleen,normal,31,6190,0.5008077544426494,1.320967389606717
ABCF2,megakaryocyte,spleen,normal,47,6190,0.7592891760904685,1.357982878914318
ABCF3,megakaryocyte,spleen,normal,117,6190,1.8901453957996768,1.43013901483725
ABHD1,megakaryocyte,spleen,normal,1,6190,0.0161550888529886,1.1708917995695511
ABHD10,megakaryocyte,spleen,normal,46,6190,0.7431340872374798,1.3507081366842029
ABHD11,megakaryocyte,spleen,normal,356,6190,5.751211631663974,1.456554470876271
ABHD12,megakaryocyte,spleen,normal,141,6190,2.2778675282714054,1.3702949272806182
ABHD14A,megakaryocyte,spleen,normal,51,6190,0.8239095315024233,1.3621537081245385
ABHD14B,megakaryocyte,spleen,normal,49,6190,0.7915993537964459,1.2959100165057331
ABHD16A,megakaryocyte,spleen,normal,1484,6190,23.974151857835217,1.806607920162473
ABHD17A,megakaryocyte,spleen,normal,52,6190,0.840064620355412,1.2519566123923835
ABHD17B,megakaryocyte,spleen,normal,11,6190,0.1777059773828756,1.3392073398782698
ABHD18,megakaryocyte,spleen,normal,42,6190,0.678513731825525,1.3796922941756655
