gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,memory B cell,spleen,normal,51,14655,0.3480040941658137,1.2891745882163557
A1BG-AS1,memory B cell,spleen,normal,18,14655,0.1228249744114636,1.2900500647232889
A2M,memory B cell,spleen,normal,9,14655,0.0614124872057318,1.3356001542652405
A2ML1,memory B cell,spleen,normal,3,14655,0.0204708290685772,1.6569328353574937
A2ML1-AS1,memory B cell,spleen,normal,16,14655,0.1091777550324121,1.4751871449656853
A4GALT,memory B cell,spleen,normal,2,14655,0.0136472193790515,1.1678097703003063
AAAS,memory B cell,spleen,normal,59,14655,0.4025929716820198,1.381911682002298
AACS,memory B cell,spleen,normal,19,14655,0.1296485841009894,1.3528897983223984
AAGAB,memory B cell,spleen,normal,263,14655,1.7946093483452747,1.454365904095548
AAK1,memory B cell,spleen,normal,48,14655,0.3275332650972364,1.473891472887286
AAMDC,memory B cell,spleen,normal,185,14655,1.2623677925622654,1.363418696155149
AAMP,memory B cell,spleen,normal,169,14655,1.1531900375298534,1.3569292449413366
AANAT,memory B cell,spleen,normal,2,14655,0.0136472193790515,1.250474122095116
AAR2,memory B cell,spleen,normal,37,14655,0.2524735585124531,1.363164682803663
AARS1,memory B cell,spleen,normal,12,14655,0.0818833162743091,1.2697311144840495
AARS2,memory B cell,spleen,normal,21,14655,0.1432958034800409,1.3772352707804316
AARSD1,memory B cell,spleen,normal,1010,14655,6.891845786421016,1.4629522059777902
AASDH,memory B cell,spleen,normal,19,14655,0.1296485841009894,1.3311964474060631
AASDHPPT,memory B cell,spleen,normal,269,14655,1.8355510064824292,1.3482979350469777
AASS,memory B cell,spleen,normal,9,14655,0.0614124872057318,1.2655594344218783
AATF,memory B cell,spleen,normal,110,14655,0.7505970658478335,1.3559915580411854
AATK,memory B cell,spleen,normal,9,14655,0.0614124872057318,1.2080255960597477
ABALON,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.362342033834803
ABAT,memory B cell,spleen,normal,51,14655,0.3480040941658137,1.4709024657997485
ABCA1,memory B cell,spleen,normal,145,14655,0.989423404981235,1.499163656051569
ABCA10,memory B cell,spleen,normal,6,14655,0.0409416581371545,1.8474313386217005
ABCA2,memory B cell,spleen,normal,23,14655,0.1569430228590924,1.5722809833862623
ABCA3,memory B cell,spleen,normal,6,14655,0.0409416581371545,1.4765641632408422
ABCA5,memory B cell,spleen,normal,44,14655,0.3002388263391334,1.5112075063577906
ABCA6,memory B cell,spleen,normal,24,14655,0.1637666325486182,1.4436940138812255
ABCA7,memory B cell,spleen,normal,497,14655,3.391334015694302,1.4752532863727146
ABCA8,memory B cell,spleen,normal,1,14655,0.0068236096895257,2.127222661488618
ABCA9,memory B cell,spleen,normal,6,14655,0.0409416581371545,1.401906022102895
ABCB1,memory B cell,spleen,normal,62,14655,0.4230638007505971,1.446591494202664
ABCB10,memory B cell,spleen,normal,84,14655,0.5731832139201637,1.4802533058636305
ABCB11,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.4562752559774916
ABCB4,memory B cell,spleen,normal,102,14655,0.6960081883316274,1.4002379793382758
ABCB6,memory B cell,spleen,normal,42,14655,0.2865916069600818,1.4879615678866236
ABCB7,memory B cell,spleen,normal,114,14655,0.7778915046059366,1.3754154098244584
ABCB8,memory B cell,spleen,normal,334,14655,2.279085636301604,1.5138284434446423
ABCB9,memory B cell,spleen,normal,6,14655,0.0409416581371545,1.3359896368989015
ABCC1,memory B cell,spleen,normal,67,14655,0.4571818491982259,1.3326724178748723
ABCC10,memory B cell,spleen,normal,171,14655,1.1668372569089047,1.4914784709528832
ABCC2,memory B cell,spleen,normal,3,14655,0.0204708290685772,1.5658928995342327
ABCC3,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.3242015914286756
ABCC4,memory B cell,spleen,normal,24,14655,0.1637666325486182,1.3447166473938872
ABCC5,memory B cell,spleen,normal,64,14655,0.4367110201296486,1.4374530648962582
ABCC5-AS1,memory B cell,spleen,normal,2,14655,0.0136472193790515,1.2253344845027865
ABCC6,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.993678643082996
ABCD1,memory B cell,spleen,normal,48,14655,0.3275332650972364,1.3531656464099326
ABCD3,memory B cell,spleen,normal,7,14655,0.0477652678266803,1.404118945085667
ABCD4,memory B cell,spleen,normal,292,14655,1.9924940293415216,1.4678652997002706
ABCE1,memory B cell,spleen,normal,1043,14655,7.117024906175367,1.4211336939919383
ABCF1,memory B cell,spleen,normal,63,14655,0.4298874104401228,1.3563987629891343
ABCF2,memory B cell,spleen,normal,333,14655,2.272262026612078,1.407463418523914
ABCF3,memory B cell,spleen,normal,444,14655,3.029682702149437,1.4123928971042496
ABCG1,memory B cell,spleen,normal,41,14655,0.2797679972705561,1.3518434570261415
ABHD1,memory B cell,spleen,normal,2,14655,0.0136472193790515,1.7556195636027998
ABHD10,memory B cell,spleen,normal,266,14655,1.815080177413852,1.3600655118915268
ABHD11,memory B cell,spleen,normal,141,14655,0.962128966223132,1.4282500719533633
ABHD12,memory B cell,spleen,normal,87,14655,0.593654042988741,1.4229486989659872
ABHD13,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.2418135875864151
ABHD14A,memory B cell,spleen,normal,392,14655,2.674854998294097,1.3365015950473125
ABHD14B,memory B cell,spleen,normal,450,14655,3.0706243602865912,1.2748689014159231
ABHD15,memory B cell,spleen,normal,3,14655,0.0204708290685772,1.207193189895879
ABHD16A,memory B cell,spleen,normal,340,14655,2.320027294438758,1.3951757923668076
ABHD17A,memory B cell,spleen,normal,122,14655,0.8324803821221426,1.2914350957548315
ABHD17B,memory B cell,spleen,normal,26,14655,0.1774138519276697,1.4133136023574902
ABHD17C,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.2370777622626945
ABHD18,memory B cell,spleen,normal,55,14655,0.3752985329239167,1.3521758304888667
ABHD2,memory B cell,spleen,normal,491,14655,3.350392357557148,1.4117781368703193
ABHD3,memory B cell,spleen,normal,516,14655,3.520982599795292,1.550889360762025
ABHD4,memory B cell,spleen,normal,172,14655,1.1736608665984305,1.3837623327173385
ABHD5,memory B cell,spleen,normal,135,14655,0.9211873080859776,1.4928236574495892
ABHD6,memory B cell,spleen,normal,1373,14655,9.368816103718869,1.5265639881830886
ABHD8,memory B cell,spleen,normal,258,14655,1.760491299897646,1.3622658477600766
ABI1,memory B cell,spleen,normal,75,14655,0.511770726714432,1.261400087854617
ABI2,memory B cell,spleen,normal,417,14655,2.845445240532241,1.4827320558225912
ABI3,memory B cell,spleen,normal,743,14655,5.069941999317639,1.3424243354308074
ABI3BP,memory B cell,spleen,normal,2,14655,0.0136472193790515,1.8672760984833012
ABITRAM,memory B cell,spleen,normal,265,14655,1.8082565677243263,1.4090065909124878
ABL2,memory B cell,spleen,normal,22,14655,0.1501194131695667,1.3553559439728635
ABLIM1,memory B cell,spleen,normal,195,14655,1.3306038894575232,1.3881815212877138
ABLIM2,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.3658301206301755
ABR,memory B cell,spleen,normal,484,14655,3.3026270897304677,1.4956232872910036
ABR-AS1,memory B cell,spleen,normal,2,14655,0.0136472193790515,2.017842616280238
ABRACL,memory B cell,spleen,normal,1735,14655,11.838962811327193,1.4534132441183096
ABRAXAS1,memory B cell,spleen,normal,48,14655,0.3275332650972364,1.2844113005890432
ABRAXAS2,memory B cell,spleen,normal,4,14655,0.027294438758103,1.3416042669628403
ABT1,memory B cell,spleen,normal,23,14655,0.1569430228590924,1.2411981717951428
ABTB1,memory B cell,spleen,normal,632,14655,4.31252132378028,1.3993701359550088
ABTB2,memory B cell,spleen,normal,5,14655,0.0341180484476288,1.3592924919987917
ACAA1,memory B cell,spleen,normal,596,14655,4.066871374957352,1.3882070588821218
ACAA2,memory B cell,spleen,normal,39,14655,0.2661207778915046,1.2776666713700493
ACACA,memory B cell,spleen,normal,222,14655,1.5148413510747183,1.5432383437426422
ACACB,memory B cell,spleen,normal,43,14655,0.2934152166496076,1.534344803811876
ACAD10,memory B cell,spleen,normal,147,14655,1.0030706243602865,1.4932964810262854
ACAD11,memory B cell,spleen,normal,45,14655,0.3070624360286591,1.5039467184783326
ACAD8,memory B cell,spleen,normal,53,14655,0.3616513135448652,1.4075993675097582
ACAD9,memory B cell,spleen,normal,16,14655,0.1091777550324121,1.2989377277288814
ACAD9-DT,memory B cell,spleen,normal,1,14655,0.0068236096895257,2.424525558638794
ACADM,memory B cell,spleen,normal,94,14655,0.6414193108154214,1.314818184344975
ACADS,memory B cell,spleen,normal,12,14655,0.0818833162743091,1.3550200339367793
ACADSB,memory B cell,spleen,normal,128,14655,0.8734220402592971,1.3955941501725038
ACADVL,memory B cell,spleen,normal,2241,14655,15.291709314227225,1.511903353971802
ACAP1,memory B cell,spleen,normal,7414,14655,50.59024223814398,1.6763422773553391
ACAP2,memory B cell,spleen,normal,3404,14655,23.227567383145683,1.5134282940856614
ACAP2-IT1,memory B cell,spleen,normal,9,14655,0.0614124872057318,1.6221178448262854
ACAP3,memory B cell,spleen,normal,211,14655,1.4397816444899352,1.4719575261685145
ACAT1,memory B cell,spleen,normal,162,14655,1.1054247697031732,1.3137802443337585
ACAT2,memory B cell,spleen,normal,83,14655,0.5663596042306379,1.398546411144051
ACBD3,memory B cell,spleen,normal,133,14655,0.907540088706926,1.3252441802806645
ACBD3-AS1,memory B cell,spleen,normal,41,14655,0.2797679972705561,1.453981249810962
ACBD4,memory B cell,spleen,normal,47,14655,0.3207096554077107,1.4572061287982587
ACBD5,memory B cell,spleen,normal,6,14655,0.0409416581371545,1.221022427107053
ACBD6,memory B cell,spleen,normal,142,14655,0.9689525759126578,1.4479986167179353
ACBD7,memory B cell,spleen,normal,2,14655,0.0136472193790515,1.3795210617314777
ACCS,memory B cell,spleen,normal,88,14655,0.6004776526782668,1.556889097612116
ACD,memory B cell,spleen,normal,136,14655,0.9280109177755032,1.3627359114700608
ACE,memory B cell,spleen,normal,5,14655,0.0341180484476288,1.2967573521111209
ACER1,memory B cell,spleen,normal,1,14655,0.0068236096895257,1.4966290517929823
