gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.239385796104406
A2M,mesothelial cell,spleen,normal,21,348,6.0344827586206895,1.7579844690681068
AAAS,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.307997492088797
AADAT,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.153525683194254
AAGAB,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.168117660952617
AAK1,mesothelial cell,spleen,normal,26,348,7.471264367816093,1.47005329492353
AAMDC,mesothelial cell,spleen,normal,215,348,61.7816091954023,1.7285495168319014
AAMP,mesothelial cell,spleen,normal,10,348,2.8735632183908044,1.2292844931480036
AARSD1,mesothelial cell,spleen,normal,8,348,2.2988505747126435,1.641153605726483
AASDHPPT,mesothelial cell,spleen,normal,22,348,6.321839080459771,1.3303706096629115
AATF,mesothelial cell,spleen,normal,4,348,1.1494252873563218,1.3186225177287647
ABCA1,mesothelial cell,spleen,normal,8,348,2.2988505747126435,1.2379897695884468
ABCA2,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.4560304209670627
ABCA5,mesothelial cell,spleen,normal,7,348,2.0114942528735638,1.364625715832229
ABCA8,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.330219649344211
ABCB10,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.4382030237065075
ABCB6,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.3902289378651496
ABCB7,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.1386759063279608
ABCB8,mesothelial cell,spleen,normal,15,348,4.310344827586207,1.411042833404336
ABCC2,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.652939111141503
ABCC3,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.3405598032404402
ABCC5,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.1723111402753232
ABCD4,mesothelial cell,spleen,normal,20,348,5.747126436781609,1.328752015888356
ABCE1,mesothelial cell,spleen,normal,48,348,13.79310344827586,1.4033314358040558
ABCF1,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.2064435917151768
ABCF2,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.1748096073061438
ABCF3,mesothelial cell,spleen,normal,16,348,4.597701149425287,1.3157858523939263
ABHD10,mesothelial cell,spleen,normal,4,348,1.1494252873563218,1.3059369093031918
ABHD12,mesothelial cell,spleen,normal,8,348,2.2988505747126435,1.2220795789785504
ABHD14A,mesothelial cell,spleen,normal,5,348,1.4367816091954022,1.4420975281600057
ABHD14B,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.159071972077328
ABHD16A,mesothelial cell,spleen,normal,8,348,2.2988505747126435,1.3959533128812378
ABHD2,mesothelial cell,spleen,normal,11,348,3.160919540229885,1.640618758153368
ABHD3,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.1900270847895178
ABHD4,mesothelial cell,spleen,normal,29,348,8.333333333333332,1.4083960599811427
ABHD5,mesothelial cell,spleen,normal,14,348,4.022988505747127,1.3608977618106066
ABHD8,mesothelial cell,spleen,normal,14,348,4.022988505747127,1.414459173134438
ABI2,mesothelial cell,spleen,normal,47,348,13.505747126436782,1.407052658813707
ABI3BP,mesothelial cell,spleen,normal,53,348,15.229885057471265,1.70222834338852
ABITRAM,mesothelial cell,spleen,normal,29,348,8.333333333333332,1.4970180662712391
ABLIM1,mesothelial cell,spleen,normal,8,348,2.2988505747126435,1.3645484795011722
ABO,mesothelial cell,spleen,normal,4,348,1.1494252873563218,1.1458722378512534
ABR,mesothelial cell,spleen,normal,19,348,5.459770114942529,1.4881429004433206
ABRACL,mesothelial cell,spleen,normal,111,348,31.89655172413793,1.5141349026018536
ABRAXAS1,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.1049773378409384
ABTB1,mesothelial cell,spleen,normal,16,348,4.597701149425287,1.4101646514210464
ACAA1,mesothelial cell,spleen,normal,14,348,4.022988505747127,1.2574506511220682
ACAA2,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.260658563677003
ACACA,mesothelial cell,spleen,normal,4,348,1.1494252873563218,1.4939607802523152
ACACB,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.2897848112509176
ACAD10,mesothelial cell,spleen,normal,4,348,1.1494252873563218,1.415822265541041
ACAD8,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.1319006572885455
ACADSB,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.3360291898077232
ACADVL,mesothelial cell,spleen,normal,99,348,28.448275862068968,1.5226920875414425
ACAP1,mesothelial cell,spleen,normal,11,348,3.160919540229885,1.460103819016389
ACAP2,mesothelial cell,spleen,normal,45,348,12.93103448275862,1.3578489225148611
ACAP3,mesothelial cell,spleen,normal,8,348,2.2988505747126435,1.4152279348622645
ACAT1,mesothelial cell,spleen,normal,5,348,1.4367816091954022,1.2881786649720386
ACBD6,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.2040077749815818
ACCS,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.199266507430293
ACD,mesothelial cell,spleen,normal,5,348,1.4367816091954022,1.2565377291144617
ACIN1,mesothelial cell,spleen,normal,28,348,8.045977011494253,1.335241156755069
ACKR1,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.379444255471104
ACKR2,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.1275511058863688
ACLY,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.225901193087479
ACO2,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.2449716960261206
ACOT1,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.1195322389975737
ACOT2,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.1412588511203912
ACOT7,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.125356511679953
ACOT8,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.5075305245038737
ACOT9,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.19209902947185
ACOX1,mesothelial cell,spleen,normal,13,348,3.7356321839080464,1.3652999254315952
ACOX2,mesothelial cell,spleen,normal,4,348,1.1494252873563218,1.4210810798800335
ACOX3,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.453800335013521
ACP1,mesothelial cell,spleen,normal,104,348,29.88505747126437,1.5021298487844836
ACP2,mesothelial cell,spleen,normal,11,348,3.160919540229885,1.3276647123855023
ACP3,mesothelial cell,spleen,normal,6,348,1.7241379310344829,1.3203835659525558
ACP5,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.2045383461420502
ACR,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.3901043056272169
ACRBP,mesothelial cell,spleen,normal,2,348,0.5747126436781609,2.115110265497267
ACSF2,mesothelial cell,spleen,normal,10,348,2.8735632183908044,1.4484144570521342
ACSF3,mesothelial cell,spleen,normal,4,348,1.1494252873563218,1.36483420438694
ACSM3,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.5429929240164897
ACSS2,mesothelial cell,spleen,normal,9,348,2.586206896551724,1.5470097170803294
ACTA2,mesothelial cell,spleen,normal,9,348,2.586206896551724,1.649155763087807
ACTB,mesothelial cell,spleen,normal,346,348,99.42528735632185,3.4587828363629267
ACTG1,mesothelial cell,spleen,normal,347,348,99.71264367816092,3.1513511295687016
ACTL6A,mesothelial cell,spleen,normal,40,348,11.494252873563218,1.4417480166247223
ACTMAP,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.2598439679044533
ACTN4,mesothelial cell,spleen,normal,25,348,7.183908045977011,1.3408390025682777
ACTR10,mesothelial cell,spleen,normal,78,348,22.41379310344828,1.4276871688503794
ACTR1A,mesothelial cell,spleen,normal,10,348,2.8735632183908044,1.3151575192281346
ACTR1B,mesothelial cell,spleen,normal,15,348,4.310344827586207,1.305168851823635
ACTR2,mesothelial cell,spleen,normal,3,348,0.8620689655172413,1.1458521822970622
ACTR3,mesothelial cell,spleen,normal,105,348,30.17241379310345,1.4843084703620455
ACTR3-AS1,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.1360387402888024
ACTR3C,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.2376614664256982
ACTR6,mesothelial cell,spleen,normal,16,348,4.597701149425287,1.330418314681138
ACTR8,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.212156584229218
ACVR1B,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.2685273019159276
ACVR2A,mesothelial cell,spleen,normal,7,348,2.0114942528735638,1.3137437519265798
ACY1,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.2150705898729557
ACYP1,mesothelial cell,spleen,normal,14,348,4.022988505747127,1.5239912344884168
ACYP2,mesothelial cell,spleen,normal,2,348,0.5747126436781609,1.1234886600652905
ADA,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.206581065780121
ADAM10,mesothelial cell,spleen,normal,61,348,17.52873563218391,1.4191151318173831
ADAM12,mesothelial cell,spleen,normal,5,348,1.4367816091954022,1.3106911057178512
ADAM15,mesothelial cell,spleen,normal,39,348,11.20689655172414,1.3278167821090243
ADAM32,mesothelial cell,spleen,normal,1,348,0.2873563218390804,1.1441007141321156
