gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,monocyte,spleen,normal,15,19334,0.0775835316023585,1.6350775735910632
5S_rRNA_ENSG00000285912,monocyte,spleen,normal,1,19334,0.0051722354401572,1.5387149670684537
7SK_ENSG00000202198,monocyte,spleen,normal,70,19334,0.3620564808110065,1.5076099192926504
7SK_ENSG00000274303,monocyte,spleen,normal,1,19334,0.0051722354401572,1.26735301491618
A1BG,monocyte,spleen,normal,52,19334,0.2689562428881762,1.2960961010012757
A1BG-AS1,monocyte,spleen,normal,12,19334,0.0620668252818868,1.3352504796741351
A2M,monocyte,spleen,normal,109,19334,0.5637736629771387,1.5115680997528904
A2M-AS1,monocyte,spleen,normal,1,19334,0.0051722354401572,1.229692607882892
A2ML1,monocyte,spleen,normal,14,19334,0.0724112961622013,1.5600568812613336
A2ML1-AS1,monocyte,spleen,normal,7,19334,0.0362056480811006,1.3130938692708678
A3GALT2,monocyte,spleen,normal,5,19334,0.0258611772007861,1.347144938080482
AAAS,monocyte,spleen,normal,33,19334,0.1706837695251888,1.2350962999063817
AACS,monocyte,spleen,normal,13,19334,0.067239060722044,1.2598098661123849
AACSP1_ENSG00000250420,monocyte,spleen,normal,1,19334,0.0051722354401572,1.1807655386771108
AADACL2-AS1,monocyte,spleen,normal,4,19334,0.0206889417606289,1.4470354574130992
AAGAB,monocyte,spleen,normal,558,19334,2.8861073756077373,1.360417964952055
AAK1,monocyte,spleen,normal,3146,19334,16.271852694734665,1.4266014381836971
AAMDC,monocyte,spleen,normal,600,19334,3.1033412640943414,1.447045013708697
AAMP,monocyte,spleen,normal,224,19334,1.1585807385952207,1.3324174467714087
AANAT,monocyte,spleen,normal,2,19334,0.0103444708803144,1.2114980262583015
AAR2,monocyte,spleen,normal,9,19334,0.0465501189614151,1.194946014543428
AARS1,monocyte,spleen,normal,4,19334,0.0206889417606289,1.2768014895173692
AARS2,monocyte,spleen,normal,2,19334,0.0103444708803144,1.1538383024661347
AARSD1,monocyte,spleen,normal,175,19334,0.9051412020275164,1.4020264523556816
AARSD1P1,monocyte,spleen,normal,1,19334,0.0051722354401572,1.3215275896787697
AASDH,monocyte,spleen,normal,5,19334,0.0258611772007861,1.205483708242858
AASDHPPT,monocyte,spleen,normal,239,19334,1.2361642701975797,1.3369336497985291
AATBC,monocyte,spleen,normal,28,19334,0.1448225923244026,1.2846514772161195
AATF,monocyte,spleen,normal,138,19334,0.7137684907416986,1.2779014497512973
AATK,monocyte,spleen,normal,823,19334,4.256749767249405,1.415302712113104
ABALON,monocyte,spleen,normal,1,19334,0.0051722354401572,1.3937083075725831
ABAT,monocyte,spleen,normal,181,19334,0.9361746146684596,1.3161905259985671
ABCA1,monocyte,spleen,normal,2767,19334,14.311575462915073,1.7125346925173015
ABCA10,monocyte,spleen,normal,2,19334,0.0103444708803144,1.5492690790081838
ABCA13,monocyte,spleen,normal,4,19334,0.0206889417606289,1.39350485638057
ABCA15P,monocyte,spleen,normal,2,19334,0.0103444708803144,1.4080453999340057
ABCA17P,monocyte,spleen,normal,6,19334,0.0310334126409434,1.3285053332728356
ABCA2,monocyte,spleen,normal,23,19334,0.1189614151236164,1.4196012641066729
ABCA5,monocyte,spleen,normal,19,19334,0.0982724733629874,1.301454800776845
ABCA6,monocyte,spleen,normal,5,19334,0.0258611772007861,1.3215067326756866
ABCA7,monocyte,spleen,normal,805,19334,4.163649529326575,1.4534664842078018
ABCA9,monocyte,spleen,normal,1,19334,0.0051722354401572,1.3405527092089111
ABCA9-AS1,monocyte,spleen,normal,3,19334,0.0155167063204717,1.3274414246602864
ABCB1,monocyte,spleen,normal,189,19334,0.9775524981897176,1.6135270377177788
ABCB10,monocyte,spleen,normal,223,19334,1.1534085031550636,1.392976436299882
ABCB4,monocyte,spleen,normal,2,19334,0.0103444708803144,1.2927566347274857
ABCB6,monocyte,spleen,normal,20,19334,0.1034447088031447,1.4475681846640005
ABCB7,monocyte,spleen,normal,55,19334,0.2844729492086479,1.269552074990638
ABCB8,monocyte,spleen,normal,184,19334,0.9516913209889314,1.3984949596312577
ABCB9,monocyte,spleen,normal,6,19334,0.0310334126409434,1.2420347088749206
ABCC1,monocyte,spleen,normal,35,19334,0.1810282404055032,1.2359298128536933
ABCC10,monocyte,spleen,normal,174,19334,0.899968966587359,1.4010896334930991
ABCC11,monocyte,spleen,normal,1,19334,0.0051722354401572,1.243496844996183
ABCC2,monocyte,spleen,normal,5,19334,0.0258611772007861,1.243998521550139
ABCC3,monocyte,spleen,normal,445,19334,2.3016447708699697,1.4044193737854187
ABCC4,monocyte,spleen,normal,8,19334,0.0413778835212578,1.3013907825375306
ABCC5,monocyte,spleen,normal,55,19334,0.2844729492086479,1.2861589067732804
ABCC5-AS1,monocyte,spleen,normal,1,19334,0.0051722354401572,1.4704922387795814
ABCC6,monocyte,spleen,normal,16,19334,0.0827557670425157,1.3142039282652829
