gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,mucosal invariant T cell,spleen,normal,16,1519,1.053324555628703,1.312862733571203
A1BG-AS1,mucosal invariant T cell,spleen,normal,7,1519,0.4608294930875576,1.2221199341487128
A1CF,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.286995051460094
A2M,mucosal invariant T cell,spleen,normal,53,1519,3.489137590520079,1.5277316449012508
A2M-AS1,mucosal invariant T cell,spleen,normal,11,1519,0.7241606319947334,1.2673799878678942
AAAS,mucosal invariant T cell,spleen,normal,6,1519,0.3949967083607636,1.304262413100404
AACS,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.3317282505210488
AAGAB,mucosal invariant T cell,spleen,normal,56,1519,3.686635944700461,1.2782874383746063
AAK1,mucosal invariant T cell,spleen,normal,618,1519,40.684660961158656,1.579661049924224
AAMDC,mucosal invariant T cell,spleen,normal,39,1519,2.567478604344964,1.4408829499104077
AAMP,mucosal invariant T cell,spleen,normal,14,1519,0.9216589861751152,1.2930528593734578
AAR2,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.1424827789777765
AARSD1,mucosal invariant T cell,spleen,normal,107,1519,7.044107965766952,1.427493626068245
AASDH,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.4255547868150964
AASDHPPT,mucosal invariant T cell,spleen,normal,41,1519,2.699144173798552,1.309125347544298
AATF,mucosal invariant T cell,spleen,normal,17,1519,1.119157340355497,1.2592345234770796
AATK,mucosal invariant T cell,spleen,normal,9,1519,0.5924950625411455,1.6931524323094431
ABAT,mucosal invariant T cell,spleen,normal,10,1519,0.6583278472679395,1.321643447065998
ABCA1,mucosal invariant T cell,spleen,normal,15,1519,0.9874917709019092,1.3659326771496203
ABCA10,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.3133402203617863
ABCA2,mucosal invariant T cell,spleen,normal,82,1519,5.398288347597104,1.3444749662564273
ABCA4,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.4346647998634257
ABCA5,mucosal invariant T cell,spleen,normal,10,1519,0.6583278472679395,1.3050629112092935
ABCA7,mucosal invariant T cell,spleen,normal,114,1519,7.504937458854509,1.4269112177358123
ABCB1,mucosal invariant T cell,spleen,normal,295,1519,19.42067149440421,1.447689861404849
ABCB10,mucosal invariant T cell,spleen,normal,13,1519,0.8558262014483212,1.4835229377469012
ABCB6,mucosal invariant T cell,spleen,normal,2,1519,0.1316655694535878,1.1975655577824065
ABCB7,mucosal invariant T cell,spleen,normal,4,1519,0.2633311389071757,1.2866333875450957
ABCB8,mucosal invariant T cell,spleen,normal,62,1519,4.081632653061225,1.3918335682087253
ABCC1,mucosal invariant T cell,spleen,normal,5,1519,0.3291639236339697,1.2724582532191158
ABCC10,mucosal invariant T cell,spleen,normal,62,1519,4.081632653061225,1.3952227197402984
ABCC3,mucosal invariant T cell,spleen,normal,2,1519,0.1316655694535878,1.2420233846052835
ABCC4,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.322192007259995
ABCC5,mucosal invariant T cell,spleen,normal,3,1519,0.1974983541803818,1.5163376870359002
ABCD1,mucosal invariant T cell,spleen,normal,47,1519,3.0941408821593157,1.3282576377292
ABCD4,mucosal invariant T cell,spleen,normal,87,1519,5.727452271231074,1.3407582418755188
ABCE1,mucosal invariant T cell,spleen,normal,206,1519,13.561553653719551,1.388342008742559
ABCF1,mucosal invariant T cell,spleen,normal,18,1519,1.184990125082291,1.2519269022636614
ABCF2,mucosal invariant T cell,spleen,normal,70,1519,4.6082949308755765,1.3328759759967077
ABCF3,mucosal invariant T cell,spleen,normal,112,1519,7.373271889400922,1.3654171459449906
ABCG1,mucosal invariant T cell,spleen,normal,4,1519,0.2633311389071757,1.3378884648824254
ABHD10,mucosal invariant T cell,spleen,normal,59,1519,3.8841342988808414,1.2946938403481434
ABHD11,mucosal invariant T cell,spleen,normal,32,1519,2.106649111257406,1.338021428409439
ABHD12,mucosal invariant T cell,spleen,normal,32,1519,2.106649111257406,1.290230250778761
ABHD14A,mucosal invariant T cell,spleen,normal,186,1519,12.244897959183673,1.3606750059713428
ABHD14B,mucosal invariant T cell,spleen,normal,56,1519,3.686635944700461,1.3092385340687616
ABHD15,mucosal invariant T cell,spleen,normal,3,1519,0.1974983541803818,1.156125153913153
ABHD16A,mucosal invariant T cell,spleen,normal,125,1519,8.229098090849243,1.3125721413264688
ABHD17A,mucosal invariant T cell,spleen,normal,216,1519,14.21988150098749,1.3553940637195774
ABHD17B,mucosal invariant T cell,spleen,normal,2,1519,0.1316655694535878,1.331530799797647
ABHD17C,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.34373484053216
ABHD18,mucosal invariant T cell,spleen,normal,10,1519,0.6583278472679395,1.2816311903967972
ABHD2,mucosal invariant T cell,spleen,normal,89,1519,5.859117840684661,1.5547722031913993
ABHD3,mucosal invariant T cell,spleen,normal,91,1519,5.990783410138248,1.401962757710949
ABHD4,mucosal invariant T cell,spleen,normal,72,1519,4.739960500329164,1.355718803737224
ABHD5,mucosal invariant T cell,spleen,normal,38,1519,2.5016458196181697,1.418008870610481
ABHD6,mucosal invariant T cell,spleen,normal,19,1519,1.2508229098090848,1.3390192935470706
ABHD8,mucosal invariant T cell,spleen,normal,41,1519,2.699144173798552,1.4460476095469583
ABI1,mucosal invariant T cell,spleen,normal,5,1519,0.3291639236339697,1.2361632095327897
ABI2,mucosal invariant T cell,spleen,normal,73,1519,4.805793285055958,1.3888221923345263
ABI3,mucosal invariant T cell,spleen,normal,97,1519,6.385780118499013,1.347675772015116
ABI3BP,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.3414357641929742
ABITRAM,mucosal invariant T cell,spleen,normal,27,1519,1.7774851876234363,1.5275261539669638
ABL2,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.4411708163525754
ABLIM1,mucosal invariant T cell,spleen,normal,22,1519,1.4483212639894667,1.2506754350513556
ABR,mucosal invariant T cell,spleen,normal,121,1519,7.965766951942068,1.5498295799106854
ABRACL,mucosal invariant T cell,spleen,normal,702,1519,46.21461487820935,1.6437763192238812
ABRAXAS1,mucosal invariant T cell,spleen,normal,6,1519,0.3949967083607636,1.290581594767474
ABT1,mucosal invariant T cell,spleen,normal,2,1519,0.1316655694535878,1.1936144412821883
ABTB1,mucosal invariant T cell,spleen,normal,195,1519,12.837393021724818,1.3641687541898224
ACAA1,mucosal invariant T cell,spleen,normal,88,1519,5.793285055957867,1.2804424017401754
ACAA2,mucosal invariant T cell,spleen,normal,52,1519,3.423304805793285,1.2937960570145142
ACACA,mucosal invariant T cell,spleen,normal,40,1519,2.633311389071758,1.422965900162395
ACACB,mucosal invariant T cell,spleen,normal,15,1519,0.9874917709019092,1.365380325420688
ACAD10,mucosal invariant T cell,spleen,normal,19,1519,1.2508229098090848,1.343957861855042
ACAD11,mucosal invariant T cell,spleen,normal,7,1519,0.4608294930875576,1.472039497072488
ACAD8,mucosal invariant T cell,spleen,normal,12,1519,0.7899934167215273,1.3144808945984916
ACAD9,mucosal invariant T cell,spleen,normal,1,1519,0.0658327847267939,1.4299679577230906
ACADM,mucosal invariant T cell,spleen,normal,3,1519,0.1974983541803818,1.196919770307803
ACADS,mucosal invariant T cell,spleen,normal,5,1519,0.3291639236339697,1.1955216036302825
ACADSB,mucosal invariant T cell,spleen,normal,28,1519,1.8433179723502304,1.326856914588737
ACADVL,mucosal invariant T cell,spleen,normal,475,1519,31.27057274522712,1.523840284881263
ACAP1,mucosal invariant T cell,spleen,normal,857,1519,56.41869651086241,1.7832525589663537
ACAP2,mucosal invariant T cell,spleen,normal,361,1519,23.76563528637261,1.4460549210316052
ACAP2-IT1,mucosal invariant T cell,spleen,normal,4,1519,0.2633311389071757,1.5635684019557243
ACAP3,mucosal invariant T cell,spleen,normal,44,1519,2.8966425279789334,1.3087274925976082
ACAT1,mucosal invariant T cell,spleen,normal,25,1519,1.6458196181698488,1.3370862491525397
ACAT2,mucosal invariant T cell,spleen,normal,24,1519,1.579986833443055,1.2619932592623733
ACBD3,mucosal invariant T cell,spleen,normal,16,1519,1.053324555628703,1.2547141691305612
ACBD3-AS1,mucosal invariant T cell,spleen,normal,7,1519,0.4608294930875576,1.4529118061837916
ACBD4,mucosal invariant T cell,spleen,normal,9,1519,0.5924950625411455,1.2720931089727898
ACBD6,mucosal invariant T cell,spleen,normal,17,1519,1.119157340355497,1.2867653805729056
ACCS,mucosal invariant T cell,spleen,normal,19,1519,1.2508229098090848,1.333819022357139
ACD,mucosal invariant T cell,spleen,normal,37,1519,2.435813034891376,1.2747447149050055
ACE,mucosal invariant T cell,spleen,normal,5,1519,0.3291639236339697,1.1636020580330186
ACER1,mucosal invariant T cell,spleen,normal,2,1519,0.1316655694535878,1.370620402443575
ACIN1,mucosal invariant T cell,spleen,normal,309,1519,20.342330480579328,1.435190802819351
ACLY,mucosal invariant T cell,spleen,normal,10,1519,0.6583278472679395,1.2914476562439563
ACO2,mucosal invariant T cell,spleen,normal,3,1519,0.1974983541803818,1.1526898533115288
ACOT2,mucosal invariant T cell,spleen,normal,5,1519,0.3291639236339697,1.2689933614927429
ACOT4,mucosal invariant T cell,spleen,normal,2,1519,0.1316655694535878,1.357128378801575
