gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAK1,myelocyte,spleen,normal,1,54,1.851851851851852,1.108386833772259
AAMDC,myelocyte,spleen,normal,8,54,14.814814814814811,1.5794640938155806
ABCA7,myelocyte,spleen,normal,3,54,5.555555555555555,1.4193002863710242
ABCB10,myelocyte,spleen,normal,1,54,1.851851851851852,1.3812585812789129
ABHD2,myelocyte,spleen,normal,5,54,9.25925925925926,1.4729464940335308
ABHD3,myelocyte,spleen,normal,4,54,7.4074074074074066,1.25551188257948
ABHD5,myelocyte,spleen,normal,1,54,1.851851851851852,1.198189581140447
ABITRAM,myelocyte,spleen,normal,1,54,1.851851851851852,1.5495065718511911
ABR,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2291012864746729
ABRACL,myelocyte,spleen,normal,22,54,40.74074074074074,1.5132609819466756
ABTB1,myelocyte,spleen,normal,3,54,5.555555555555555,1.2184442567782618
ACAA1,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2727910036862222
ACADVL,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2093416554576844
ACAP1,myelocyte,spleen,normal,6,54,11.11111111111111,1.535204941407209
ACAP2,myelocyte,spleen,normal,10,54,18.51851851851852,1.234201393074335
ACOX1,myelocyte,spleen,normal,1,54,1.851851851851852,1.3891106496746857
ACP1,myelocyte,spleen,normal,4,54,7.4074074074074066,1.4566157474500023
ACP3,myelocyte,spleen,normal,1,54,1.851851851851852,1.6077394910485028
ACSF3,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2285869776291158
ACSM3,myelocyte,spleen,normal,1,54,1.851851851851852,1.1050720106844203
ACTB,myelocyte,spleen,normal,54,54,100.0,2.8825114995427232
ACTG1,myelocyte,spleen,normal,35,54,64.81481481481481,1.8702745417982205
ACTL6A,myelocyte,spleen,normal,1,54,1.851851851851852,1.211427846472477
ACTN1,myelocyte,spleen,normal,1,54,1.851851851851852,1.2901159957148056
ACTR10,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3984609533988557
ACTR1A,myelocyte,spleen,normal,1,54,1.851851851851852,1.3627947678954326
ACTR2,myelocyte,spleen,normal,9,54,16.666666666666664,1.3240765164045898
ACTR3,myelocyte,spleen,normal,13,54,24.074074074074076,1.3315258404112014
ADAM10,myelocyte,spleen,normal,6,54,11.11111111111111,1.490116474669642
ADAM12,myelocyte,spleen,normal,1,54,1.851851851851852,1.563852588933189
ADAM15,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2533482756871932
ADAP1,myelocyte,spleen,normal,1,54,1.851851851851852,1.2918192981673262
ADD3,myelocyte,spleen,normal,2,54,3.7037037037037033,1.265226352053873
ADGRE5,myelocyte,spleen,normal,8,54,14.814814814814811,1.431367177771809
ADGRL1,myelocyte,spleen,normal,1,54,1.851851851851852,1.6022959317571956
ADH5,myelocyte,spleen,normal,3,54,5.555555555555555,1.377098319825272
ADIPOR2,myelocyte,spleen,normal,1,54,1.851851851851852,1.2072522383258175
ADISSP,myelocyte,spleen,normal,8,54,14.814814814814811,1.529305982528918
ADPGK,myelocyte,spleen,normal,1,54,1.851851851851852,1.287543726189444
ADSL,myelocyte,spleen,normal,1,54,1.851851851851852,1.114347545840452
ADSS2,myelocyte,spleen,normal,8,54,14.814814814814811,1.4225745539090076
AFF4,myelocyte,spleen,normal,1,54,1.851851851851852,1.4905833465160914
AFMID,myelocyte,spleen,normal,1,54,1.851851851851852,1.6037171569530364
AGA,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3259839597868872
AGAP3,myelocyte,spleen,normal,1,54,1.851851851851852,1.2681121896613698
AGAP4,myelocyte,spleen,normal,1,54,1.851851851851852,1.3204605727945509
AGGF1,myelocyte,spleen,normal,1,54,1.851851851851852,1.2093702552000676
AGO2,myelocyte,spleen,normal,3,54,5.555555555555555,1.3151541060547152
AGO4,myelocyte,spleen,normal,2,54,3.7037037037037033,1.6231337291808852
AGPAT2,myelocyte,spleen,normal,2,54,3.7037037037037033,1.232098193184506
AGTRAP,myelocyte,spleen,normal,17,54,31.48148148148148,1.5291737117470503
AHNAK,myelocyte,spleen,normal,1,54,1.851851851851852,1.2536376706260792
AHSA1,myelocyte,spleen,normal,5,54,9.25925925925926,1.3099560227584282
AIDA,myelocyte,spleen,normal,1,54,1.851851851851852,1.1033304342526955
AIF1,myelocyte,spleen,normal,41,54,75.92592592592592,2.072662154670375
AIG1,myelocyte,spleen,normal,1,54,1.851851851851852,1.1090815187469398
AIP,myelocyte,spleen,normal,1,54,1.851851851851852,1.1202448531747045
AK4,myelocyte,spleen,normal,1,54,1.851851851851852,1.1625142767242858
AK6,myelocyte,spleen,normal,1,54,1.851851851851852,1.2492736530114
AKAP1,myelocyte,spleen,normal,1,54,1.851851851851852,1.1661224896612918
AKAP10,myelocyte,spleen,normal,2,54,3.7037037037037033,1.636047729410434
AKAP13,myelocyte,spleen,normal,3,54,5.555555555555555,1.2371285957072855
AKIRIN2,myelocyte,spleen,normal,1,54,1.851851851851852,1.344701408955675
AKR1A1,myelocyte,spleen,normal,3,54,5.555555555555555,1.427357564706793
AKR1C1,myelocyte,spleen,normal,1,54,1.851851851851852,1.1032090634128129
AKT2,myelocyte,spleen,normal,1,54,1.851851851851852,1.5917308326633202
AKTIP,myelocyte,spleen,normal,1,54,1.851851851851852,1.5971406478641563
ALAD,myelocyte,spleen,normal,1,54,1.851851851851852,1.2742862685230842
ALCAM,myelocyte,spleen,normal,1,54,1.851851851851852,1.206149313857898
ALDH2,myelocyte,spleen,normal,1,54,1.851851851851852,1.2469224233849665
ALDOA,myelocyte,spleen,normal,4,54,7.4074074074074066,1.226656204476909
ALG13,myelocyte,spleen,normal,3,54,5.555555555555555,1.368273173197781
ALG3,myelocyte,spleen,normal,1,54,1.851851851851852,1.2422492572706507
ALG6,myelocyte,spleen,normal,2,54,3.7037037037037033,1.1951880086590176
ALKBH1,myelocyte,spleen,normal,1,54,1.851851851851852,1.1947219108472305
ALKBH7,myelocyte,spleen,normal,6,54,11.11111111111111,1.530846951227285
ALOX5,myelocyte,spleen,normal,6,54,11.11111111111111,1.5433071997402752
ALOX5AP,myelocyte,spleen,normal,29,54,53.70370370370371,1.921738866946996
ALPK1,myelocyte,spleen,normal,2,54,3.7037037037037033,1.362013866495829
ALYREF,myelocyte,spleen,normal,2,54,3.7037037037037033,1.6771595087781044
AMPD3,myelocyte,spleen,normal,8,54,14.814814814814811,1.4867056956455411
AMZ2,myelocyte,spleen,normal,1,54,1.851851851851852,1.2371711924256708
ANAPC11,myelocyte,spleen,normal,14,54,25.925925925925924,1.6074028543817758
ANAPC13,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3365164320574985
ANAPC15,myelocyte,spleen,normal,3,54,5.555555555555555,1.2176061668084175
ANAPC5,myelocyte,spleen,normal,1,54,1.851851851851852,1.1877891466791504
ANKIB1,myelocyte,spleen,normal,1,54,1.851851851851852,1.706733063289824
ANKRA2,myelocyte,spleen,normal,1,54,1.851851851851852,1.1362055603541277
ANKRD10,myelocyte,spleen,normal,5,54,9.25925925925926,1.3313811528521782
ANKRD12,myelocyte,spleen,normal,1,54,1.851851851851852,1.1622099223251237
ANKRD13A,myelocyte,spleen,normal,1,54,1.851851851851852,1.164096731698906
ANKRD13D,myelocyte,spleen,normal,2,54,3.7037037037037033,1.5411855118269575
ANKRD36B,myelocyte,spleen,normal,1,54,1.851851851851852,1.2046639565643806
ANKRD54,myelocyte,spleen,normal,1,54,1.851851851851852,1.169424688752057
ANLN,myelocyte,spleen,normal,3,54,5.555555555555555,1.4809526747607202
ANO10,myelocyte,spleen,normal,1,54,1.851851851851852,1.404646064699056
ANP32A,myelocyte,spleen,normal,19,54,35.18518518518518,1.609502442617075
ANP32B,myelocyte,spleen,normal,32,54,59.25925925925925,1.6783007276302884
ANP32E,myelocyte,spleen,normal,12,54,22.22222222222222,1.6689165586140111
ANPEP,myelocyte,spleen,normal,1,54,1.851851851851852,1.1503333686503416
ANTKMT,myelocyte,spleen,normal,1,54,1.851851851851852,1.3239491778769088
ANTXR2,myelocyte,spleen,normal,1,54,1.851851851851852,1.1707975777033508
ANXA1,myelocyte,spleen,normal,27,54,50.0,1.922805680564008
ANXA11,myelocyte,spleen,normal,8,54,14.814814814814811,1.5809717583009522
ANXA3,myelocyte,spleen,normal,17,54,31.48148148148148,1.677540236073184
ANXA4,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3088290415612185
ANXA5,myelocyte,spleen,normal,6,54,11.11111111111111,1.2417617147272983
ANXA6,myelocyte,spleen,normal,8,54,14.814814814814811,1.489248247802592
ANXA7,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3489383438617668
AOAH,myelocyte,spleen,normal,2,54,3.7037037037037033,1.220428689076782
AP1G1,myelocyte,spleen,normal,2,54,3.7037037037037033,1.4640317484926126
AP1G2,myelocyte,spleen,normal,2,54,3.7037037037037033,1.6066688837641192
AP1M1,myelocyte,spleen,normal,3,54,5.555555555555555,1.446335959378904
AP1S1,myelocyte,spleen,normal,1,54,1.851851851851852,1.4077124334611917
AP2A2,myelocyte,spleen,normal,1,54,1.851851851851852,1.2794876295506552
AP2S1,myelocyte,spleen,normal,22,54,40.74074074074074,1.6150450003040513
AP3S1,myelocyte,spleen,normal,21,54,38.88888888888889,1.6704034243856778
AP3S2,myelocyte,spleen,normal,1,54,1.851851851851852,1.1099130365989531
APEH,myelocyte,spleen,normal,1,54,1.851851851851852,1.1519798375099513
APEX1,myelocyte,spleen,normal,8,54,14.814814814814811,1.4595000251770172
APH1B,myelocyte,spleen,normal,2,54,3.7037037037037033,1.288729346053732
API5,myelocyte,spleen,normal,3,54,5.555555555555555,1.3074361197983502
APIP,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3509118078723557
APLP2,myelocyte,spleen,normal,7,54,12.962962962962962,1.3480608054206606
APP,myelocyte,spleen,normal,2,54,3.7037037037037033,1.135393709660058
APPAT,myelocyte,spleen,normal,1,54,1.851851851851852,1.4046010115808456
APPL1,myelocyte,spleen,normal,5,54,9.25925925925926,1.3887745806737848
APRT,myelocyte,spleen,normal,14,54,25.925925925925924,1.451702188247238
ARAF,myelocyte,spleen,normal,1,54,1.851851851851852,1.394171941913875
ARAP1,myelocyte,spleen,normal,1,54,1.851851851851852,1.233539341655866
ARF1,myelocyte,spleen,normal,6,54,11.11111111111111,1.333874170786986
ARF3,myelocyte,spleen,normal,3,54,5.555555555555555,1.3883083655732291
ARF4,myelocyte,spleen,normal,7,54,12.962962962962962,1.4021164518067484
ARF5,myelocyte,spleen,normal,5,54,9.25925925925926,1.4718654372898918
ARFGAP1,myelocyte,spleen,normal,1,54,1.851851851851852,1.290352985981471
ARFGAP3,myelocyte,spleen,normal,2,54,3.7037037037037033,1.525518730920017
ARFIP1,myelocyte,spleen,normal,1,54,1.851851851851852,1.2620639959115378
ARG1,myelocyte,spleen,normal,5,54,9.25925925925926,1.3860774119063943
ARHGAP1,myelocyte,spleen,normal,1,54,1.851851851851852,1.449597997404596
ARHGAP15,myelocyte,spleen,normal,8,54,14.814814814814811,1.4644095490078304
ARHGAP18,myelocyte,spleen,normal,3,54,5.555555555555555,1.5757079782257872
ARHGAP24,myelocyte,spleen,normal,4,54,7.4074074074074066,1.5229257677677608
ARHGAP26,myelocyte,spleen,normal,1,54,1.851851851851852,1.7442894503119302
ARHGAP4,myelocyte,spleen,normal,9,54,16.666666666666664,1.3249423630292918
ARHGAP9,myelocyte,spleen,normal,1,54,1.851851851851852,1.2208633286589805
ARHGDIA,myelocyte,spleen,normal,14,54,25.925925925925924,1.384544574859046
ARHGDIB,myelocyte,spleen,normal,49,54,90.74074074074076,2.128028947630157
ARHGEF1,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2478702801706127
ARHGEF35-AS1,myelocyte,spleen,normal,1,54,1.851851851851852,1.5881637013584615
ARID3A,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3426970698615568
ARID4A,myelocyte,spleen,normal,3,54,5.555555555555555,1.206377440811172
ARIH1,myelocyte,spleen,normal,1,54,1.851851851851852,1.132567418817446
ARIH2,myelocyte,spleen,normal,1,54,1.851851851851852,1.9108517994134144
ARL1,myelocyte,spleen,normal,1,54,1.851851851851852,1.328859532901279
ARL16,myelocyte,spleen,normal,2,54,3.7037037037037033,1.1584940726156376
ARL2,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3131070925337638
ARL2BP,myelocyte,spleen,normal,1,54,1.851851851851852,1.1601061640828685
ARL5A,myelocyte,spleen,normal,2,54,3.7037037037037033,1.346310051017694
ARL6IP1,myelocyte,spleen,normal,6,54,11.11111111111111,1.4157832980553775
ARL6IP4,myelocyte,spleen,normal,6,54,11.11111111111111,1.3653519020278793
ARL6IP5,myelocyte,spleen,normal,10,54,18.51851851851852,1.4771570133771594
ARL8B,myelocyte,spleen,normal,4,54,7.4074074074074066,1.4118913282088574
ARMCX3,myelocyte,spleen,normal,2,54,3.7037037037037033,1.1362220000227423
ARMH1,myelocyte,spleen,normal,6,54,11.11111111111111,1.3141462865030349
ARNT,myelocyte,spleen,normal,3,54,5.555555555555555,1.2838936920568205
ARPC1B,myelocyte,spleen,normal,4,54,7.4074074074074066,1.2509739490866951
ARPC2,myelocyte,spleen,normal,30,54,55.55555555555556,1.7098223365125793
ARPC3,myelocyte,spleen,normal,39,54,72.22222222222221,2.0941939065781834
ARPC4,myelocyte,spleen,normal,13,54,24.074074074074076,1.3368587098635312
ARPC5,myelocyte,spleen,normal,6,54,11.11111111111111,1.3539110689818574
ARPP19,myelocyte,spleen,normal,1,54,1.851851851851852,1.829722934881233
ARRB1,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2948441910703117
ARRB2,myelocyte,spleen,normal,3,54,5.555555555555555,1.4378575203585784
ARRDC1,myelocyte,spleen,normal,1,54,1.851851851851852,1.3741142229652672
ARRDC3,myelocyte,spleen,normal,4,54,7.4074074074074066,1.713196508361384
ARSD,myelocyte,spleen,normal,1,54,1.851851851851852,1.3675478430479568
ASAH1,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3002451941519917
ASAP1,myelocyte,spleen,normal,8,54,14.814814814814811,1.559846670736893
ASB8,myelocyte,spleen,normal,1,54,1.851851851851852,1.2494613258607996
ASCC2,myelocyte,spleen,normal,1,54,1.851851851851852,1.7837263869041762
ASH2L,myelocyte,spleen,normal,1,54,1.851851851851852,1.143717411954332
ASNSD1,myelocyte,spleen,normal,1,54,1.851851851851852,1.318321254996751
ASPSCR1,myelocyte,spleen,normal,1,54,1.851851851851852,1.2140112974757056
ASRGL1,myelocyte,spleen,normal,1,54,1.851851851851852,1.4337048404091794
ASXL1,myelocyte,spleen,normal,1,54,1.851851851851852,1.37880129779073
ATAD2B,myelocyte,spleen,normal,1,54,1.851851851851852,1.248544406252166
ATF4,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2202891156943023
ATF6B,myelocyte,spleen,normal,1,54,1.851851851851852,1.3627870758050231
ATF7,myelocyte,spleen,normal,1,54,1.851851851851852,1.3957614006004286
ATF7IP,myelocyte,spleen,normal,2,54,3.7037037037037033,1.4899667380832922
ATG10,myelocyte,spleen,normal,1,54,1.851851851851852,1.4733302514700066
ATG101,myelocyte,spleen,normal,3,54,5.555555555555555,1.4209882673305352
ATG12,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2014008739403943
ATG13,myelocyte,spleen,normal,4,54,7.4074074074074066,1.3452857498405866
ATG16L2,myelocyte,spleen,normal,2,54,3.7037037037037033,1.301219856948474
ATG2B,myelocyte,spleen,normal,1,54,1.851851851851852,1.1605192188330082
ATG3,myelocyte,spleen,normal,3,54,5.555555555555555,1.4548715043375529
ATG4B,myelocyte,spleen,normal,3,54,5.555555555555555,1.244847231309083
ATG7,myelocyte,spleen,normal,5,54,9.25925925925926,1.369927329304638
ATL3,myelocyte,spleen,normal,1,54,1.851851851851852,1.1672417691175796
ATOX1,myelocyte,spleen,normal,22,54,40.74074074074074,1.6814068545146048
ATP11A,myelocyte,spleen,normal,2,54,3.7037037037037033,1.1809588169632723
ATP1B3,myelocyte,spleen,normal,12,54,22.22222222222222,1.3283184030506512
ATP23,myelocyte,spleen,normal,2,54,3.7037037037037033,1.8070473132631428
ATP2A3,myelocyte,spleen,normal,5,54,9.25925925925926,1.2507030566255106
ATP2B1,myelocyte,spleen,normal,2,54,3.7037037037037033,1.2314043454851822
ATP5F1A,myelocyte,spleen,normal,8,54,14.814814814814811,1.3750813414819274
ATP5F1B,myelocyte,spleen,normal,6,54,11.11111111111111,1.415455808367718
ATP5F1C,myelocyte,spleen,normal,8,54,14.814814814814811,1.4893243692597735
ATP5F1D,myelocyte,spleen,normal,12,54,22.22222222222222,1.6654650588489808
ATP5F1E,myelocyte,spleen,normal,45,54,83.33333333333334,1.8201118325181571
ATP5IF1,myelocyte,spleen,normal,22,54,40.74074074074074,1.5467162651720294
ATP5MC1,myelocyte,spleen,normal,8,54,14.814814814814811,1.658726023723202
ATP5MC2,myelocyte,spleen,normal,36,54,66.66666666666666,1.896098308673868
ATP5MC3,myelocyte,spleen,normal,15,54,27.77777777777778,1.5265839826290415
ATP5ME,myelocyte,spleen,normal,35,54,64.81481481481481,2.3097958164938537
ATP5MF,myelocyte,spleen,normal,36,54,66.66666666666666,1.8858009631432011
ATP5MG,myelocyte,spleen,normal,38,54,70.37037037037037,1.9560521909613091
ATP5MJ,myelocyte,spleen,normal,42,54,77.77777777777779,1.8860099612982155
ATP5MK,myelocyte,spleen,normal,31,54,57.407407407407405,1.7509406471391264
ATP5PB,myelocyte,spleen,normal,6,54,11.11111111111111,1.3269897621849478
ATP5PD,myelocyte,spleen,normal,14,54,25.925925925925924,1.6713071823940773
ATP5PF,myelocyte,spleen,normal,19,54,35.18518518518518,1.5952418902601246
ATP5PO,myelocyte,spleen,normal,15,54,27.77777777777778,1.5868880186229923
ATP6AP1,myelocyte,spleen,normal,1,54,1.851851851851852,1.1249348720422296
ATP6AP1-DT,myelocyte,spleen,normal,3,54,5.555555555555555,1.589367388080038
ATP6AP2,myelocyte,spleen,normal,1,54,1.851851851851852,1.6231675762372584
ATP6V0B,myelocyte,spleen,normal,17,54,31.48148148148148,1.54212140391984
ATP6V0C,myelocyte,spleen,normal,4,54,7.4074074074074066,1.5080270244372804
ATP6V0D1,myelocyte,spleen,normal,4,54,7.4074074074074066,1.2435546562715216
ATP6V0E1,myelocyte,spleen,normal,21,54,38.88888888888889,1.5996741194110349
ATP6V1B2,myelocyte,spleen,normal,1,54,1.851851851851852,1.7324551967934076
ATP6V1D,myelocyte,spleen,normal,2,54,3.7037037037037033,1.495715034285518
ATP6V1E1,myelocyte,spleen,normal,5,54,9.25925925925926,1.2214339192462602
ATP6V1E2,myelocyte,spleen,normal,1,54,1.851851851851852,1.2276991735381837
ATP6V1F,myelocyte,spleen,normal,13,54,24.074074074074076,1.3607677301979335
ATP6V1G1,myelocyte,spleen,normal,4,54,7.4074074074074066,1.2701925862128758
ATP6V1H,myelocyte,spleen,normal,4,54,7.4074074074074066,1.6095671379299028
ATP8A1,myelocyte,spleen,normal,7,54,12.962962962962962,1.2558493577623016
ATP8B4,myelocyte,spleen,normal,14,54,25.925925925925924,1.5206160704679217
ATP9B,myelocyte,spleen,normal,1,54,1.851851851851852,1.4953727081206494
ATPAF2,myelocyte,spleen,normal,1,54,1.851851851851852,1.346832257449289
ATRAID,myelocyte,spleen,normal,9,54,16.666666666666664,1.4806719115517073
ATRX,myelocyte,spleen,normal,3,54,5.555555555555555,1.3636462594527563
ATXN10,myelocyte,spleen,normal,2,54,3.7037037037037033,1.3565789545472735
ATXN2L,myelocyte,spleen,normal,1,54,1.851851851851852,1.2166587753461346
