gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,myeloid cell,spleen,normal,24,66983,0.0358299867130465,1.9314695323236504
5S_rRNA_ENSG00000285776,myeloid cell,spleen,normal,4,66983,0.0059716644521744,1.5110163345371797
5S_rRNA_ENSG00000285912,myeloid cell,spleen,normal,1,66983,0.0014929161130436,1.5387149670684537
5_8S_rRNA_ENSG00000283274,myeloid cell,spleen,normal,1,66983,0.0014929161130436,1.8578120080472396
7SK_ENSG00000202198,myeloid cell,spleen,normal,398,66983,0.594180612991356,1.894526221564207
7SK_ENSG00000274303,myeloid cell,spleen,normal,4,66983,0.0059716644521744,1.8082963906856335
A1BG,myeloid cell,spleen,normal,139,66983,0.2075153397130615,1.3188652445208515
A1BG-AS1,myeloid cell,spleen,normal,26,66983,0.0388158189391338,1.3581529848024074
A2M,myeloid cell,spleen,normal,9815,66983,14.652971649523014,1.959543492436676
A2M-AS1,myeloid cell,spleen,normal,7,66983,0.0104504127913052,1.3372760284929108
A2ML1,myeloid cell,spleen,normal,67,66983,0.1000253795739217,1.5806841393197963
A2ML1-AS1,myeloid cell,spleen,normal,126,66983,0.1881074302434946,1.752724346435297
A3GALT2,myeloid cell,spleen,normal,399,66983,0.5956735291043996,1.403243965367908
A4GALT,myeloid cell,spleen,normal,5,66983,0.007464580565218,1.3643635268072802
AAAS,myeloid cell,spleen,normal,110,66983,0.1642207724347968,1.2585624917687728
AACS,myeloid cell,spleen,normal,29,66983,0.0432945672782646,1.2544067837371315
AACSP1_ENSG00000250420,myeloid cell,spleen,normal,25,66983,0.0373229028260902,1.3659252690492192
AADAC,myeloid cell,spleen,normal,2,66983,0.0029858322260872,1.4415096517121828
AADACL2-AS1,myeloid cell,spleen,normal,381,66983,0.5688010390696147,1.851038019607625
AADACP1_ENSG00000240602,myeloid cell,spleen,normal,1,66983,0.0014929161130436,1.1149115897629482
AADAT,myeloid cell,spleen,normal,3,66983,0.0044787483391308,1.2903523616248969
AAGAB,myeloid cell,spleen,normal,1400,66983,2.0900825582610514,1.4088457352342592
AAK1,myeloid cell,spleen,normal,8989,66983,13.419822940148991,1.5214099820366596
AAMDC,myeloid cell,spleen,normal,3015,66983,4.501142080826479,1.4727939602069509
AAMP,myeloid cell,spleen,normal,1002,66983,1.495901945269695,1.3476764754875996
AANAT,myeloid cell,spleen,normal,17,66983,0.0253795739217413,1.3166438341847009
AAR2,myeloid cell,spleen,normal,28,66983,0.041801651165221,1.1977795889466838
AARD,myeloid cell,spleen,normal,2,66983,0.0029858322260872,1.173967120202518
AARS1,myeloid cell,spleen,normal,33,66983,0.049266231730439,1.245802503001965
AARS2,myeloid cell,spleen,normal,7,66983,0.0104504127913052,1.1929777610525332
AARSD1,myeloid cell,spleen,normal,520,66983,0.7763163787826762,1.4629971979709293
AARSD1P1,myeloid cell,spleen,normal,1,66983,0.0014929161130436,1.3215275896787697
AASDH,myeloid cell,spleen,normal,20,66983,0.0298583222608721,1.2105592532089309
AASDHPPT,myeloid cell,spleen,normal,1359,66983,2.028872997626264,1.3970179879691995
AATBC,myeloid cell,spleen,normal,30,66983,0.0447874833913082,1.2904597507257924
AATF,myeloid cell,spleen,normal,998,66983,1.4899302808175208,1.3757547084545925
AATK,myeloid cell,spleen,normal,7736,66983,11.54919905050535,1.6183551780390275
ABALON,myeloid cell,spleen,normal,8,66983,0.0119433289043488,1.3669050579161546
ABAT,myeloid cell,spleen,normal,1576,66983,2.3528357941567264,1.5348874406946058
ABCA1,myeloid cell,spleen,normal,18250,66983,27.245719063045847,1.8070847073660088
ABCA10,myeloid cell,spleen,normal,56,66983,0.083603302330442,1.386559159417694
ABCA11P,myeloid cell,spleen,normal,1,66983,0.0014929161130436,1.1338242446888578
ABCA13,myeloid cell,spleen,normal,745,66983,1.112222504217488,2.256324188629397
ABCA15P,myeloid cell,spleen,normal,4,66983,0.0059716644521744,1.362267815346163
ABCA17P,myeloid cell,spleen,normal,38,66983,0.0567308122956571,1.5306482047248111
ABCA2,myeloid cell,spleen,normal,341,66983,0.5090843945478704,1.3804223559767483
ABCA3,myeloid cell,spleen,normal,4,66983,0.0059716644521744,1.2525232314985657
ABCA3P1,myeloid cell,spleen,normal,1,66983,0.0014929161130436,1.1925838845927397
ABCA4,myeloid cell,spleen,normal,13,66983,0.0194079094695669,1.4569725977612094
ABCA5,myeloid cell,spleen,normal,234,66983,0.3493423704522043,1.391636935930245
ABCA6,myeloid cell,spleen,normal,182,66983,0.2717107325739367,1.433112731046089
ABCA7,myeloid cell,spleen,normal,3490,66983,5.210277234522192,1.5552898549223226
ABCA8,myeloid cell,spleen,normal,39,66983,0.0582237284087007,1.2294416003051345
ABCA9,myeloid cell,spleen,normal,67,66983,0.1000253795739217,1.4759300804482227
ABCA9-AS1,myeloid cell,spleen,normal,16,66983,0.0238866578086977,1.5135893810895296
ABCB1,myeloid cell,spleen,normal,617,66983,0.921129241747906,1.5953930968306351
