gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A2M,myofibroblast cell,spleen,normal,22,603,3.648424543946932,1.4890135262970774
AAAS,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1057498416742069
AAGAB,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.3058164128039351
AAK1,myofibroblast cell,spleen,normal,23,603,3.814262023217247,1.3874274505573556
AAMDC,myofibroblast cell,spleen,normal,144,603,23.88059701492537,1.4530140846759083
AAMP,myofibroblast cell,spleen,normal,12,603,1.9900497512437807,1.260081221256429
AARD,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.3512019700094646
AARSD1,myofibroblast cell,spleen,normal,11,603,1.824212271973466,1.415507222143749
AASDHPPT,myofibroblast cell,spleen,normal,12,603,1.9900497512437807,1.3308639871957375
ABAT,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1997061213396938
ABCA1,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.286936802582095
ABCA10,myofibroblast cell,spleen,normal,12,603,1.9900497512437807,1.3278013368387842
ABCA2,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1888840181834732
ABCA4,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.721164912112478
ABCA6,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.3723003876943347
ABCA8,myofibroblast cell,spleen,normal,98,603,16.25207296849088,1.4631760474586242
ABCA9,myofibroblast cell,spleen,normal,8,603,1.326699834162521,1.4900815381409238
ABCB10,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.1572741822081136
ABCB8,myofibroblast cell,spleen,normal,11,603,1.824212271973466,1.3269742682511956
ABCC10,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.382010235758898
ABCC9,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1884196242042224
ABCD1,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.2481371840927764
ABCD4,myofibroblast cell,spleen,normal,29,603,4.809286898839138,1.3307865777425512
ABCE1,myofibroblast cell,spleen,normal,47,603,7.79436152570481,1.3849365771160531
ABCF1,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.2634689675705824
ABCF2,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1151409164834225
ABCF3,myofibroblast cell,spleen,normal,12,603,1.9900497512437807,1.2061277800048231
ABHD10,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.1928426238671537
ABHD11,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.2242963626069314
ABHD12,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.3423509192972427
ABHD14A,myofibroblast cell,spleen,normal,72,603,11.940298507462686,1.3674012381078622
ABHD14B,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.1433823941037762
ABHD16A,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.294742111348728
ABHD2,myofibroblast cell,spleen,normal,21,603,3.482587064676617,1.32472570048385
ABHD3,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.2196485847966918
ABHD4,myofibroblast cell,spleen,normal,13,603,2.155887230514096,1.2976281919956822
ABHD5,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.217625886978586
ABHD6,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.3363139581795724
ABHD8,myofibroblast cell,spleen,normal,9,603,1.4925373134328357,1.217637946187668
ABI2,myofibroblast cell,spleen,normal,47,603,7.79436152570481,1.379494050185098
ABI3BP,myofibroblast cell,spleen,normal,64,603,10.613598673300164,1.5029966130672778
ABITRAM,myofibroblast cell,spleen,normal,34,603,5.638474295190713,1.3962477065582584
ABLIM1,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.2393398785391625
ABR,myofibroblast cell,spleen,normal,13,603,2.155887230514096,1.340027597390717
ABRACL,myofibroblast cell,spleen,normal,15,603,2.4875621890547266,1.4189673131211056
ABTB1,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.4463736951692463
ACAA1,myofibroblast cell,spleen,normal,8,603,1.326699834162521,1.3188435020477762
ACAA2,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.175282108402435
ACACA,myofibroblast cell,spleen,normal,14,603,2.321724709784411,1.2804607452285337
ACACB,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.3125923718907893
ACAD10,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.236716948285305
ACAD8,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.3162717746665322
ACADM,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.111755283976779
ACADS,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.2126239751744592
ACADSB,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.3230483833527973
ACADVL,myofibroblast cell,spleen,normal,130,603,21.55887230514096,1.3962844583114684
ACAP1,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.297169826836363
ACAP2,myofibroblast cell,spleen,normal,65,603,10.77943615257048,1.404912187704061
ACAP3,myofibroblast cell,spleen,normal,9,603,1.4925373134328357,1.336270355103587
ACAT1,myofibroblast cell,spleen,normal,12,603,1.9900497512437807,1.1835715137771396
ACAT2,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1836259598522818
ACBD3,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.2498960300060833
ACBD6,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.121784748478027
ACCS,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.19162364279041
ACD,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1956894843961914
ACHE,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1386959219298736
ACIN1,myofibroblast cell,spleen,normal,38,603,6.301824212271974,1.317402581343082
ACKR4,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.3909854168332636
ACLY,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.1443209190372063
ACOT2,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.2047618487136462
ACOT7,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.2059988136021678
ACOT8,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.3565692256685993
ACOT9,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.3459374387337188
ACOX1,myofibroblast cell,spleen,normal,23,603,3.814262023217247,1.3038291022468516
ACOX2,myofibroblast cell,spleen,normal,17,603,2.8192371475953566,1.254049809967698
ACOX3,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.251647998468898
ACP1,myofibroblast cell,spleen,normal,187,603,31.01160862354892,1.4299872423958522
ACP2,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.2243496302475243
ACSF2,myofibroblast cell,spleen,normal,34,603,5.638474295190713,1.3766167007064964
ACSF3,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.3492045377326791
ACSS2,myofibroblast cell,spleen,normal,15,603,2.4875621890547266,1.253014489688905
ACTA2,myofibroblast cell,spleen,normal,59,603,9.78441127694859,1.7668581533169194
ACTB,myofibroblast cell,spleen,normal,599,603,99.33665008291874,3.081659590938106
ACTG1,myofibroblast cell,spleen,normal,599,603,99.33665008291874,2.9159301864401224
ACTG2,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.4856243571997334
ACTL6A,myofibroblast cell,spleen,normal,68,603,11.276948590381426,1.3656284423171907
ACTMAP,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.189598987517973
ACTN1,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.4679748935755357
ACTN4,myofibroblast cell,spleen,normal,9,603,1.4925373134328357,1.2447163122183134
ACTR10,myofibroblast cell,spleen,normal,165,603,27.363184079601982,1.3925749274256092
ACTR1A,myofibroblast cell,spleen,normal,15,603,2.4875621890547266,1.2608464830471675
ACTR1B,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.2070581175573656
ACTR2,myofibroblast cell,spleen,normal,6,603,0.9950248756218906,1.2212950976511656
ACTR3,myofibroblast cell,spleen,normal,72,603,11.940298507462686,1.294297994505189
ACTR6,myofibroblast cell,spleen,normal,13,603,2.155887230514096,1.2894627482716352
ACTR8,myofibroblast cell,spleen,normal,6,603,0.9950248756218906,1.419068831294359
ACVR2A,myofibroblast cell,spleen,normal,16,603,2.6533996683250414,1.348795312241318
ACYP1,myofibroblast cell,spleen,normal,43,603,7.131011608623548,1.331874390647266
ACYP2,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.34305208252384
ADAM10,myofibroblast cell,spleen,normal,36,603,5.970149253731343,1.3626697508835437
ADAM12,myofibroblast cell,spleen,normal,138,603,22.885572139303484,1.6881795455975352
ADAM15,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.245621949038832
ADAMTS1,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.2577017029048625
ADAMTS10,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.3251027015953376
ADAMTS12,myofibroblast cell,spleen,normal,8,603,1.326699834162521,1.2753594416170608
ADAMTS16,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.269184417594151
ADAMTS17,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.1541786742187874
ADAMTS19,myofibroblast cell,spleen,normal,14,603,2.321724709784411,1.3584620321147545
ADAMTS3,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.4153811773786662
ADAMTS4,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.2027852291813173
ADAMTS9-AS1,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.8189770241571068
ADAMTSL1,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1577640383014651
ADAMTSL3,myofibroblast cell,spleen,normal,36,603,5.970149253731343,1.3359122870507023
ADAMTSL4,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1206404140800903
ADAMTSL5,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.277917969407268
ADAT1,myofibroblast cell,spleen,normal,6,603,0.9950248756218906,1.2310482609103202
ADCK5,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.5831502935439603
ADCY3,myofibroblast cell,spleen,normal,6,603,0.9950248756218906,1.1911023475399156
ADCY6-DT,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.2656556593833552
ADCY9,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.2027591741879229
ADD1,myofibroblast cell,spleen,normal,36,603,5.970149253731343,1.2639008189671177
ADD2,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.197358595220661
ADD3,myofibroblast cell,spleen,normal,479,603,79.43615257048093,1.905834722675488
ADGRA3,myofibroblast cell,spleen,normal,9,603,1.4925373134328357,1.324633722615929
ADGRB3-DT,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.1751170003990363
ADGRD1,myofibroblast cell,spleen,normal,17,603,2.8192371475953566,1.3037908186981757
ADGRE5,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.3158952334510157
ADGRG6,myofibroblast cell,spleen,normal,10,603,1.658374792703151,1.3709621200489497
ADGRL1,myofibroblast cell,spleen,normal,37,603,6.135986733001658,1.35877573929816
ADGRL1-AS1,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.3010521149076886
ADH1B,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.3476493745158264
ADH1C,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.419312765193914
ADH5,myofibroblast cell,spleen,normal,242,603,40.13266998341625,1.4897696238605131
ADHFE1,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1013885177575218
ADI1,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.1967585668579148
ADIPOR1,myofibroblast cell,spleen,normal,11,603,1.824212271973466,1.2626324782501062
ADIPOR2,myofibroblast cell,spleen,normal,37,603,6.135986733001658,1.4109149292868366
ADIRF,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.3609353268572697
ADISSP,myofibroblast cell,spleen,normal,20,603,3.316749585406302,1.2535497513339124
ADK,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.2816269372777422
ADM,myofibroblast cell,spleen,normal,198,603,32.83582089552239,1.8726289407557344
ADM5,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.2596015084549144
ADNP2,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.3164140956411885
ADPGK,myofibroblast cell,spleen,normal,19,603,3.150912106135987,1.2824882240555302
ADPRM,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.6067212013225023
ADPRS,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.2340514969661245
ADRM1,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.1798577762078484
ADSS2,myofibroblast cell,spleen,normal,8,603,1.326699834162521,1.348405558591585
AEBP1,myofibroblast cell,spleen,normal,131,603,21.72470978441128,1.4490757219989492
AEBP2,myofibroblast cell,spleen,normal,24,603,3.9800995024875614,1.3147646158345654
AFAP1,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.489954681624697
AFDN-DT,myofibroblast cell,spleen,normal,6,603,0.9950248756218906,1.3467365692162645
AFF3,myofibroblast cell,spleen,normal,8,603,1.326699834162521,1.3902125618191414
AFF4,myofibroblast cell,spleen,normal,62,603,10.281923714759536,1.3206473892260255
AFG1L,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1421369679811486
AFMID,myofibroblast cell,spleen,normal,30,603,4.975124378109453,1.3351557782654353
AGA,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.454534174565894
AGAP3,myofibroblast cell,spleen,normal,15,603,2.4875621890547266,1.3659592262549154
AGBL2,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1006599599955174
AGGF1,myofibroblast cell,spleen,normal,5,603,0.8291873963515755,1.4126314501285209
AGK,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.1728456671453265
AGMO,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.5849338630506993
AGO2,myofibroblast cell,spleen,normal,50,603,8.291873963515755,1.4464964828412734
AGO3,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.2773747457722595
AGO4,myofibroblast cell,spleen,normal,10,603,1.658374792703151,1.4432559559589502
AGPAT2,myofibroblast cell,spleen,normal,8,603,1.326699834162521,1.2919965246282832
AGPAT3,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.295393816142148
AGPAT5,myofibroblast cell,spleen,normal,8,603,1.326699834162521,1.2211511329982223
AGT,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.6629546900516796
AGTR1,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.204435535463819
AGTR2,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.5955627542113695
AGTRAP,myofibroblast cell,spleen,normal,33,603,5.472636815920398,1.2836272796838548
AHCY,myofibroblast cell,spleen,normal,7,603,1.1608623548922057,1.2336523899087426
AHCYL1,myofibroblast cell,spleen,normal,9,603,1.4925373134328357,1.279169700087039
AHCYL2,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.2207503974939922
AHDC1,myofibroblast cell,spleen,normal,21,603,3.482587064676617,1.3058871187080128
AHNAK,myofibroblast cell,spleen,normal,433,603,71.80762852404644,1.856724422468896
AHR,myofibroblast cell,spleen,normal,44,603,7.296849087893864,1.4197839599197253
AHSA1,myofibroblast cell,spleen,normal,69,603,11.442786069651742,1.3623672836958445
AHSG,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.2222387039080198
AHSP,myofibroblast cell,spleen,normal,15,603,2.4875621890547266,1.3279416334937255
AIDA,myofibroblast cell,spleen,normal,27,603,4.477611940298507,1.368398800101734
AIF1,myofibroblast cell,spleen,normal,34,603,5.638474295190713,1.516894192187454
AIG1,myofibroblast cell,spleen,normal,21,603,3.482587064676617,1.3907163178677489
AIMP1,myofibroblast cell,spleen,normal,9,603,1.4925373134328357,1.1931269044775936
AIMP2,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.1331912722669404
AIP,myofibroblast cell,spleen,normal,27,603,4.477611940298507,1.256917472527258
AJUBA,myofibroblast cell,spleen,normal,9,603,1.4925373134328357,1.3124660648590998
AJUBA-DT,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.148419768348974
AK1,myofibroblast cell,spleen,normal,19,603,3.150912106135987,1.3533897763180254
AK2,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.155818497389248
AK4,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.293113859630381
AK5,myofibroblast cell,spleen,normal,6,603,0.9950248756218906,1.2388386120311268
AK6,myofibroblast cell,spleen,normal,65,603,10.77943615257048,1.3547264858915191
AKAP1,myofibroblast cell,spleen,normal,2,603,0.3316749585406301,1.5801224172195751
AKAP10,myofibroblast cell,spleen,normal,14,603,2.321724709784411,1.3787557382576023
AKAP12,myofibroblast cell,spleen,normal,79,603,13.101160862354892,1.4665462354409435
AKAP13,myofibroblast cell,spleen,normal,111,603,18.40796019900497,1.4176917013786194
AKAP6,myofibroblast cell,spleen,normal,3,603,0.4975124378109453,1.3436280464975476
AKAP7,myofibroblast cell,spleen,normal,1,603,0.165837479270315,1.2143819051449656
AKIRIN1,myofibroblast cell,spleen,normal,4,603,0.6633499170812603,1.2499238312537613
