gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,naive B cell,spleen,normal,60,6646,0.9027986758952752,1.2601194483311104
A1BG-AS1,naive B cell,spleen,normal,17,6646,0.255792958170328,1.3172025407071288
A2M,naive B cell,spleen,normal,2,6646,0.0300932891965091,1.47707435976722
A2ML1,naive B cell,spleen,normal,2,6646,0.0300932891965091,1.6995577825225596
A2ML1-AS1,naive B cell,spleen,normal,8,6646,0.1203731567860367,1.975011140660968
AAAS,naive B cell,spleen,normal,54,6646,0.8125188083057477,1.3039132121351025
AACS,naive B cell,spleen,normal,9,6646,0.1354198013842913,1.4002408038610912
AAGAB,naive B cell,spleen,normal,250,6646,3.761661149563647,1.385415479363466
AAK1,naive B cell,spleen,normal,107,6646,1.609990972013241,1.420610962515364
AAMDC,naive B cell,spleen,normal,93,6646,1.3993379476376768,1.5655619242012235
AAMP,naive B cell,spleen,normal,205,6646,3.084562142642191,1.33278329432448
AANAT,naive B cell,spleen,normal,4,6646,0.0601865783930183,1.3862464668915824
AAR2,naive B cell,spleen,normal,12,6646,0.180559735179055,1.3825289319343088
AARS1,naive B cell,spleen,normal,18,6646,0.2708396027685826,1.2002246761531474
AARS2,naive B cell,spleen,normal,7,6646,0.1053265121877821,1.2628789576829471
AARSD1,naive B cell,spleen,normal,626,6646,9.419199518507371,1.53801530971542
AASDH,naive B cell,spleen,normal,14,6646,0.2106530243755642,1.2101392851352473
AASDHPPT,naive B cell,spleen,normal,361,6646,5.431838699969907,1.3547564424974743
AASS,naive B cell,spleen,normal,5,6646,0.0752332229912729,1.2884077942399288
AATBC,naive B cell,spleen,normal,2,6646,0.0300932891965091,1.8070158706339647
AATF,naive B cell,spleen,normal,80,6646,1.203731567860367,1.288903236564131
AATK,naive B cell,spleen,normal,7,6646,0.1053265121877821,1.296377307104788
ABALON,naive B cell,spleen,normal,7,6646,0.1053265121877821,1.1985427627623544
ABAT,naive B cell,spleen,normal,86,6646,1.2940114354498946,1.3681870089650725
ABCA1,naive B cell,spleen,normal,274,6646,4.122780619921757,1.436084511533762
ABCA10,naive B cell,spleen,normal,1,6646,0.0150466445982545,1.1901864404758844
ABCA2,naive B cell,spleen,normal,14,6646,0.2106530243755642,1.4121610203222277
ABCA5,naive B cell,spleen,normal,29,6646,0.4363526933493831,1.4674118103382316
ABCA6,naive B cell,spleen,normal,1,6646,0.0150466445982545,1.1617534497737552
ABCA7,naive B cell,spleen,normal,422,6646,6.349684020463436,1.5524278970000076
ABCB1,naive B cell,spleen,normal,428,6646,6.439963888052964,1.5183166219346829
ABCB10,naive B cell,spleen,normal,139,6646,2.091483599157388,1.4204513864565904
ABCB4,naive B cell,spleen,normal,100,6646,1.504664459825459,1.3510193960671455
ABCB6,naive B cell,spleen,normal,48,6646,0.7222389407162202,1.4526814137294073
ABCB7,naive B cell,spleen,normal,73,6646,1.098405055672585,1.3467236957901882
ABCB8,naive B cell,spleen,normal,368,6646,5.537165212157689,1.4907672121843845
ABCB9,naive B cell,spleen,normal,4,6646,0.0601865783930183,1.2613606256260488
ABCC1,naive B cell,spleen,normal,29,6646,0.4363526933493831,1.2968090866296824
ABCC10,naive B cell,spleen,normal,184,6646,2.7685826060788443,1.4917711643851848
ABCC11,naive B cell,spleen,normal,2,6646,0.0300932891965091,1.2414205650533023
ABCC2,naive B cell,spleen,normal,10,6646,0.1504664459825458,1.3762925830447013
ABCC3,naive B cell,spleen,normal,5,6646,0.0752332229912729,1.6528724573593927
ABCC4,naive B cell,spleen,normal,4,6646,0.0601865783930183,1.38892793282035
ABCC5,naive B cell,spleen,normal,26,6646,0.3912127595546193,1.4155210999453245
ABCC6,naive B cell,spleen,normal,1,6646,0.0150466445982545,1.2255768081710787
ABCD1,naive B cell,spleen,normal,98,6646,1.4745711706289495,1.3146852708791847
ABCD3,naive B cell,spleen,normal,9,6646,0.1354198013842913,1.2946089366823506
ABCD4,naive B cell,spleen,normal,398,6646,5.988564550105326,1.458295237238019
ABCE1,naive B cell,spleen,normal,869,6646,13.07553415588324,1.495306591583475
ABCF1,naive B cell,spleen,normal,38,6646,0.5717724947336744,1.283060467936534
ABCF2,naive B cell,spleen,normal,327,6646,4.92025278362925,1.386242559292126
ABCF3,naive B cell,spleen,normal,381,6646,5.732771591934998,1.4546786659523958
ABCG1,naive B cell,spleen,normal,31,6646,0.4664459825458922,1.3828316520612989
ABCG2,naive B cell,spleen,normal,1,6646,0.0150466445982545,1.1405621901921132
ABCG8,naive B cell,spleen,normal,1,6646,0.0150466445982545,1.3877175310809566
ABHD1,naive B cell,spleen,normal,1,6646,0.0150466445982545,1.2919438288510183
ABHD10,naive B cell,spleen,normal,444,6646,6.680710201625037,1.4290311233698856
ABHD11,naive B cell,spleen,normal,178,6646,2.678302738489317,1.3885164567865345
ABHD12,naive B cell,spleen,normal,145,6646,2.1817634667469155,1.351144021558535
ABHD14A,naive B cell,spleen,normal,214,6646,3.219981944026482,1.4031957378862951
ABHD14B,naive B cell,spleen,normal,226,6646,3.4005416792055367,1.2799412902506802
ABHD15,naive B cell,spleen,normal,3,6646,0.0451399337947637,1.3658642938550365
ABHD15-AS1,naive B cell,spleen,normal,1,6646,0.0150466445982545,3.694324527940155
ABHD16A,naive B cell,spleen,normal,452,6646,6.8010833584110735,1.382862953377946
ABHD17A,naive B cell,spleen,normal,134,6646,2.016250376166115,1.3156391733977897
ABHD17B,naive B cell,spleen,normal,38,6646,0.5717724947336744,1.3515978629447165
ABHD18,naive B cell,spleen,normal,46,6646,0.6921456515197111,1.3197298844089325
ABHD2,naive B cell,spleen,normal,280,6646,4.213060487511285,1.6236945734765296
ABHD3,naive B cell,spleen,normal,511,6646,7.688835389708096,1.4781808511468673
ABHD4,naive B cell,spleen,normal,146,6646,2.19681011134517,1.517826625447363
ABHD5,naive B cell,spleen,normal,86,6646,1.2940114354498946,1.3664512845808034
ABHD6,naive B cell,spleen,normal,191,6646,2.8739091182666265,1.4700671038397584
ABHD8,naive B cell,spleen,normal,145,6646,2.1817634667469155,1.612115972255601
ABI1,naive B cell,spleen,normal,55,6646,0.8275654529040024,1.259817109141957
ABI2,naive B cell,spleen,normal,337,6646,5.070719229611797,1.52880263046706
ABI3,naive B cell,spleen,normal,125,6646,1.8808305747818237,1.340027166457213
