gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,natural killer cell,spleen,normal,2,37188,0.0053780789501989,2.387933727844535
5S_rRNA_ENSG00000285626,natural killer cell,spleen,normal,1,37188,0.0026890394750994,2.805327640243
7SK_ENSG00000202198,natural killer cell,spleen,normal,102,37188,0.2742820264601484,1.6329549481928558
7SK_ENSG00000271394,natural killer cell,spleen,normal,9,37188,0.0242013552758954,1.900411337271644
7SK_ENSG00000274303,natural killer cell,spleen,normal,4,37188,0.0107561579003979,1.7782970400311604
A1BG,natural killer cell,spleen,normal,59,37188,0.1586533290308701,1.3103880129395566
A1BG-AS1,natural killer cell,spleen,normal,80,37188,0.2151231580079595,1.4133056382561828
A2M,natural killer cell,spleen,normal,987,37188,2.654081961923201,1.743402274270239
A2M-AS1,natural killer cell,spleen,normal,177,37188,0.4759599870926105,1.3732142096826203
A2ML1,natural killer cell,spleen,normal,16,37188,0.0430246316015919,1.5574242081705112
A2ML1-AS1,natural killer cell,spleen,normal,41,37188,0.1102506184790792,1.524164179680065
A3GALT2,natural killer cell,spleen,normal,3,37188,0.0080671184252984,1.1784782154867022
A4GALT,natural killer cell,spleen,normal,25,37188,0.0672259868774873,1.3613236996824878
AAAS,natural killer cell,spleen,normal,356,37188,0.95729805313542,1.39191732680626
AACS,natural killer cell,spleen,normal,149,37188,0.4006668817898247,1.390603321371373
AADACL2-AS1,natural killer cell,spleen,normal,8,37188,0.0215123158007959,1.5936137738673797
AADAT,natural killer cell,spleen,normal,1,37188,0.0026890394750994,1.6319928301663755
AAGAB,natural killer cell,spleen,normal,1654,37188,4.447671291814563,1.4380817166079198
AAK1,natural killer cell,spleen,normal,11969,37188,32.18511347746585,1.6416121514740245
AAMDC,natural killer cell,spleen,normal,1379,37188,3.708185436162202,1.6555562028983493
AAMP,natural killer cell,spleen,normal,1882,37188,5.060772292137249,1.3927218003984545
AANAT,natural killer cell,spleen,normal,10,37188,0.0268903947509949,1.344792757160756
AAR2,natural killer cell,spleen,normal,77,37188,0.207056039582661,1.3322229056662012
AARD,natural killer cell,spleen,normal,28,37188,0.0752931053027858,1.355280466438879
AARS1,natural killer cell,spleen,normal,61,37188,0.1640314079810691,1.239069598710855
AARS2,natural killer cell,spleen,normal,28,37188,0.0752931053027858,1.325646470372893
AARSD1,natural killer cell,spleen,normal,1436,37188,3.861460686242874,1.596751820070036
AASDH,natural killer cell,spleen,normal,188,37188,0.505539421318705,1.3205825908496682
AASDHPPT,natural killer cell,spleen,normal,2097,37188,5.638915779283639,1.3912619926852778
AASS,natural killer cell,spleen,normal,3,37188,0.0080671184252984,1.3672853901511943
AATF,natural killer cell,spleen,normal,819,37188,2.202323330106486,1.3525585341263884
AATK,natural killer cell,spleen,normal,248,37188,0.6668817898246746,1.4620375253481293
ABALON,natural killer cell,spleen,normal,17,37188,0.0457136710766914,1.353924955035957
ABAT,natural killer cell,spleen,normal,405,37188,1.0890609874152952,1.4255916178167791
ABCA1,natural killer cell,spleen,normal,253,37188,0.680326987200172,1.5673104731797338
ABCA10,natural killer cell,spleen,normal,49,37188,0.1317629342798752,1.3980064913943828
ABCA15P,natural killer cell,spleen,normal,7,37188,0.0188232763256964,1.315289683678291
ABCA17P,natural killer cell,spleen,normal,19,37188,0.0510917500268903,1.355329334344054
ABCA2,natural killer cell,spleen,normal,2051,37188,5.515219963429063,1.4810666824546077
ABCA3,natural killer cell,spleen,normal,30,37188,0.0806711842529848,1.3454689246676717
ABCA3P1,natural killer cell,spleen,normal,1,37188,0.0026890394750994,1.5705624630295376
ABCA4,natural killer cell,spleen,normal,15,37188,0.0403355921264924,1.4081024892283518
ABCA5,natural killer cell,spleen,normal,473,37188,1.2719156717220608,1.4388421407559675
ABCA6,natural killer cell,spleen,normal,11,37188,0.0295794342260944,1.390980301082101
ABCA7,natural killer cell,spleen,normal,1524,37188,4.09809616005163,1.5728321657959337
ABCA8,natural killer cell,spleen,normal,12,37188,0.0322684737011939,1.3192814366531784
ABCA9,natural killer cell,spleen,normal,6,37188,0.0161342368505969,1.4346135146989516
ABCA9-AS1,natural killer cell,spleen,normal,3,37188,0.0080671184252984,1.4197019540249414
ABCB1,natural killer cell,spleen,normal,6436,37188,17.306658061740347,1.6418832439932003
