gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAMDC,neuron,spleen,normal,1,4,25.0,1.4156723238654767
AASDHPPT,neuron,spleen,normal,1,4,25.0,1.2567539640658103
ABCD4,neuron,spleen,normal,1,4,25.0,1.1332385688031608
ABCE1,neuron,spleen,normal,2,4,50.0,1.4172229564716745
ABHD12,neuron,spleen,normal,1,4,25.0,1.7246733705650363
ABHD16A,neuron,spleen,normal,1,4,25.0,1.108321054396505
ABI2,neuron,spleen,normal,1,4,25.0,2.31885194511812
ABRACL,neuron,spleen,normal,2,4,50.0,1.889353367138158
ACAD8,neuron,spleen,normal,1,4,25.0,1.2510688667602154
ACADVL,neuron,spleen,normal,1,4,25.0,1.2217455876380652
ACAP2,neuron,spleen,normal,1,4,25.0,1.1838171197555216
ACHE,neuron,spleen,normal,1,4,25.0,1.1053501771287977
ACIN1,neuron,spleen,normal,2,4,50.0,1.5684010603548335
ACP1,neuron,spleen,normal,4,4,100.0,1.3562857256005312
ACTB,neuron,spleen,normal,4,4,100.0,3.687670345044949
ACTG1,neuron,spleen,normal,4,4,100.0,2.7125035616985134
ACTL6A,neuron,spleen,normal,1,4,25.0,1.3406242257422545
ACTR10,neuron,spleen,normal,1,4,25.0,1.286275991585284
ACTR3,neuron,spleen,normal,1,4,25.0,1.228978287940779
ACTR6,neuron,spleen,normal,1,4,25.0,1.1640517542589757
ACY1,neuron,spleen,normal,1,4,25.0,1.3793114649731668
ACYP1,neuron,spleen,normal,2,4,50.0,2.015210045875508
ADCK5,neuron,spleen,normal,1,4,25.0,1.1723860618335962
ADCY9,neuron,spleen,normal,1,4,25.0,1.2784793171595137
ADD3,neuron,spleen,normal,2,4,50.0,1.3328913005278142
ADGRL1,neuron,spleen,normal,1,4,25.0,1.2733268954666597
ADGRV1,neuron,spleen,normal,1,4,25.0,1.2072075820644694
ADH5,neuron,spleen,normal,2,4,50.0,1.4403790928090066
ADIPOR1,neuron,spleen,normal,2,4,50.0,1.4248487816842623
ADIPOR2,neuron,spleen,normal,1,4,25.0,1.5477580991103836
AGPAT3,neuron,spleen,normal,1,4,25.0,1.451252256781004
AIF1,neuron,spleen,normal,2,4,50.0,1.7836426125078866
AIP,neuron,spleen,normal,1,4,25.0,1.3603492844769716
AK1,neuron,spleen,normal,1,4,25.0,1.287380270492266
AKAP6,neuron,spleen,normal,1,4,25.0,1.375205549588694
AKIP1,neuron,spleen,normal,1,4,25.0,1.36190418770616
AKIRIN1,neuron,spleen,normal,1,4,25.0,1.2376580117214282
AKR1B1,neuron,spleen,normal,2,4,50.0,1.568483758369594
AKT2,neuron,spleen,normal,1,4,25.0,1.7425449789624392
ALDH1A1,neuron,spleen,normal,1,4,25.0,1.3203154980508491
ALDOA,neuron,spleen,normal,2,4,50.0,2.0866637147658804
ALKBH7,neuron,spleen,normal,2,4,50.0,1.5414722874206517
AMZ2,neuron,spleen,normal,2,4,50.0,1.5958247742751983
ANAPC11,neuron,spleen,normal,4,4,100.0,1.892915400573754
ANAPC16,neuron,spleen,normal,1,4,25.0,1.203088019471974
ANAPC5,neuron,spleen,normal,1,4,25.0,1.3819698504790494
ANAPC7,neuron,spleen,normal,1,4,25.0,1.594566421425497
ANKRD10,neuron,spleen,normal,1,4,25.0,1.2356736884275106
ANKRD12,neuron,spleen,normal,1,4,25.0,1.4394385267209653
ANKRD13C,neuron,spleen,normal,1,4,25.0,1.1390880262297791
ANKRD37,neuron,spleen,normal,1,4,25.0,1.3203561374525412
ANLN,neuron,spleen,normal,1,4,25.0,1.268221230792266
ANO10,neuron,spleen,normal,1,4,25.0,1.3145454471003517
ANP32A,neuron,spleen,normal,2,4,50.0,1.4999007270553533
ANP32B,neuron,spleen,normal,3,4,75.0,1.4204894018911265
ANP32E,neuron,spleen,normal,1,4,25.0,1.4394385267209653
ANTKMT,neuron,spleen,normal,1,4,25.0,1.1490485004726014
ANXA4,neuron,spleen,normal,1,4,25.0,1.6588774120486245
ANXA5,neuron,spleen,normal,2,4,50.0,1.269252527283812
ANXA7,neuron,spleen,normal,1,4,25.0,1.1449888965235857
AP1G1,neuron,spleen,normal,2,4,50.0,1.139493074177321
AP1S1,neuron,spleen,normal,1,4,25.0,1.2296610478014631
AP2M1,neuron,spleen,normal,1,4,25.0,1.4429590059547344
AP2S1,neuron,spleen,normal,2,4,50.0,1.1890655590263406
APBA3,neuron,spleen,normal,1,4,25.0,1.1667037612893938
APBB1,neuron,spleen,normal,1,4,25.0,1.1838171197555216
APBB3,neuron,spleen,normal,1,4,25.0,1.4119783249961282
APEH,neuron,spleen,normal,1,4,25.0,1.102604998309
APEX1,neuron,spleen,normal,1,4,25.0,1.1792489691482644
APH1A,neuron,spleen,normal,2,4,50.0,1.1698950673703874
API5,neuron,spleen,normal,1,4,25.0,1.11361754772992
APLP1,neuron,spleen,normal,1,4,25.0,1.6332526856219676
APLP2,neuron,spleen,normal,1,4,25.0,1.3730204465389717
APOC1,neuron,spleen,normal,1,4,25.0,3.453724451937304
APOO,neuron,spleen,normal,1,4,25.0,1.2621551689725048
APP,neuron,spleen,normal,1,4,25.0,1.5023820900326883
APRT,neuron,spleen,normal,3,4,75.0,1.328063796894872
ARC,neuron,spleen,normal,1,4,25.0,1.1482340308518495
ARF1,neuron,spleen,normal,3,4,75.0,1.738249860779236
ARF4,neuron,spleen,normal,2,4,50.0,1.7601618299847792
