gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,neutrophil,spleen,normal,5,14771,0.0338501117053686,3.273495461408782
7SK_ENSG00000202198,neutrophil,spleen,normal,303,14771,2.051316769345339,1.987641233158288
7SK_ENSG00000274303,neutrophil,spleen,normal,1,14771,0.0067700223410737,2.462380433932442
A1BG-AS1,neutrophil,spleen,normal,3,14771,0.0203100670232211,1.2537847667370592
A2M,neutrophil,spleen,normal,91,14771,0.616072033037709,1.6433449870501364
A2M-AS1,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.979749654305855
A2ML1,neutrophil,spleen,normal,19,14771,0.1286304244804008,1.6093871131776307
A2ML1-AS1,neutrophil,spleen,normal,99,14771,0.6702322117662988,1.8448062616776304
A3GALT2,neutrophil,spleen,normal,388,14771,2.626768668336606,1.3927368354912355
AAAS,neutrophil,spleen,normal,10,14771,0.0677002234107372,1.1665062410597329
AACS,neutrophil,spleen,normal,6,14771,0.0406201340464423,1.2277479175253634
AACSP1_ENSG00000250420,neutrophil,spleen,normal,23,14771,0.1557105138446957,1.3328936159862494
AADAC,neutrophil,spleen,normal,2,14771,0.0135400446821474,1.4415096517121828
AADACL2-AS1,neutrophil,spleen,normal,234,14771,1.5841852278112518,1.9012339633425128
AAGAB,neutrophil,spleen,normal,380,14771,2.572608489608016,1.476050605444716
AAK1,neutrophil,spleen,normal,3349,14771,22.672804820255905,1.6892577252653995
AAMDC,neutrophil,spleen,normal,225,14771,1.5232550267415883,1.6012673360342935
AAMP,neutrophil,spleen,normal,61,14771,0.4129713628054973,1.2326212811532449
AANAT,neutrophil,spleen,normal,9,14771,0.0609302010696635,1.2540925317012055
AAR2,neutrophil,spleen,normal,3,14771,0.0203100670232211,1.2202636893841348
AARD,neutrophil,spleen,normal,2,14771,0.0135400446821474,1.173967120202518
AARSD1,neutrophil,spleen,normal,19,14771,0.1286304244804008,1.368005506449084
AASDH,neutrophil,spleen,normal,4,14771,0.0270800893642949,1.141688775502944
AASDHPPT,neutrophil,spleen,normal,108,14771,0.7311624128359623,1.2924832090496283
AATBC,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.1281383721168827
AATF,neutrophil,spleen,normal,652,14771,4.414054566380069,1.4114476339434652
AATK,neutrophil,spleen,normal,6021,14771,40.7623045156049,1.65967694763384
ABAT,neutrophil,spleen,normal,1263,14771,8.550538216776115,1.568186327313436
ABCA1,neutrophil,spleen,normal,8009,14771,54.221108929659465,1.9861112723085803
ABCA10,neutrophil,spleen,normal,45,14771,0.3046510053483176,1.35834774702246
ABCA11P,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.1338242446888578
ABCA13,neutrophil,spleen,normal,738,14771,4.99627648771241,2.261493946965712
ABCA15P,neutrophil,spleen,normal,2,14771,0.0135400446821474,1.3164902307583202
ABCA17P,neutrophil,spleen,normal,13,14771,0.0880102904339584,1.7270042165457271
ABCA2,neutrophil,spleen,normal,282,14771,1.9091463001827904,1.367124656054698
ABCA3,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.129184793009366
ABCA3P1,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.1925838845927397
ABCA4,neutrophil,spleen,normal,10,14771,0.0677002234107372,1.4163993156241008
ABCA5,neutrophil,spleen,normal,179,14771,1.211833999052197,1.4085183356756854
ABCA6,neutrophil,spleen,normal,3,14771,0.0203100670232211,1.2259474343805936
ABCA7,neutrophil,spleen,normal,1782,14771,12.06417981179338,1.595664808467107
ABCA8,neutrophil,spleen,normal,35,14771,0.2369507819375804,1.2198608149996728
ABCA9,neutrophil,spleen,normal,10,14771,0.0677002234107372,1.33257647956208
ABCA9-AS1,neutrophil,spleen,normal,3,14771,0.0203100670232211,1.7308083350634818
ABCB1,neutrophil,spleen,normal,256,14771,1.7331257193148737,1.5473884279316412
ABCB10,neutrophil,spleen,normal,181,14771,1.2253740437343443,1.4456405761199913
ABCB11,neutrophil,spleen,normal,22,14771,0.1489404915036219,1.4570586573679472
ABCB5,neutrophil,spleen,normal,2,14771,0.0135400446821474,1.145860683290298
ABCB6,neutrophil,spleen,normal,13,14771,0.0880102904339584,1.3611097045319824
ABCB7,neutrophil,spleen,normal,44,14771,0.2978809830072439,1.355202598944282
ABCB8,neutrophil,spleen,normal,64,14771,0.4332814298287184,1.4680683892230617
ABCB9,neutrophil,spleen,normal,2,14771,0.0135400446821474,1.2870851488918014
ABCC1,neutrophil,spleen,normal,184,14771,1.2456841107575656,1.3060343682127509
ABCC10,neutrophil,spleen,normal,101,14771,0.6837722564484463,1.436967906070497
ABCC13_ENSG00000243064,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.4575607334136609
ABCC2,neutrophil,spleen,normal,396,14771,2.680928847065195,1.408158497224294
ABCC3,neutrophil,spleen,normal,69,14771,0.4671315415340871,1.443982483999896
ABCC4,neutrophil,spleen,normal,6,14771,0.0406201340464423,1.628706321696515
ABCC5,neutrophil,spleen,normal,225,14771,1.5232550267415883,1.3802935584274112
ABCC5-AS1,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.8489488721814908
ABCC6,neutrophil,spleen,normal,121,14771,0.8191727032699208,1.2731308156908392
ABCC6P1_ENSG00000256340,neutrophil,spleen,normal,4,14771,0.0270800893642949,1.318268743995744
ABCD1,neutrophil,spleen,normal,199,14771,1.3472344458736714,1.358730852796222
ABCD3,neutrophil,spleen,normal,31,14771,0.2098706925732855,1.2921533526271314
ABCD4,neutrophil,spleen,normal,54,14771,0.3655812064179811,1.4144927248181942
ABCE1,neutrophil,spleen,normal,110,14771,0.7447024575181098,1.4412052723790187
ABCF1,neutrophil,spleen,normal,61,14771,0.4129713628054973,1.2649895812231675
ABCF2,neutrophil,spleen,normal,20,14771,0.1354004468214745,1.3588403117150063
ABCF3,neutrophil,spleen,normal,141,14771,0.9545731500913952,1.4566360265234093
ABCG1,neutrophil,spleen,normal,493,14771,3.3376210141493465,1.3389842909070957
ABHD1,neutrophil,spleen,normal,17,14771,0.1150903797982533,1.363040978803571
ABHD10,neutrophil,spleen,normal,65,14771,0.4400514521697921,1.4316534642195873
ABHD11,neutrophil,spleen,normal,105,14771,0.7108523458127413,1.4136294818130986
ABHD12,neutrophil,spleen,normal,116,14771,0.7853225915645521,1.3866574243283667
ABHD12B,neutrophil,spleen,normal,94,14771,0.6363821000609302,1.2620715742100357
ABHD14A,neutrophil,spleen,normal,28,14771,0.1895606255500643,1.4115172975914383
ABHD14B,neutrophil,spleen,normal,5,14771,0.0338501117053686,1.1402037339789386
ABHD15-AS1,neutrophil,spleen,normal,4674,14771,31.643084422178596,2.8361417298979146
ABHD16A,neutrophil,spleen,normal,194,14771,1.313384334168303,1.3738050727017792
ABHD17A,neutrophil,spleen,normal,170,14771,1.1509037979825334,1.254869891517795
ABHD17AP3,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.3249853506132634
ABHD17AP6,neutrophil,spleen,normal,10,14771,0.0677002234107372,1.2514020832995014
ABHD17B,neutrophil,spleen,normal,135,14771,0.913953016044953,1.396749124136229
ABHD17C,neutrophil,spleen,normal,135,14771,0.913953016044953,1.4553302468706937
ABHD18,neutrophil,spleen,normal,372,14771,2.518448310879426,1.440667372207934
ABHD2,neutrophil,spleen,normal,8819,14771,59.704827025929184,2.164480066452598
ABHD3,neutrophil,spleen,normal,3801,14771,25.732854918421232,1.7760420143897353
ABHD4,neutrophil,spleen,normal,378,14771,2.559068444925868,1.545665368524679
ABHD5,neutrophil,spleen,normal,7818,14771,52.92803466251439,1.796891017003787
ABHD6,neutrophil,spleen,normal,154,14771,1.0425834405253538,1.4555685026652874
ABHD8,neutrophil,spleen,normal,207,14771,1.401394624602261,1.61276782371824
ABI1,neutrophil,spleen,normal,1539,14771,10.419064382912463,1.3676465116189362
ABI2,neutrophil,spleen,normal,83,14771,0.5619118543091192,1.5723501149227312
ABI3,neutrophil,spleen,normal,74,14771,0.5009816532394556,1.2665730471071388
ABI3BP,neutrophil,spleen,normal,92,14771,0.6228420553787828,1.5739934468377508
ABITRAM,neutrophil,spleen,normal,316,14771,2.1393270597792973,1.6832429436550609
ABL1,neutrophil,spleen,normal,23,14771,0.1557105138446957,1.2699494056240397
ABL2,neutrophil,spleen,normal,167,14771,1.130593730959312,1.382564989818222
ABLIM1,neutrophil,spleen,normal,187,14771,1.2659941777807866,1.5323182481886717
ABLIM2,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.637853563222342
ABLIM3,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.263319774259459
ABO,neutrophil,spleen,normal,6,14771,0.0406201340464423,1.1962516175418278
ABR,neutrophil,spleen,normal,3522,14771,23.844018685261663,1.7510447659113275
ABR-AS1,neutrophil,spleen,normal,3,14771,0.0203100670232211,2.442778808369057
ABRACL,neutrophil,spleen,normal,1054,14771,7.135603547491706,1.5945124407647442
ABRAXAS1,neutrophil,spleen,normal,187,14771,1.2659941777807866,1.264380151679725
ABRAXAS1P2,neutrophil,spleen,normal,4,14771,0.0270800893642949,1.3082598536867576
ABRAXAS2,neutrophil,spleen,normal,5,14771,0.0338501117053686,1.302671819300656
ABT1,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.1165331568203667
ABTB1,neutrophil,spleen,normal,8611,14771,58.29666237898585,1.8058279731851172
ABTB2,neutrophil,spleen,normal,150,14771,1.0155033511610587,1.4339472380476863
ABTB3,neutrophil,spleen,normal,11,14771,0.0744702457518109,1.29318338594676
ACAA1,neutrophil,spleen,normal,2264,14771,15.327330580190916,1.4322171596892312
ACAA2,neutrophil,spleen,normal,10,14771,0.0677002234107372,1.1577621254625683
ACACA,neutrophil,spleen,normal,350,14771,2.369507819375804,1.615162582302653
ACACB,neutrophil,spleen,normal,367,14771,2.4845981991740573,1.494643893574811
ACAD10,neutrophil,spleen,normal,357,14771,2.41689797576332,1.5487604278458331
ACAD11,neutrophil,spleen,normal,3,14771,0.0203100670232211,1.431867731154057
ACAD8,neutrophil,spleen,normal,91,14771,0.616072033037709,1.2428429529193836
ACAD9,neutrophil,spleen,normal,17,14771,0.1150903797982533,1.2380505549771377
ACAD9-DT,neutrophil,spleen,normal,109,14771,0.7379324351770361,1.3745068253916142
ACADL,neutrophil,spleen,normal,4,14771,0.0270800893642949,1.333929043441667
ACADM,neutrophil,spleen,normal,15,14771,0.1015503351161058,1.2524170175730087
ACADS,neutrophil,spleen,normal,14,14771,0.0947803127750321,1.2302517792612166
ACADSB,neutrophil,spleen,normal,67,14771,0.4535914968519396,1.4066833225894897
ACADVL,neutrophil,spleen,normal,500,14771,3.385011170536863,1.4948408301515297
ACAP1,neutrophil,spleen,normal,4265,14771,28.874145284679443,1.720852772208036
ACAP2,neutrophil,spleen,normal,12902,14771,87.3468282445332,2.420047210449569
ACAP2-IT1,neutrophil,spleen,normal,76,14771,0.5145216979216032,1.5018308070109638
ACAP3,neutrophil,spleen,normal,184,14771,1.2456841107575656,1.448423836212087
ACAT1,neutrophil,spleen,normal,116,14771,0.7853225915645521,1.363762094482203
ACAT2,neutrophil,spleen,normal,399,14771,2.7012389140884165,1.385268656439312
ACBD3,neutrophil,spleen,normal,243,14771,1.645115428880915,1.3646837764045423
ACBD3-AS1,neutrophil,spleen,normal,10,14771,0.0677002234107372,1.6486784088290676
ACBD4,neutrophil,spleen,normal,21,14771,0.1421704691625482,1.2252819976937583
ACBD5,neutrophil,spleen,normal,16,14771,0.1083203574571796,1.267301351525202
ACBD6,neutrophil,spleen,normal,1282,14771,8.679168641256515,1.5366788107715672
ACBD7,neutrophil,spleen,normal,4,14771,0.0270800893642949,1.1264620104544791
ACCS,neutrophil,spleen,normal,18,14771,0.121860402139327,1.3871931991404831
ACD,neutrophil,spleen,normal,44,14771,0.2978809830072439,1.2220082140283388
ACE,neutrophil,spleen,normal,5,14771,0.0338501117053686,1.2478966194572318
ACE2,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.6407885100516404
ACE2-DT,neutrophil,spleen,normal,6,14771,0.0406201340464423,1.5869059750842929
ACER1,neutrophil,spleen,normal,11,14771,0.0744702457518109,1.2758962353093797
ACER2,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.3222685936505685
ACER3,neutrophil,spleen,normal,423,14771,2.863719450274186,1.3334688110506403
ACIN1,neutrophil,spleen,normal,2860,14771,19.362263895470853,1.523930301995829
ACKR1,neutrophil,spleen,normal,16,14771,0.1083203574571796,1.2596645417799412
ACKR2,neutrophil,spleen,normal,5,14771,0.0338501117053686,1.4160604567631807
ACKR3,neutrophil,spleen,normal,9,14771,0.0609302010696635,1.2929605571974805
ACKR4,neutrophil,spleen,normal,10,14771,0.0677002234107372,1.292865572557011
ACLY,neutrophil,spleen,normal,65,14771,0.4400514521697921,1.2708897085708593
ACMSD,neutrophil,spleen,normal,9,14771,0.0609302010696635,1.247427019670496
ACO2,neutrophil,spleen,normal,38,14771,0.2572608489608016,1.305106947469623
ACOD1,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.4832008451008971
ACOT1,neutrophil,spleen,normal,2,14771,0.0135400446821474,1.1791023144543782
ACOT11,neutrophil,spleen,normal,2,14771,0.0135400446821474,1.4624900080852283
ACOT12,neutrophil,spleen,normal,13,14771,0.0880102904339584,1.601357240353383
ACOT13,neutrophil,spleen,normal,4,14771,0.0270800893642949,1.3061614440614069
ACOT2,neutrophil,spleen,normal,3,14771,0.0203100670232211,1.190786916961693
ACOT4,neutrophil,spleen,normal,1,14771,0.0067700223410737,1.1364392946912123
ACOT6,neutrophil,spleen,normal,3,14771,0.0203100670232211,1.3433683429021837
ACOT7,neutrophil,spleen,normal,18,14771,0.121860402139327,1.245253799371889
ACOT8,neutrophil,spleen,normal,254,14771,1.7195856746327265,1.3388824775602142
ACOT9,neutrophil,spleen,normal,941,14771,6.370591022950375,1.3942047081916895
ACOX1,neutrophil,spleen,normal,4798,14771,32.482567192471734,1.733142774927293
