gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
7SK_ENSG00000202198,non-classical monocyte,spleen,normal,2,379,0.5277044854881267,1.3089792847079538
A1BG,non-classical monocyte,spleen,normal,1,379,0.2638522427440633,1.1746299951625483
A2M,non-classical monocyte,spleen,normal,2,379,0.5277044854881267,1.2383947446493306
A2ML1-AS1,non-classical monocyte,spleen,normal,2,379,0.5277044854881267,1.128154058671357
AAAS,non-classical monocyte,spleen,normal,1,379,0.2638522427440633,1.282444549338605
AAGAB,non-classical monocyte,spleen,normal,8,379,2.1108179419525066,1.2900964966902586
AAK1,non-classical monocyte,spleen,normal,42,379,11.08179419525066,1.337759807144694
AAMDC,non-classical monocyte,spleen,normal,16,379,4.221635883905013,1.3726553396138996
AAMP,non-classical monocyte,spleen,normal,8,379,2.1108179419525066,1.3056077405291515
AARSD1,non-classical monocyte,spleen,normal,5,379,1.3192612137203166,1.2978743408575597
AASDHPPT,non-classical monocyte,spleen,normal,4,379,1.0554089709762533,1.2607579483680338
AATBC,non-classical monocyte,spleen,normal,2,379,0.5277044854881267,1.165280786079319
AATF,non-classical monocyte,spleen,normal,3,379,0.79155672823219,1.2973203206393145
AATK,non-classical monocyte,spleen,normal,2,379,0.5277044854881267,1.2624390302008703
ABAT,non-classical monocyte,spleen,normal,4,379,1.0554089709762533,1.2497455924842886
ABCA1,non-classical monocyte,spleen,normal,53,379,13.984168865435356,1.404239081732239
ABCA7,non-classical monocyte,spleen,normal,7,379,1.8469656992084436,1.4281674448191606
ABCB10,non-classical monocyte,spleen,normal,3,379,0.79155672823219,1.2736199979639204
ABCC1,non-classical monocyte,spleen,normal,1,379,0.2638522427440633,1.5069207424668545
ABCC10,non-classical monocyte,spleen,normal,3,379,0.79155672823219,1.6272769852413866
ABCC3,non-classical monocyte,spleen,normal,33,379,8.70712401055409,1.3963174784916543
ABCD1,non-classical monocyte,spleen,normal,4,379,1.0554089709762533,1.4049571880849867
