gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,plasma cell,spleen,normal,3,9855,0.030441400304414,1.5965279745739658
5S_rRNA_ENSG00000285626,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.728498775119805
7SK_ENSG00000202198,plasma cell,spleen,normal,14,9855,0.1420598680872653,1.5177440478673756
A1BG-AS1,plasma cell,spleen,normal,3,9855,0.030441400304414,1.199417154667512
A2M,plasma cell,spleen,normal,19,9855,0.1927955352612886,1.467203232856263
A2M-AS1,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.2411400646443207
A2ML1,plasma cell,spleen,normal,1,9855,0.0101471334348046,2.571425589582325
A2ML1-AS1,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.5369233223048613
AAAS,plasma cell,spleen,normal,22,9855,0.2232369355657027,1.3619743931836388
AACS,plasma cell,spleen,normal,19,9855,0.1927955352612886,1.2403787375767614
AADACL2-AS1,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.4570391057422225
AAGAB,plasma cell,spleen,normal,60,9855,0.60882800608828,1.3716786343637957
AAK1,plasma cell,spleen,normal,324,9855,3.287671232876712,1.3815804534318747
AAMDC,plasma cell,spleen,normal,66,9855,0.669710806697108,1.4701712305214656
AAMP,plasma cell,spleen,normal,47,9855,0.4769152714358193,1.3524384846103454
AANAT,plasma cell,spleen,normal,4,9855,0.0405885337392186,1.3781219752650435
AAR2,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.1800966238822626
AARS1,plasma cell,spleen,normal,11,9855,0.1116184677828513,1.3239824303062508
AARS2,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.433020935009664
AARSD1,plasma cell,spleen,normal,94,9855,0.9538305428716388,1.5265641293148415
AASDHPPT,plasma cell,spleen,normal,59,9855,0.5986808726534754,1.345792977915288
AATF,plasma cell,spleen,normal,24,9855,0.243531202435312,1.2797674541613588
AATK,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.491752672492675
ABALON,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1832898115422228
ABAT,plasma cell,spleen,normal,9,9855,0.091324200913242,1.342878001522914
ABCA1,plasma cell,spleen,normal,12,9855,0.121765601217656,1.319594328048749
ABCA10,plasma cell,spleen,normal,6,9855,0.060882800608828,1.3711752730254971
ABCA2,plasma cell,spleen,normal,3,9855,0.030441400304414,1.4992064688430198
ABCA5,plasma cell,spleen,normal,45,9855,0.45662100456621,1.2668661071081488
ABCA6,plasma cell,spleen,normal,9,9855,0.091324200913242,1.3363442766388505
ABCA7,plasma cell,spleen,normal,159,9855,1.6133942161339423,1.5412087232087317
ABCA9,plasma cell,spleen,normal,8,9855,0.0811770674784373,1.5739997587390615
ABCA9-AS1,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.3500727941440125
ABCB1,plasma cell,spleen,normal,25,9855,0.2536783358701167,1.458500718615985
ABCB10,plasma cell,spleen,normal,27,9855,0.273972602739726,1.4489077650543218
ABCB11,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1202657354547525
ABCB6,plasma cell,spleen,normal,10,9855,0.1014713343480466,1.5648941452960814
ABCB7,plasma cell,spleen,normal,10,9855,0.1014713343480466,1.2896459718578293
ABCB8,plasma cell,spleen,normal,131,9855,1.3292744799594116,1.5288369810213818
ABCB9,plasma cell,spleen,normal,264,9855,2.678843226788432,1.4285026605600983
ABCC1,plasma cell,spleen,normal,5,9855,0.0507356671740233,1.2832038784935986
ABCC10,plasma cell,spleen,normal,62,9855,0.6291222729578894,1.535109064895967
ABCC2,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1492894996427934
ABCC4,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.5581582750152514
ABCC5,plasma cell,spleen,normal,3,9855,0.030441400304414,1.2406445532489965
ABCD1,plasma cell,spleen,normal,12,9855,0.121765601217656,1.4203880237839517
ABCD3,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1752035869859687
ABCD4,plasma cell,spleen,normal,80,9855,0.8117706747843734,1.485117435850527
ABCE1,plasma cell,spleen,normal,351,9855,3.5616438356164384,1.390266086883565
ABCF1,plasma cell,spleen,normal,15,9855,0.15220700152207,1.2317412638696703
ABCF2,plasma cell,spleen,normal,28,9855,0.2841197361745307,1.4246755217966656
ABCF3,plasma cell,spleen,normal,116,9855,1.1770674784373416,1.4828215399211675
ABCG1,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.289453019533929
ABHD1,plasma cell,spleen,normal,3,9855,0.030441400304414,1.305289125093241
ABHD10,plasma cell,spleen,normal,31,9855,0.3145611364789447,1.3510809378395574
ABHD11,plasma cell,spleen,normal,56,9855,0.5682394723490614,1.5287233298385992
ABHD12,plasma cell,spleen,normal,76,9855,0.7711821410451547,1.427089754742047
ABHD14A,plasma cell,spleen,normal,128,9855,1.2988330796549974,1.3847493048106367
ABHD14B,plasma cell,spleen,normal,16,9855,0.1623541349568746,1.2783459980073135
ABHD15-AS1,plasma cell,spleen,normal,227,9855,2.30339928970066,1.6235795064144516
ABHD16A,plasma cell,spleen,normal,21,9855,0.213089802130898,1.5528898892641412
ABHD17A,plasma cell,spleen,normal,26,9855,0.2638254693049213,1.3217553485011295
ABHD17B,plasma cell,spleen,normal,11,9855,0.1116184677828513,1.3177578952018478
ABHD17C,plasma cell,spleen,normal,3,9855,0.030441400304414,1.36059377451736
ABHD18,plasma cell,spleen,normal,15,9855,0.15220700152207,1.2563681888117666
ABHD2,plasma cell,spleen,normal,125,9855,1.2683916793505834,1.4640774845982218
ABHD3,plasma cell,spleen,normal,509,9855,5.164890918315576,1.4440080141361435
ABHD4,plasma cell,spleen,normal,36,9855,0.365296803652968,1.4910898675766626
ABHD5,plasma cell,spleen,normal,69,9855,0.700152207001522,1.4653962504613054
ABHD6,plasma cell,spleen,normal,30,9855,0.30441400304414,1.4814503500730605
ABHD8,plasma cell,spleen,normal,118,9855,1.1973617453069507,1.4586299017799464
ABI1,plasma cell,spleen,normal,7,9855,0.0710299340436326,1.1909350924600244
ABI2,plasma cell,spleen,normal,93,9855,0.9436834094368342,1.4112004197935732
ABI3,plasma cell,spleen,normal,25,9855,0.2536783358701167,1.2694871183803311
ABI3BP,plasma cell,spleen,normal,10,9855,0.1014713343480466,1.574932371414768
ABITRAM,plasma cell,spleen,normal,31,9855,0.3145611364789447,1.4888127100904704
ABL2,plasma cell,spleen,normal,15,9855,0.15220700152207,1.338374454965657
ABLIM1,plasma cell,spleen,normal,1,9855,0.0101471334348046,3.188205092318292
ABLIM2,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1327746188872396
ABR,plasma cell,spleen,normal,89,9855,0.9030948756976154,1.499271786295386
ABR-AS1,plasma cell,spleen,normal,1,9855,0.0101471334348046,2.3291956649838657
ABRACL,plasma cell,spleen,normal,1258,9855,12.765093860984273,1.4850522758857856
ABRAXAS1,plasma cell,spleen,normal,6,9855,0.060882800608828,1.333101936506656
ABT1,plasma cell,spleen,normal,8,9855,0.0811770674784373,1.2530475743494744
ABTB1,plasma cell,spleen,normal,78,9855,0.7914764079147641,1.4299069898200183
ABTB2,plasma cell,spleen,normal,7,9855,0.0710299340436326,1.3282274179931832
ABTB3,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1291699342760002
ACAA1,plasma cell,spleen,normal,147,9855,1.491628614916286,1.435282849020156
ACAA2,plasma cell,spleen,normal,19,9855,0.1927955352612886,1.310341652386014
ACACA,plasma cell,spleen,normal,176,9855,1.7858954845256216,1.36336942812907
ACACB,plasma cell,spleen,normal,24,9855,0.243531202435312,1.4337827013002629
ACAD10,plasma cell,spleen,normal,56,9855,0.5682394723490614,1.4219469313423407
ACAD11,plasma cell,spleen,normal,32,9855,0.3247082699137493,1.3383625968966475
ACAD8,plasma cell,spleen,normal,25,9855,0.2536783358701167,1.3720120283997794
ACAD9,plasma cell,spleen,normal,4,9855,0.0405885337392186,1.1907537140925348
ACAD9-DT,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.3948925195972168
ACADM,plasma cell,spleen,normal,26,9855,0.2638254693049213,1.242048587086345
ACADS,plasma cell,spleen,normal,10,9855,0.1014713343480466,1.3633680761451648
ACADSB,plasma cell,spleen,normal,16,9855,0.1623541349568746,1.380600318532679
ACADVL,plasma cell,spleen,normal,2017,9855,20.46676813800101,1.5145144806432538
ACAP1,plasma cell,spleen,normal,1190,9855,12.075088787417554,1.5732878956864365
ACAP2,plasma cell,spleen,normal,1069,9855,10.84728564180619,1.4431066905444638
ACAP3,plasma cell,spleen,normal,158,9855,1.6032470826991374,1.543196379388177
ACAT1,plasma cell,spleen,normal,143,9855,1.4510400811770674,1.362750600573195
ACAT2,plasma cell,spleen,normal,16,9855,0.1623541349568746,1.313725570376112
ACBD3,plasma cell,spleen,normal,54,9855,0.547945205479452,1.2999912065907424
ACBD3-AS1,plasma cell,spleen,normal,12,9855,0.121765601217656,1.7456169999263655
ACBD4,plasma cell,spleen,normal,12,9855,0.121765601217656,1.3631441058847005
ACBD5,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1678219661757014
ACBD6,plasma cell,spleen,normal,43,9855,0.4363267376966007,1.2780443682793896
ACCS,plasma cell,spleen,normal,6,9855,0.060882800608828,1.4723972034748896
ACD,plasma cell,spleen,normal,21,9855,0.213089802130898,1.32875666333264
ACE,plasma cell,spleen,normal,3,9855,0.030441400304414,1.4551456656087278
ACER2,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.5119592411648013
ACIN1,plasma cell,spleen,normal,294,9855,2.983257229832572,1.449601226909911
ACKR2,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.632051783019157
ACKR3,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.2842118307372503
ACKR4,plasma cell,spleen,normal,2,9855,0.0202942668696093,1.4474611381813949
ACLY,plasma cell,spleen,normal,10,9855,0.1014713343480466,1.2754444884508511
ACMSD,plasma cell,spleen,normal,3,9855,0.030441400304414,1.391510179363845
ACO2,plasma cell,spleen,normal,9,9855,0.091324200913242,1.2307165761855243
ACOT2,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.1820963815358323
ACOT6,plasma cell,spleen,normal,1,9855,0.0101471334348046,1.2191252104534256
ACOT7,plasma cell,spleen,normal,15,9855,0.15220700152207,1.3318593718432894
ACOT8,plasma cell,spleen,normal,30,9855,0.30441400304414,1.3398353441542834
ACOT9,plasma cell,spleen,normal,44,9855,0.4464738711314054,1.3634023168046676
ACOX1,plasma cell,spleen,normal,103,9855,1.0451547437848807,1.4262942214946364
