gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,plasmablast,spleen,normal,3,2525,0.1188118811881188,1.285951077845506
A2M,plasmablast,spleen,normal,2,2525,0.0792079207920792,1.542511266365861
A4GALT,plasmablast,spleen,normal,1,2525,0.0396039603960396,1.5367241379842598
AAAS,plasmablast,spleen,normal,12,2525,0.4752475247524752,1.443717219629767
AACS,plasmablast,spleen,normal,3,2525,0.1188118811881188,1.3427319091262306
AAGAB,plasmablast,spleen,normal,15,2525,0.594059405940594,1.4814718007964782
AAK1,plasmablast,spleen,normal,71,2525,2.811881188118812,1.5194287846137031
AAMDC,plasmablast,spleen,normal,22,2525,0.8712871287128714,1.411723885873944
AAMP,plasmablast,spleen,normal,34,2525,1.3465346534653466,1.3478660054283942
AAR2,plasmablast,spleen,normal,1,2525,0.0396039603960396,1.6015224302609317
AARS1,plasmablast,spleen,normal,5,2525,0.198019801980198,1.3459307532147735
AARS2,plasmablast,spleen,normal,3,2525,0.1188118811881188,1.2845859414448295
AARSD1,plasmablast,spleen,normal,35,2525,1.3861386138613865,1.5820108971130684
AASDHPPT,plasmablast,spleen,normal,28,2525,1.1089108910891088,1.4533733825851505
AATF,plasmablast,spleen,normal,15,2525,0.594059405940594,1.2701447835956985
ABAT,plasmablast,spleen,normal,1,2525,0.0396039603960396,2.293301598250515
ABCA1,plasmablast,spleen,normal,3,2525,0.1188118811881188,1.3570205251763612
ABCA2,plasmablast,spleen,normal,4,2525,0.1584158415841584,1.7877348418060457
ABCA5,plasmablast,spleen,normal,6,2525,0.2376237623762376,1.5193573031565288
ABCA6,plasmablast,spleen,normal,1,2525,0.0396039603960396,1.5622720459824615
ABCA7,plasmablast,spleen,normal,18,2525,0.712871287128713,1.578557467346656
ABCB1,plasmablast,spleen,normal,3,2525,0.1188118811881188,2.29283359478383
ABCB10,plasmablast,spleen,normal,7,2525,0.2772277227722772,1.3248780154004631
ABCB5,plasmablast,spleen,normal,1,2525,0.0396039603960396,1.6050985238581672
ABCB6,plasmablast,spleen,normal,4,2525,0.1584158415841584,1.445335469159045
ABCB7,plasmablast,spleen,normal,6,2525,0.2376237623762376,1.4921814932561626
ABCB8,plasmablast,spleen,normal,50,2525,1.98019801980198,1.4805549921083427
ABCB9,plasmablast,spleen,normal,39,2525,1.5445544554455446,1.3937466418307256
ABCC10,plasmablast,spleen,normal,12,2525,0.4752475247524752,1.7363104211938378
ABCD1,plasmablast,spleen,normal,2,2525,0.0792079207920792,1.546968489010787
