gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,plasmacytoid dendritic cell,spleen,normal,23,912,2.5219298245614032,1.2405104688676678
A1BG-AS1,plasmacytoid dendritic cell,spleen,normal,1,912,0.1096491228070175,1.4462336686644768
A2M,plasmacytoid dendritic cell,spleen,normal,9,912,0.986842105263158,1.4125051851727386
AAAS,plasmacytoid dendritic cell,spleen,normal,4,912,0.4385964912280701,1.5710045564383812
AACS,plasmacytoid dendritic cell,spleen,normal,3,912,0.3289473684210526,1.1874280680607716
AAGAB,plasmacytoid dendritic cell,spleen,normal,11,912,1.2061403508771928,1.350046097826137
AAK1,plasmacytoid dendritic cell,spleen,normal,17,912,1.8640350877192984,1.4579016546523724
AAMDC,plasmacytoid dendritic cell,spleen,normal,56,912,6.140350877192982,1.3938257179667608
AAMP,plasmacytoid dendritic cell,spleen,normal,13,912,1.425438596491228,1.2813701313632924
AAR2,plasmacytoid dendritic cell,spleen,normal,1,912,0.1096491228070175,1.1146447292570694
AARSD1,plasmacytoid dendritic cell,spleen,normal,18,912,1.973684210526316,1.4831957750508231
AASDHPPT,plasmacytoid dendritic cell,spleen,normal,21,912,2.302631578947368,1.3156381844095872
AATF,plasmacytoid dendritic cell,spleen,normal,3,912,0.3289473684210526,1.2816156529569067
ABAT,plasmacytoid dendritic cell,spleen,normal,5,912,0.5482456140350876,1.4244475050629126
ABCA1,plasmacytoid dendritic cell,spleen,normal,4,912,0.4385964912280701,1.223577707818154
ABCA15P,plasmacytoid dendritic cell,spleen,normal,4,912,0.4385964912280701,1.4859943006826626
ABCA2,plasmacytoid dendritic cell,spleen,normal,11,912,1.2061403508771928,1.2993570175778413
ABCA5,plasmacytoid dendritic cell,spleen,normal,3,912,0.3289473684210526,1.3979477329729626
ABCA6,plasmacytoid dendritic cell,spleen,normal,3,912,0.3289473684210526,1.423246181320404
ABCA7,plasmacytoid dendritic cell,spleen,normal,48,912,5.263157894736842,1.5005331393822865
ABCA9,plasmacytoid dendritic cell,spleen,normal,2,912,0.219298245614035,1.5125416272627197
ABCA9-AS1,plasmacytoid dendritic cell,spleen,normal,15,912,1.644736842105263,1.4135773768247153
ABCB1,plasmacytoid dendritic cell,spleen,normal,2,912,0.219298245614035,1.228287083042558
ABCB10,plasmacytoid dendritic cell,spleen,normal,10,912,1.0964912280701753,1.2659965700999776
ABCB4,plasmacytoid dendritic cell,spleen,normal,1,912,0.1096491228070175,1.194201980372289
ABCB7,plasmacytoid dendritic cell,spleen,normal,5,912,0.5482456140350876,1.3830205386615635
ABCB8,plasmacytoid dendritic cell,spleen,normal,42,912,4.605263157894736,1.3772301626780628
ABCB9,plasmacytoid dendritic cell,spleen,normal,1,912,0.1096491228070175,1.4703675447499696
ABCC10,plasmacytoid dendritic cell,spleen,normal,9,912,0.986842105263158,1.228804261451137
ABCC2,plasmacytoid dendritic cell,spleen,normal,2,912,0.219298245614035,1.3845114831546304
ABCC5,plasmacytoid dendritic cell,spleen,normal,2,912,0.219298245614035,1.4213900583757495
ABCD1,plasmacytoid dendritic cell,spleen,normal,8,912,0.8771929824561403,1.3338195573554557
ABCD4,plasmacytoid dendritic cell,spleen,normal,53,912,5.81140350877193,1.4742326058942803
ABCE1,plasmacytoid dendritic cell,spleen,normal,124,912,13.596491228070176,1.397039598040826
ABCF1,plasmacytoid dendritic cell,spleen,normal,1,912,0.1096491228070175,1.13649137090211
ABCF2,plasmacytoid dendritic cell,spleen,normal,21,912,2.302631578947368,1.275290685123343
ABCF3,plasmacytoid dendritic cell,spleen,normal,13,912,1.425438596491228,1.2731857474759485
ABHD10,plasmacytoid dendritic cell,spleen,normal,19,912,2.083333333333333,1.3467020070964784
ABHD11,plasmacytoid dendritic cell,spleen,normal,10,912,1.0964912280701753,1.3609332170754245
ABHD12,plasmacytoid dendritic cell,spleen,normal,13,912,1.425438596491228,1.430095079572765
ABHD14A,plasmacytoid dendritic cell,spleen,normal,17,912,1.8640350877192984,1.3876149767382144
ABHD14B,plasmacytoid dendritic cell,spleen,normal,10,912,1.0964912280701753,1.2984201994332856
ABHD15,plasmacytoid dendritic cell,spleen,normal,6,912,0.6578947368421052,1.3152175797273131
ABHD15-AS1,plasmacytoid dendritic cell,spleen,normal,1,912,0.1096491228070175,2.8296266909809846
ABHD16A,plasmacytoid dendritic cell,spleen,normal,17,912,1.8640350877192984,1.2784251252886305
ABHD17A,plasmacytoid dendritic cell,spleen,normal,4,912,0.4385964912280701,1.2653605270713328
