gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
ABRACL,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.4357697975423955
ACP1,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.133125491534111
ACTB,pre-conventional dendritic cell,spleen,normal,7,7,100.0,3.8013352328686474
ACTG1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.7121738380007367
ACTR3,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.4219552171473313
ACY3,pre-conventional dendritic cell,spleen,normal,3,7,42.85714285714285,1.480640999964802
ADISSP,pre-conventional dendritic cell,spleen,normal,3,7,42.85714285714285,1.212762793717145
AGPAT2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.1308461274159771
AGR2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.10104167045009
AHSA1,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.337347258082224
AIF1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.71143951744013
AKR1B1,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.451052527000631
ALKBH7,pre-conventional dendritic cell,spleen,normal,3,7,42.85714285714285,1.3130252728484306
ANAPC11,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.644923741556933
ANP32A,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.5047747484335263
ANP32B,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.3392078189357237
ANXA1,pre-conventional dendritic cell,spleen,normal,3,7,42.85714285714285,1.6080543583210236
AP2S1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.8366422590181768
APEX1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.7648217621522937
APH1A,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.2080544744872193
APLP2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.2891090777646346
APPL1,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.7230756833143916
APRT,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.8563767294088167
ARF1,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.284187405341727
ARF3,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.2765601582828106
ARHGDIA,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.407166939211725
ARHGDIB,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.233722064475621
ARIH2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.1791224472888673
ARL6IP1,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.4529993576113895
ARL6IP4,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.2860709442348663
ARL6IP5,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.360214376554231
ARPC1B,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.6452162221341735
ARPC2,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.3760379643116445
ARPC3,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.70004446496606
ARPC4,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.4650915443382184
ARRB2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.1542668745227789
ATG3,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.6175006683458175
ATOX1,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.4703036750593137
ATP1B3,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.360780640554777
ATP5F1A,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.9352335953804367
ATP5F1B,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.013868162201108
ATP5F1C,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.690182833642049
ATP5F1D,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.7662509583358936
ATP5F1E,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.9010785948376956
ATP5IF1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.8588762139744928
ATP5MC1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.16842196118507
ATP5MC2,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.636241141862574
ATP5MC3,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.325276428265258
ATP5ME,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.8594175424335475
ATP5MF,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.5161951517299537
ATP5MG,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.475933040849648
ATP5MJ,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.259861916010613
ATP5MK,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.138915744015549
ATP5PB,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.5971416276383372
ATP5PD,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.5544868589067262
ATP5PF,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.1427512048066486
ATP5PO,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.13984432137369
ATP6V0B,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.4478362325371763
ATP6V0E1,pre-conventional dendritic cell,spleen,normal,3,7,42.85714285714285,1.2823574550054884
ATP6V1F,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.4363226670659486
ATP6V1G1,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.263198514829332
ATRAID,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.283742607852064
ATRX,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.1163463717348965
ATXN10,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.2502202584249738
AURKAIP1,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.5057139085449545
AURKB,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.3329439868823445
B2M,pre-conventional dendritic cell,spleen,normal,7,7,100.0,3.1819526212258973
BABAM1,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.109722110358407
BAG3,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.2268732336455053
BANF1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.744507561696374
BAX,pre-conventional dendritic cell,spleen,normal,3,7,42.85714285714285,1.2182626663280758
BAZ1A,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.1070243205263923
BBLN,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.3653655078102482
BEX3,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.446936678224241
BIN1,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.185766302385142
BIRC5,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.3340346921732515
BLOC1S1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.4261066039537382
BOLA2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.1114986466221588
BOLA2B,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.7370737191368832
BOLA3,pre-conventional dendritic cell,spleen,normal,3,7,42.85714285714285,1.2557080944995684
BOP1,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.147914147616684
BRK1,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.269713801841578
BST2,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.4463978234234758
BTF3,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.5569954837249185
BUB3,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.3192485976321329
BUD31,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.115235399965887
BZW1,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.2923884007673665
C11orf58,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.387840093059841
C12orf75,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.6605266448154603
C19orf53,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.79206595631733
C1QBP,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.191411754934562
C1orf162,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.4168275053517214
CA2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.170871275176082
CACYBP,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.740711828315084
CALM1,pre-conventional dendritic cell,spleen,normal,7,7,100.0,2.101811366014091
CALM2,pre-conventional dendritic cell,spleen,normal,7,7,100.0,1.9476830313425173
CALM3,pre-conventional dendritic cell,spleen,normal,4,7,57.14285714285714,1.319449752761136
CALR,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.8011885401304262
CAND1,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.7355998856604156
CAP1,pre-conventional dendritic cell,spleen,normal,6,7,85.71428571428571,1.3208358094999928
CAPG,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.380512178292299
CAPRIN1,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.2056372448471748
CAPZA1,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.4635665573310177
CAPZA2,pre-conventional dendritic cell,spleen,normal,1,7,14.285714285714285,1.152870563944948
CARHSP1,pre-conventional dendritic cell,spleen,normal,2,7,28.57142857142857,1.153599519547762
CBX3,pre-conventional dendritic cell,spleen,normal,5,7,71.42857142857143,1.2380061796332271
