gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,precursor B cell,spleen,normal,23,404,5.693069306930694,1.3673121279787317
A1BG-AS1,precursor B cell,spleen,normal,2,404,0.495049504950495,1.236054531460386
A2M,precursor B cell,spleen,normal,2,404,0.495049504950495,1.8265538510825383
AAAS,precursor B cell,spleen,normal,2,404,0.495049504950495,1.192382563202782
AACS,precursor B cell,spleen,normal,1,404,0.2475247524752475,1.1567874466468082
AAGAB,precursor B cell,spleen,normal,15,404,3.7128712871287126,1.4250120657572605
AAK1,precursor B cell,spleen,normal,11,404,2.722772277227723,1.2806437338147594
AAMDC,precursor B cell,spleen,normal,31,404,7.673267326732673,1.5744406944890823
AAMP,precursor B cell,spleen,normal,18,404,4.455445544554455,1.2524406697920991
AARSD1,precursor B cell,spleen,normal,14,404,3.4653465346534658,1.5808013077247345
AASDHPPT,precursor B cell,spleen,normal,35,404,8.663366336633663,1.3799843197530712
AATF,precursor B cell,spleen,normal,5,404,1.2376237623762376,1.1348693974103417
AATK,precursor B cell,spleen,normal,1,404,0.2475247524752475,1.3331067236054246
ABAT,precursor B cell,spleen,normal,3,404,0.7425742574257426,1.3302281869951722
ABCA1,precursor B cell,spleen,normal,21,404,5.198019801980198,1.3985643872123776
ABCA7,precursor B cell,spleen,normal,11,404,2.722772277227723,1.5048091409963682
ABCA9,precursor B cell,spleen,normal,1,404,0.2475247524752475,1.5535490537922745
ABCB1,precursor B cell,spleen,normal,6,404,1.4851485148514851,1.376623716668547
ABCB10,precursor B cell,spleen,normal,3,404,0.7425742574257426,1.3938207761963082
ABCB4,precursor B cell,spleen,normal,1,404,0.2475247524752475,1.1260885715176667
ABCB7,precursor B cell,spleen,normal,3,404,0.7425742574257426,1.3801007869241932
ABCB8,precursor B cell,spleen,normal,13,404,3.217821782178218,1.3687596970344806
ABCC10,precursor B cell,spleen,normal,4,404,0.99009900990099,1.3932638840871123
ABCC2,precursor B cell,spleen,normal,1,404,0.2475247524752475,1.511414436064541
ABCC3,precursor B cell,spleen,normal,2,404,0.495049504950495,1.5382063230285885
ABCD1,precursor B cell,spleen,normal,6,404,1.4851485148514851,1.3760029313072852
ABCD4,precursor B cell,spleen,normal,50,404,12.376237623762377,1.5210306784382852
