gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1391500934124394
A1BG-AS1,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1004758289645462
A2M,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.54840156671757
AAAS,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1429031827517668
AAGAB,pro-B cell,spleen,normal,6,482,1.2448132780082988,1.399280922155662
AAK1,pro-B cell,spleen,normal,11,482,2.282157676348548,1.2795996634898763
AAMDC,pro-B cell,spleen,normal,37,482,7.676348547717843,1.342292393137946
AAMP,pro-B cell,spleen,normal,3,482,0.6224066390041494,1.159388521819234
AARSD1,pro-B cell,spleen,normal,5,482,1.0373443983402488,1.4427945171405452
AASDHPPT,pro-B cell,spleen,normal,8,482,1.6597510373443984,1.312787539163474
AATF,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.127559370376038
ABCA7,pro-B cell,spleen,normal,3,482,0.6224066390041494,1.4319661609304688
ABCB1,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.146125222484314
ABCB10,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.3937510796709411
ABCB7,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.152850236327891
ABCB8,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.2373527548594456
ABCC10,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1223851701101817
ABCD1,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1727099029591028
ABCD4,pro-B cell,spleen,normal,16,482,3.319502074688797,1.3528980499442116
ABCE1,pro-B cell,spleen,normal,47,482,9.75103734439834,1.3223589304486325
ABCF2,pro-B cell,spleen,normal,3,482,0.6224066390041494,1.2386962113246676
ABCF3,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.2091339648849189
ABHD10,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.0990366867457884
ABHD11,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.2398221159306138
ABHD12,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.1331396278497992
ABHD14B,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.380635872034019
ABHD16A,pro-B cell,spleen,normal,3,482,0.6224066390041494,1.2507421678199897
ABHD17B,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.2793536403782466
ABHD2,pro-B cell,spleen,normal,6,482,1.2448132780082988,1.2648087051492267
ABHD3,pro-B cell,spleen,normal,50,482,10.37344398340249,1.3548011804613185
ABHD5,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.2867290954763642
ABHD8,pro-B cell,spleen,normal,7,482,1.4522821576763485,1.357764163113882
ABI2,pro-B cell,spleen,normal,10,482,2.0746887966804977,1.2710509415080289
ABITRAM,pro-B cell,spleen,normal,7,482,1.4522821576763485,1.4116024242455774
ABR,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.2032804375011008
ABRACL,pro-B cell,spleen,normal,379,482,78.63070539419087,1.6795993453446647
ABTB1,pro-B cell,spleen,normal,6,482,1.2448132780082988,1.2639803333408868
ACAA1,pro-B cell,spleen,normal,25,482,5.186721991701245,1.2477635827952087
ACAA2,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1760015967066506
ACACA,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.3649040517300353
ACAD10,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.2038051871012518
ACAD8,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.2100355768425772
ACADM,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.15002454040208
ACADSB,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.4291138834569916
ACADVL,pro-B cell,spleen,normal,49,482,10.16597510373444,1.3482947055496324
ACAP1,pro-B cell,spleen,normal,54,482,11.20331950207469,1.4356301091948211
ACAP2,pro-B cell,spleen,normal,53,482,10.99585062240664,1.3986126177044202
ACAT1,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.1720565158789549
ACAT2,pro-B cell,spleen,normal,13,482,2.6970954356846475,1.2772926790975478
ACD,pro-B cell,spleen,normal,5,482,1.0373443983402488,1.1493183226710977
ACIN1,pro-B cell,spleen,normal,52,482,10.78838174273859,1.3078444434685674
ACOT7,pro-B cell,spleen,normal,2,482,0.4149377593360996,1.1238560383218048
ACOT8,pro-B cell,spleen,normal,3,482,0.6224066390041494,1.2759264538441524
ACOX1,pro-B cell,spleen,normal,18,482,3.734439834024896,1.408848254137065
ACP1,pro-B cell,spleen,normal,253,482,52.4896265560166,1.4924796264466154
ACP5,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1095766301372416
ACRBP,pro-B cell,spleen,normal,3,482,0.6224066390041494,1.8010123707390673
ACSF2,pro-B cell,spleen,normal,8,482,1.6597510373443984,1.2736859359849886
ACSF3,pro-B cell,spleen,normal,9,482,1.867219917012448,1.2098643518039804
ACSS2,pro-B cell,spleen,normal,1,482,0.2074688796680498,1.1281784467389842
ACTB,pro-B cell,spleen,normal,482,482,100.0,3.5590857281897037
ACTG1,pro-B cell,spleen,normal,482,482,100.0,3.1237225263189203
ACTL6A,pro-B cell,spleen,normal,81,482,16.804979253112034,1.3514235510677923
