gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,professional antigen presenting cell,spleen,normal,4,85093,0.0047007391912378,1.250689909304273
5S_rRNA_ENSG00000285776,professional antigen presenting cell,spleen,normal,4,85093,0.0047007391912378,1.5110163345371797
7SK_ENSG00000202198,professional antigen presenting cell,spleen,normal,16,85093,0.0188029567649512,1.648773512437654
7SK_ENSG00000274303,professional antigen presenting cell,spleen,normal,1,85093,0.0011751847978094,1.894759427836881
A1BG,professional antigen presenting cell,spleen,normal,189,85093,0.2221099267859871,1.279664082866241
A1BG-AS1,professional antigen presenting cell,spleen,normal,69,85093,0.0810877510488524,1.30447025284244
A2M,professional antigen presenting cell,spleen,normal,9687,85093,11.384015136380196,1.9675234603344205
A2M-AS1,professional antigen presenting cell,spleen,normal,10,85093,0.0117518479780945,1.2667225670752802
A2ML1,professional antigen presenting cell,spleen,normal,31,85093,0.0364307287320931,1.424573332310585
A2ML1-AS1,professional antigen presenting cell,spleen,normal,40,85093,0.0470073919123782,1.533869238161825
A4GALT,professional antigen presenting cell,spleen,normal,7,85093,0.0082262935846661,1.31327311107132
AAAS,professional antigen presenting cell,spleen,normal,315,85093,0.3701832113099785,1.3531510306639662
AACS,professional antigen presenting cell,spleen,normal,53,85093,0.0622847942839011,1.3434721346355198
AADACL2-AS1,professional antigen presenting cell,spleen,normal,136,85093,0.1598251325020859,1.771109601344847
AADACP1_ENSG00000240602,professional antigen presenting cell,spleen,normal,1,85093,0.0011751847978094,1.1149115897629482
AADAT,professional antigen presenting cell,spleen,normal,2,85093,0.0023503695956189,1.1492734737482666
AAGAB,professional antigen presenting cell,spleen,normal,1279,85093,1.5030613563982935,1.3942660324302276
AAK1,professional antigen presenting cell,spleen,normal,2979,85093,3.500875512674368,1.435771392529659
AAMDC,professional antigen presenting cell,spleen,normal,2439,85093,2.866275721857262,1.4568734582366198
AAMP,professional antigen presenting cell,spleen,normal,1298,85093,1.5253898675566733,1.333319520085699
AANAT,professional antigen presenting cell,spleen,normal,10,85093,0.0117518479780945,1.3050844430449908
AAR2,professional antigen presenting cell,spleen,normal,64,85093,0.0752118270598051,1.341775236615812
AARD,professional antigen presenting cell,spleen,normal,1,85093,0.0011751847978094,1.2161624511843854
AARS1,professional antigen presenting cell,spleen,normal,60,85093,0.0705110878685673,1.236862516365412
AARS2,professional antigen presenting cell,spleen,normal,39,85093,0.0458322071145687,1.322610738056063
AARSD1,professional antigen presenting cell,spleen,normal,2778,85093,3.2646633683146677,1.467547737427443
AASDH,professional antigen presenting cell,spleen,normal,62,85093,0.0728614574641862,1.269494899349925
AASDHPPT,professional antigen presenting cell,spleen,normal,1689,85093,1.9848871235001704,1.3438065639934187
AASS,professional antigen presenting cell,spleen,normal,17,85093,0.0199781415627607,1.2587963354845575
AATBC,professional antigen presenting cell,spleen,normal,3,85093,0.0035255543934283,1.6488988784481429
AATF,professional antigen presenting cell,spleen,normal,445,85093,0.5229572350252077,1.308888662550332
AATK,professional antigen presenting cell,spleen,normal,365,85093,0.4289424512004512,1.3150127896476609
ABALON,professional antigen presenting cell,spleen,normal,12,85093,0.0141022175737134,1.2929427841721604
ABAT,professional antigen presenting cell,spleen,normal,336,85093,0.3948620920639771,1.380546217357642
ABCA1,professional antigen presenting cell,spleen,normal,8010,85093,9.413230230453738,1.6237763973893122
ABCA10,professional antigen presenting cell,spleen,normal,11,85093,0.012927032775904,1.6352147772801544
ABCA13,professional antigen presenting cell,spleen,normal,1,85093,0.0011751847978094,2.1202435227671788
ABCA15P,professional antigen presenting cell,spleen,normal,12,85093,0.0141022175737134,1.447443317369445
ABCA17P,professional antigen presenting cell,spleen,normal,13,85093,0.0152774023715229,1.383265507264818
ABCA2,professional antigen presenting cell,spleen,normal,134,85093,0.157474762906467,1.4262427336931989
ABCA3,professional antigen presenting cell,spleen,normal,6,85093,0.0070511087868567,1.4765641632408422
ABCA5,professional antigen presenting cell,spleen,normal,163,85093,0.1915551220429412,1.396761100767487
ABCA6,professional antigen presenting cell,spleen,normal,45,85093,0.0528833159014255,1.381068475300709
ABCA7,professional antigen presenting cell,spleen,normal,1880,85093,2.209347419881776,1.45437827719707
ABCA8,professional antigen presenting cell,spleen,normal,4,85093,0.0047007391912378,1.4703580114311756
ABCA9,professional antigen presenting cell,spleen,normal,10,85093,0.0117518479780945,1.421342279690093
ABCA9-AS1,professional antigen presenting cell,spleen,normal,19,85093,0.0223285111583796,1.3865220165837158
ABCB1,professional antigen presenting cell,spleen,normal,665,85093,0.781497890543288,1.5179844817437882
ABCB10,professional antigen presenting cell,spleen,normal,657,85093,0.7720964121608123,1.4150508340121766
ABCB4,professional antigen presenting cell,spleen,normal,321,85093,0.3772343200968352,1.364569632150191
ABCB5,professional antigen presenting cell,spleen,normal,2,85093,0.0023503695956189,1.371097498976064
ABCB6,professional antigen presenting cell,spleen,normal,126,85093,0.1480732845239913,1.489984580271701
ABCB7,professional antigen presenting cell,spleen,normal,319,85093,0.3748839505012163,1.3277979799543267
ABCB8,professional antigen presenting cell,spleen,normal,1566,85093,1.8403393933696075,1.4361145240740438
ABCB9,professional antigen presenting cell,spleen,normal,60,85093,0.0705110878685673,1.343094570107605
ABCC1,professional antigen presenting cell,spleen,normal,228,85093,0.2679421339005559,1.2908271000927856
ABCC10,professional antigen presenting cell,spleen,normal,748,85093,0.8790382287614729,1.4291907533143249
ABCC11,professional antigen presenting cell,spleen,normal,2,85093,0.0023503695956189,1.2414205650533023
ABCC2,professional antigen presenting cell,spleen,normal,23,85093,0.0270292503496174,1.402207627436967
ABCC3,professional antigen presenting cell,spleen,normal,1064,85093,1.2503966248692606,1.4046296051166585
ABCC4,professional antigen presenting cell,spleen,normal,43,85093,0.0505329463058065,1.3174463359528432
ABCC5,professional antigen presenting cell,spleen,normal,662,85093,0.7779723361498595,1.34183632453166
ABCC5-AS1,professional antigen presenting cell,spleen,normal,6,85093,0.0070511087868567,1.5369944465190415
ABCC6,professional antigen presenting cell,spleen,normal,3,85093,0.0035255543934283,1.5079295316114318
ABCD1,professional antigen presenting cell,spleen,normal,429,85093,0.5041542782602564,1.3435760670045669
ABCD3,professional antigen presenting cell,spleen,normal,25,85093,0.0293796199452363,1.2961428971458104
ABCD4,professional antigen presenting cell,spleen,normal,2070,85093,2.432632531465573,1.4109866163406193
ABCE1,professional antigen presenting cell,spleen,normal,7108,85093,8.35321354282961,1.421710792158965
ABCF1,professional antigen presenting cell,spleen,normal,230,85093,0.2702925034961748,1.3007022661690342
ABCF2,professional antigen presenting cell,spleen,normal,1392,85093,1.635857238550762,1.3949486945471536
ABCF3,professional antigen presenting cell,spleen,normal,2001,85093,2.3515447804167207,1.4221888116544767
ABCG1,professional antigen presenting cell,spleen,normal,202,85093,0.23738732915751,1.3284106673645584
