gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,progenitor cell,spleen,normal,15,21712,0.0690862196020633,1.6350775735910632
5S_rRNA_ENSG00000285912,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.5387149670684537
7SK_ENSG00000202198,progenitor cell,spleen,normal,68,21712,0.3131908621960206,1.4949353766925595
7SK_ENSG00000274303,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.26735301491618
A1BG,progenitor cell,spleen,normal,53,21712,0.2441046425939572,1.2931348555750712
A1BG-AS1,progenitor cell,spleen,normal,14,21712,0.0644804716285924,1.3184732592081492
A2M,progenitor cell,spleen,normal,121,21712,0.5572955047899779,1.5412174125428473
A2M-AS1,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.229692607882892
A2ML1,progenitor cell,spleen,normal,14,21712,0.0644804716285924,1.537504847820648
A2ML1-AS1,progenitor cell,spleen,normal,6,21712,0.0276344878408253,1.2990822711803496
A3GALT2,progenitor cell,spleen,normal,5,21712,0.0230287398673544,1.3250456403633804
AAAS,progenitor cell,spleen,normal,33,21712,0.1519896831245394,1.2421525975583303
AACS,progenitor cell,spleen,normal,13,21712,0.0598747236551215,1.2598098661123849
AACSP1_ENSG00000250420,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.1807655386771108
AADACL2-AS1,progenitor cell,spleen,normal,4,21712,0.0184229918938835,1.4264097106295284
AADAT,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.5725101373781576
AAGAB,progenitor cell,spleen,normal,564,21712,2.5976418570375825,1.3573149343143969
AAK1,progenitor cell,spleen,normal,3224,21712,14.848931466470155,1.4274107323700378
AAMDC,progenitor cell,spleen,normal,719,21712,3.311532792925572,1.4342304497940197
AAMP,progenitor cell,spleen,normal,242,21712,1.1145910095799558,1.3256695794855369
AANAT,progenitor cell,spleen,normal,2,21712,0.0092114959469417,1.2114980262583015
AAR2,progenitor cell,spleen,normal,9,21712,0.041451731761238,1.194946014543428
AARD,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.4395194100659452
AARS1,progenitor cell,spleen,normal,4,21712,0.0184229918938835,1.2768014895173692
AARS2,progenitor cell,spleen,normal,2,21712,0.0092114959469417,1.1538383024661347
AARSD1,progenitor cell,spleen,normal,200,21712,0.9211495946941785,1.38876186194597
AARSD1P1,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.3215275896787697
AASDH,progenitor cell,spleen,normal,5,21712,0.0230287398673544,1.205483708242858
AASDHPPT,progenitor cell,spleen,normal,267,21712,1.229734708916728,1.3392074710301491
AATBC,progenitor cell,spleen,normal,28,21712,0.1289609432571849,1.2846514772161195
AATF,progenitor cell,spleen,normal,144,21712,0.6632277081798084,1.2736542043123262
AATK,progenitor cell,spleen,normal,824,21712,3.795136330140015,1.412280326806712
ABALON,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.3937083075725831
ABAT,progenitor cell,spleen,normal,179,21712,0.8244288872512896,1.3163563917702013
ABCA1,progenitor cell,spleen,normal,2770,21712,12.75792188651437,1.7113303300210922
ABCA10,progenitor cell,spleen,normal,2,21712,0.0092114959469417,1.5492690790081838
ABCA13,progenitor cell,spleen,normal,4,21712,0.0184229918938835,1.39350485638057
ABCA15P,progenitor cell,spleen,normal,2,21712,0.0092114959469417,1.4080453999340057
ABCA17P,progenitor cell,spleen,normal,6,21712,0.0276344878408253,1.3285053332728356
ABCA2,progenitor cell,spleen,normal,26,21712,0.1197494473102431,1.396218876676952
ABCA5,progenitor cell,spleen,normal,19,21712,0.0875092114959469,1.2966251639752016
ABCA6,progenitor cell,spleen,normal,6,21712,0.0276344878408253,1.3212006821737068
ABCA7,progenitor cell,spleen,normal,821,21712,3.781319086219602,1.4519120837260424
ABCA9,progenitor cell,spleen,normal,1,21712,0.0046057479734708,1.3405527092089111
ABCA9-AS1,progenitor cell,spleen,normal,9,21712,0.041451731761238,1.7168951041646998
ABCB1,progenitor cell,spleen,normal,196,21712,0.9027266028002948,1.6043629844734884
ABCB10,progenitor cell,spleen,normal,234,21712,1.0777450257921886,1.3934185409596254
ABCB4,progenitor cell,spleen,normal,2,21712,0.0092114959469417,1.2927566347274857
