gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
AAK1,promonocyte,spleen,normal,4,233,1.7167381974248928,1.331958136617664
AAMDC,promonocyte,spleen,normal,6,233,2.575107296137339,1.584031036352523
ABCA7,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1968569141776555
ABCB10,promonocyte,spleen,normal,1,233,0.4291845493562232,1.58428460055255
ABCB8,promonocyte,spleen,normal,2,233,0.8583690987124464,1.5319753174339337
ABCC6,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1698368279917295
ABCD4,promonocyte,spleen,normal,1,233,0.4291845493562232,1.133238864201266
ABCE1,promonocyte,spleen,normal,1,233,0.4291845493562232,1.72351407384309
ABCF2,promonocyte,spleen,normal,1,233,0.4291845493562232,1.5537511478428838
ABCF3,promonocyte,spleen,normal,1,233,0.4291845493562232,1.7418450023046232
ABHD11,promonocyte,spleen,normal,1,233,0.4291845493562232,1.259674242272984
ABHD12,promonocyte,spleen,normal,2,233,0.8583690987124464,1.2202644770407742
ABHD14B,promonocyte,spleen,normal,1,233,0.4291845493562232,1.112187794826909
ABHD17A,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1379954955986318
ABHD17B,promonocyte,spleen,normal,1,233,0.4291845493562232,1.282252702214851
ABHD2,promonocyte,spleen,normal,8,233,3.433476394849785,1.3306886630415231
ABHD3,promonocyte,spleen,normal,2,233,0.8583690987124464,1.2132526139283548
ABHD5,promonocyte,spleen,normal,5,233,2.145922746781116,1.423362504977005
ABHD8,promonocyte,spleen,normal,1,233,0.4291845493562232,1.2158978545879449
ABI3,promonocyte,spleen,normal,4,233,1.7167381974248928,1.1770309839881383
ABITRAM,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1815031204925548
ABR,promonocyte,spleen,normal,2,233,0.8583690987124464,1.3807451847789054
ABRACL,promonocyte,spleen,normal,113,233,48.497854077253216,1.4841667900477529
ABTB1,promonocyte,spleen,normal,3,233,1.2875536480686696,1.350480575689384
ACAA1,promonocyte,spleen,normal,8,233,3.433476394849785,1.2931831577920436
ACAA2,promonocyte,spleen,normal,2,233,0.8583690987124464,1.1805329514956484
ACACA,promonocyte,spleen,normal,3,233,1.2875536480686696,1.206368716806265
ACADVL,promonocyte,spleen,normal,23,233,9.871244635193133,1.356108067770422
ACAP1,promonocyte,spleen,normal,19,233,8.15450643776824,1.4836763323057014
ACAP2,promonocyte,spleen,normal,34,233,14.592274678111588,1.4494707906828013
ACAP3,promonocyte,spleen,normal,3,233,1.2875536480686696,1.4827408696293414
ACAT1,promonocyte,spleen,normal,1,233,0.4291845493562232,1.223686894906349
ACD,promonocyte,spleen,normal,1,233,0.4291845493562232,1.174137457086459
ACIN1,promonocyte,spleen,normal,9,233,3.862660944206009,1.3267197284157508
ACOT7,promonocyte,spleen,normal,2,233,0.8583690987124464,1.1660467121542393
ACOT8,promonocyte,spleen,normal,1,233,0.4291845493562232,2.1493597912109434
ACOX1,promonocyte,spleen,normal,5,233,2.145922746781116,1.4108907975850122
ACOX2,promonocyte,spleen,normal,7,233,3.004291845493562,1.2561506830689166
ACP1,promonocyte,spleen,normal,51,233,21.888412017167383,1.344673472235823
ACP3,promonocyte,spleen,normal,6,233,2.575107296137339,1.3546101043836998
ACSF2,promonocyte,spleen,normal,1,233,0.4291845493562232,1.2826393027050724
ACSF3,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1826936330425513
ACSM3,promonocyte,spleen,normal,2,233,0.8583690987124464,1.8902974130002024
ACSS2,promonocyte,spleen,normal,7,233,3.004291845493562,1.5542352793598635
ACTB,promonocyte,spleen,normal,233,233,100.0,4.114214705364927
ACTG1,promonocyte,spleen,normal,231,233,99.14163090128756,2.5659976337865755
ACTL6A,promonocyte,spleen,normal,3,233,1.2875536480686696,1.5543128800318449
ACTN4,promonocyte,spleen,normal,3,233,1.2875536480686696,1.421026575252576
ACTR10,promonocyte,spleen,normal,10,233,4.291845493562231,1.350569720616284
ACTR1A,promonocyte,spleen,normal,6,233,2.575107296137339,1.2613808654784744
ACTR1B,promonocyte,spleen,normal,1,233,0.4291845493562232,1.517870424397325
ACTR2,promonocyte,spleen,normal,66,233,28.32618025751073,1.3659293427127583
ACTR3,promonocyte,spleen,normal,115,233,49.35622317596567,1.483032557943587
ACTR3C,promonocyte,spleen,normal,1,233,0.4291845493562232,1.4890858053339464
ACTR6,promonocyte,spleen,normal,3,233,1.2875536480686696,1.439804093530051
ACTR8,promonocyte,spleen,normal,1,233,0.4291845493562232,1.3822541718272712
ACY3,promonocyte,spleen,normal,2,233,0.8583690987124464,1.254379782353464
ACYP1,promonocyte,spleen,normal,8,233,3.433476394849785,1.398869419563728
ACYP2,promonocyte,spleen,normal,1,233,0.4291845493562232,1.302734565308936
ADA,promonocyte,spleen,normal,1,233,0.4291845493562232,1.3156423980001726
ADAM10,promonocyte,spleen,normal,9,233,3.862660944206009,1.2637533597507162
ADAM15,promonocyte,spleen,normal,4,233,1.7167381974248928,1.3599639030120951
ADAM28,promonocyte,spleen,normal,1,233,0.4291845493562232,1.2188260151637629
ADAM8,promonocyte,spleen,normal,6,233,2.575107296137339,1.427120558094221
ADAP1,promonocyte,spleen,normal,5,233,2.145922746781116,1.169893996656715
ADAP2,promonocyte,spleen,normal,3,233,1.2875536480686696,1.3131586801554602
ADAT1,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1256480533431126
ADCY7,promonocyte,spleen,normal,2,233,0.8583690987124464,1.2413100693579835
ADD1,promonocyte,spleen,normal,2,233,0.8583690987124464,1.27243979910765
ADD3,promonocyte,spleen,normal,16,233,6.866952789699571,1.4324425730120782
ADGRE5,promonocyte,spleen,normal,35,233,15.021459227467812,1.4946233608824089
ADGRG3,promonocyte,spleen,normal,3,233,1.2875536480686696,1.295603325786728
ADH5,promonocyte,spleen,normal,9,233,3.862660944206009,1.3310400435903285
ADIPOR1,promonocyte,spleen,normal,6,233,2.575107296137339,1.2491660272249463
ADIPOR2,promonocyte,spleen,normal,12,233,5.150214592274678,1.4714786211437705
ADISSP,promonocyte,spleen,normal,45,233,19.313304721030043,1.387552180943892
ADM,promonocyte,spleen,normal,7,233,3.004291845493562,1.3166971934040623
ADNP2,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1929608958301396
ADPGK,promonocyte,spleen,normal,5,233,2.145922746781116,1.3217748732539394
ADPRH,promonocyte,spleen,normal,1,233,0.4291845493562232,1.2218699719851671
ADRM1,promonocyte,spleen,normal,7,233,3.004291845493562,1.2718076197933026
ADSS2,promonocyte,spleen,normal,7,233,3.004291845493562,1.302817364273822
AFAP1,promonocyte,spleen,normal,1,233,0.4291845493562232,1.1491177909759458
AFF1,promonocyte,spleen,normal,2,233,0.8583690987124464,1.1375284873007625
AFF3,promonocyte,spleen,normal,2,233,0.8583690987124464,1.2464398422135656
AFF4,promonocyte,spleen,normal,8,233,3.433476394849785,1.4215148153827246
AFMID,promonocyte,spleen,normal,2,233,0.8583690987124464,1.301688206183873
