gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A2M,promyelocyte,spleen,normal,8,118,6.779661016949152,1.8040340243011237
AAK1,promyelocyte,spleen,normal,2,118,1.694915254237288,1.2989977897070213
AAMDC,promyelocyte,spleen,normal,6,118,5.084745762711865,1.4597929006908963
AAMP,promyelocyte,spleen,normal,2,118,1.694915254237288,1.2096769273717365
AARSD1,promyelocyte,spleen,normal,1,118,0.847457627118644,1.1961872632711743
AASDHPPT,promyelocyte,spleen,normal,1,118,0.847457627118644,1.3833227135435509
AATF,promyelocyte,spleen,normal,2,118,1.694915254237288,1.1242552836590725
ABCA6,promyelocyte,spleen,normal,1,118,0.847457627118644,1.4407409561656046
ABCA7,promyelocyte,spleen,normal,3,118,2.5423728813559325,1.3846900156764876
ABCB10,promyelocyte,spleen,normal,2,118,1.694915254237288,1.363197476808616
ABCB8,promyelocyte,spleen,normal,2,118,1.694915254237288,1.262264024677592
ABCC3,promyelocyte,spleen,normal,6,118,5.084745762711865,1.5613563445795584
ABCD4,promyelocyte,spleen,normal,1,118,0.847457627118644,1.3584420629055654
ABCE1,promyelocyte,spleen,normal,3,118,2.5423728813559325,1.3204104615140155
ABCF2,promyelocyte,spleen,normal,1,118,0.847457627118644,1.4803967809440728
ABCF3,promyelocyte,spleen,normal,2,118,1.694915254237288,1.471789938194469
ABHD10,promyelocyte,spleen,normal,2,118,1.694915254237288,1.519291703665219
ABHD16A,promyelocyte,spleen,normal,3,118,2.5423728813559325,1.3846399930167923
ABHD17A,promyelocyte,spleen,normal,1,118,0.847457627118644,1.1694286924921893
ABHD2,promyelocyte,spleen,normal,4,118,3.389830508474576,1.3513483604589331
ABHD3,promyelocyte,spleen,normal,3,118,2.5423728813559325,1.2417499821181643
ABHD4,promyelocyte,spleen,normal,6,118,5.084745762711865,1.3688676426243205
ABHD5,promyelocyte,spleen,normal,5,118,4.23728813559322,1.648413887459458
ABHD6,promyelocyte,spleen,normal,1,118,0.847457627118644,1.4656119475564358
ABI2,promyelocyte,spleen,normal,1,118,0.847457627118644,1.4839011959084834
ABI3,promyelocyte,spleen,normal,2,118,1.694915254237288,1.1385795614161514
ABITRAM,promyelocyte,spleen,normal,2,118,1.694915254237288,1.634269628017703
ABR,promyelocyte,spleen,normal,4,118,3.389830508474576,1.3700344243411389
ABRACL,promyelocyte,spleen,normal,60,118,50.84745762711864,1.703443232973226
ABRAXAS1,promyelocyte,spleen,normal,1,118,0.847457627118644,1.2220326504304209
ABTB1,promyelocyte,spleen,normal,3,118,2.5423728813559325,1.40300115397383
ACAA1,promyelocyte,spleen,normal,4,118,3.389830508474576,1.3954649288949783
ACACA,promyelocyte,spleen,normal,1,118,0.847457627118644,1.3847728838472766
ACAD8,promyelocyte,spleen,normal,3,118,2.5423728813559325,1.745038405591446
ACADM,promyelocyte,spleen,normal,1,118,0.847457627118644,1.1659988821043068
ACADVL,promyelocyte,spleen,normal,11,118,9.322033898305085,1.5564390980975202
ACAP1,promyelocyte,spleen,normal,6,118,5.084745762711865,1.340738854286238
ACAP2,promyelocyte,spleen,normal,12,118,10.16949152542373,1.43541018225468
ACAT2,promyelocyte,spleen,normal,2,118,1.694915254237288,1.456977184954075
