gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
5S_rRNA_ENSG00000277411,regulatory T cell,spleen,normal,2,4159,0.0480884828083673,1.872088619891048
7SK_ENSG00000202198,regulatory T cell,spleen,normal,5,4159,0.1202212070209184,1.3786175581142313
A1BG,regulatory T cell,spleen,normal,22,4159,0.5289733108920414,1.2669340330848788
A1BG-AS1,regulatory T cell,spleen,normal,9,4159,0.2163981726376533,1.399104861737557
A2M,regulatory T cell,spleen,normal,6,4159,0.1442654484251022,1.4533556541671002
A2M-AS1,regulatory T cell,spleen,normal,1,4159,0.0240442414041836,1.255827769136558
A2ML1,regulatory T cell,spleen,normal,1,4159,0.0240442414041836,1.5159783343299684
A2ML1-AS1,regulatory T cell,spleen,normal,3,4159,0.0721327242125511,1.5416502785755093
AAAS,regulatory T cell,spleen,normal,30,4159,0.7213272421255109,1.3391308423310049
AACS,regulatory T cell,spleen,normal,5,4159,0.1202212070209184,1.388399857493487
AADACL2-AS1,regulatory T cell,spleen,normal,1,4159,0.0240442414041836,1.1964982012991368
AAGAB,regulatory T cell,spleen,normal,184,4159,4.4241404183698005,1.3789173928064056
AAK1,regulatory T cell,spleen,normal,1403,4159,33.73407069006973,1.620433781733264
AAMDC,regulatory T cell,spleen,normal,141,4159,3.390238037989901,1.5642606194025268
AAMP,regulatory T cell,spleen,normal,133,4159,3.1978841067564314,1.3230151907348124
AAR2,regulatory T cell,spleen,normal,8,4159,0.1923539312334695,1.3121542989135362
AARS1,regulatory T cell,spleen,normal,10,4159,0.2404424140418369,1.2377835571173812
AARS2,regulatory T cell,spleen,normal,4,4159,0.0961769656167347,1.1598589766525924
AARSD1,regulatory T cell,spleen,normal,179,4159,4.303919211348882,1.4804467140407347
AASDH,regulatory T cell,spleen,normal,6,4159,0.1442654484251022,1.3963395597189103
AASDHPPT,regulatory T cell,spleen,normal,168,4159,4.039432555902861,1.35627847709433
AATF,regulatory T cell,spleen,normal,77,4159,1.8514065881221449,1.2939241895215814
AATK,regulatory T cell,spleen,normal,4,4159,0.0961769656167347,1.428068501678586
