gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,small pre-B-II cell,spleen,normal,12,198,6.0606060606060606,1.4880846870675195
A1BG-AS1,small pre-B-II cell,spleen,normal,2,198,1.0101010101010102,1.236054531460386
A2M,small pre-B-II cell,spleen,normal,1,198,0.5050505050505051,1.59629113636661
AAAS,small pre-B-II cell,spleen,normal,2,198,1.0101010101010102,1.192382563202782
AACS,small pre-B-II cell,spleen,normal,1,198,0.5050505050505051,1.1567874466468082
AAGAB,small pre-B-II cell,spleen,normal,12,198,6.0606060606060606,1.4131239911460256
AAK1,small pre-B-II cell,spleen,normal,7,198,3.535353535353535,1.285283432281363
AAMDC,small pre-B-II cell,spleen,normal,5,198,2.525252525252525,1.566949720656898
AAMP,small pre-B-II cell,spleen,normal,9,198,4.545454545454546,1.2537091875217472
AARSD1,small pre-B-II cell,spleen,normal,8,198,4.040404040404041,1.6168546559801855
AASDHPPT,small pre-B-II cell,spleen,normal,22,198,11.11111111111111,1.386788215985176
AATF,small pre-B-II cell,spleen,normal,3,198,1.5151515151515151,1.1375021478278329
AATK,small pre-B-II cell,spleen,normal,1,198,0.5050505050505051,1.3331067236054246
ABAT,small pre-B-II cell,spleen,normal,2,198,1.0101010101010102,1.4252497899850511
ABCA1,small pre-B-II cell,spleen,normal,11,198,5.555555555555555,1.4280421773064111
ABCA7,small pre-B-II cell,spleen,normal,8,198,4.040404040404041,1.583904362533645
ABCB1,small pre-B-II cell,spleen,normal,6,198,3.0303030303030303,1.376623716668547
ABCB10,small pre-B-II cell,spleen,normal,2,198,1.0101010101010102,1.5208615829949892
ABCB4,small pre-B-II cell,spleen,normal,1,198,0.5050505050505051,1.1260885715176667
ABCB7,small pre-B-II cell,spleen,normal,2,198,1.0101010101010102,1.5091375331541292
ABCB8,small pre-B-II cell,spleen,normal,9,198,4.545454545454546,1.3478414746178895
ABCC10,small pre-B-II cell,spleen,normal,3,198,1.5151515151515151,1.46465280714404
ABCC2,small pre-B-II cell,spleen,normal,1,198,0.5050505050505051,1.511414436064541
ABCC3,small pre-B-II cell,spleen,normal,2,198,1.0101010101010102,1.5382063230285885
ABCD1,small pre-B-II cell,spleen,normal,6,198,3.0303030303030303,1.3760029313072852
ABCD4,small pre-B-II cell,spleen,normal,24,198,12.12121212121212,1.4957946283142158
ABCE1,small pre-B-II cell,spleen,normal,34,198,17.17171717171717,1.628876339487164
