gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.377199335172732
A1BG-AS1,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.1762402616175434
A2M,smooth muscle cell,spleen,normal,333,808,41.21287128712871,1.695829194539049
A4GALT,smooth muscle cell,spleen,normal,3,808,0.3712871287128713,1.192885389125103
AAAS,smooth muscle cell,spleen,normal,6,808,0.7425742574257426,1.2469993987322805
AACS,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.1317064006897473
AADAT,smooth muscle cell,spleen,normal,3,808,0.3712871287128713,1.256267975662149
AAGAB,smooth muscle cell,spleen,normal,4,808,0.495049504950495,1.2725173257386386
AAK1,smooth muscle cell,spleen,normal,100,808,12.376237623762377,1.4078690003399936
AAMDC,smooth muscle cell,spleen,normal,181,808,22.400990099009903,1.4529628927073464
AAMP,smooth muscle cell,spleen,normal,33,808,4.084158415841585,1.2796888844869023
AARSD1,smooth muscle cell,spleen,normal,34,808,4.207920792079208,1.378550943599384
AASDH,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.219121462659598
AASDHPPT,smooth muscle cell,spleen,normal,48,808,5.9405940594059405,1.2665370405053624
AATF,smooth muscle cell,spleen,normal,4,808,0.495049504950495,1.1534068765862742
AATK,smooth muscle cell,spleen,normal,5,808,0.6188118811881188,1.361284092736969
ABCA1,smooth muscle cell,spleen,normal,5,808,0.6188118811881188,1.3417939816351436
ABCA2,smooth muscle cell,spleen,normal,7,808,0.8663366336633664,1.3221775702816194
ABCA7,smooth muscle cell,spleen,normal,2,808,0.2475247524752475,1.8815706399892829
ABCA8,smooth muscle cell,spleen,normal,3,808,0.3712871287128713,1.1621489461613648
ABCB10,smooth muscle cell,spleen,normal,5,808,0.6188118811881188,1.424018784117079
ABCB6,smooth muscle cell,spleen,normal,3,808,0.3712871287128713,1.52147233461633
ABCB7,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.1108157268668242
ABCB8,smooth muscle cell,spleen,normal,18,808,2.2277227722772275,1.4657854926747165
ABCB9,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.356990514734023
ABCC10,smooth muscle cell,spleen,normal,7,808,0.8663366336633664,1.3756264766013724
ABCC2,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.2235033219116105
ABCC5,smooth muscle cell,spleen,normal,3,808,0.3712871287128713,1.2722375390218017
ABCC8,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.109310653622726
ABCC9,smooth muscle cell,spleen,normal,3,808,0.3712871287128713,1.1524704991205963
ABCD1,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.209731883147125
ABCD4,smooth muscle cell,spleen,normal,33,808,4.084158415841585,1.3418167555875162
ABCE1,smooth muscle cell,spleen,normal,105,808,12.995049504950495,1.4213880880683605
ABCF2,smooth muscle cell,spleen,normal,7,808,0.8663366336633664,1.2358194266405231
ABCF3,smooth muscle cell,spleen,normal,26,808,3.217821782178218,1.4543374369352018
ABHD1,smooth muscle cell,spleen,normal,1,808,0.1237623762376237,1.5776805793623312
ABHD10,smooth muscle cell,spleen,normal,25,808,3.094059405940594,1.268594439281202
ABHD11,smooth muscle cell,spleen,normal,12,808,1.4851485148514851,1.3045869343947296
ABHD12,smooth muscle cell,spleen,normal,15,808,1.8564356435643563,1.340012565394775
ABHD14A,smooth muscle cell,spleen,normal,9,808,1.1138613861386135,1.301944507204252
ABHD14B,smooth muscle cell,spleen,normal,9,808,1.1138613861386135,1.321183539198887
ABHD16A,smooth muscle cell,spleen,normal,26,808,3.217821782178218,1.2839991477642836
ABHD17A,smooth muscle cell,spleen,normal,3,808,0.3712871287128713,1.3406136676229563
ABHD17B,smooth muscle cell,spleen,normal,2,808,0.2475247524752475,1.1795452591957796
ABHD2,smooth muscle cell,spleen,normal,72,808,8.91089108910891,1.4032723192624788
ABHD3,smooth muscle cell,spleen,normal,5,808,0.6188118811881188,1.2962374516141673
