gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
ABCA8,stromal cell,spleen,normal,1,3,33.33333333333333,1.3017262785993466
ABCC3,stromal cell,spleen,normal,1,3,33.33333333333333,1.70414191491589
ABCD4,stromal cell,spleen,normal,1,3,33.33333333333333,1.114714627789158
ACTA2,stromal cell,spleen,normal,3,3,100.0,1.9579254448687389
ACTB,stromal cell,spleen,normal,3,3,100.0,2.980829821686006
ACTG1,stromal cell,spleen,normal,3,3,100.0,2.5378946821852804
ACTN4,stromal cell,spleen,normal,1,3,33.33333333333333,1.2288223831375866
ACTR10,stromal cell,spleen,normal,1,3,33.33333333333333,1.5733071335295958
ADAM12,stromal cell,spleen,normal,1,3,33.33333333333333,1.5882279168327809
ADAMTS4,stromal cell,spleen,normal,1,3,33.33333333333333,1.1414262201370944
ADAT1,stromal cell,spleen,normal,1,3,33.33333333333333,1.1104382072296284
ADRA1B,stromal cell,spleen,normal,1,3,33.33333333333333,1.155627252648963
AFF3,stromal cell,spleen,normal,1,3,33.33333333333333,1.593554061365555
AFF4,stromal cell,spleen,normal,1,3,33.33333333333333,1.2824315662051722
AFMID,stromal cell,spleen,normal,1,3,33.33333333333333,1.1058187192877125
AHDC1,stromal cell,spleen,normal,1,3,33.33333333333333,1.1795824540429256
AHNAK,stromal cell,spleen,normal,1,3,33.33333333333333,1.5347680975567903
AK6,stromal cell,spleen,normal,1,3,33.33333333333333,1.7436393586595504
AKAP13,stromal cell,spleen,normal,1,3,33.33333333333333,1.2503063028303134
AKR1A1,stromal cell,spleen,normal,1,3,33.33333333333333,1.1221810097267235
AKR7A2,stromal cell,spleen,normal,1,3,33.33333333333333,1.2128433735929722
AKT2,stromal cell,spleen,normal,2,3,66.66666666666666,1.7941109402753046
ALKBH7,stromal cell,spleen,normal,2,3,66.66666666666666,1.4559820393210363
ANAPC11,stromal cell,spleen,normal,2,3,66.66666666666666,1.779783240883703
ANK3,stromal cell,spleen,normal,1,3,33.33333333333333,1.415905031645208
ANKRD10,stromal cell,spleen,normal,1,3,33.33333333333333,1.4631765058654906
ANKRD29,stromal cell,spleen,normal,1,3,33.33333333333333,1.4484781648215388
ANP32A,stromal cell,spleen,normal,1,3,33.33333333333333,1.1966550457133034
ANP32B,stromal cell,spleen,normal,1,3,33.33333333333333,1.2335475481569165
ANXA5,stromal cell,spleen,normal,2,3,66.66666666666666,1.4683218674925416
AP2S1,stromal cell,spleen,normal,2,3,66.66666666666666,1.375290584902978
AP3S1,stromal cell,spleen,normal,1,3,33.33333333333333,1.2578008601344723
APBB2,stromal cell,spleen,normal,1,3,33.33333333333333,1.6195982062368923
APEX1,stromal cell,spleen,normal,1,3,33.33333333333333,1.642664098114382
APLP2,stromal cell,spleen,normal,1,3,33.33333333333333,1.1046704441906208
APOC1,stromal cell,spleen,normal,1,3,33.33333333333333,1.7188874006084365
APOE,stromal cell,spleen,normal,1,3,33.33333333333333,2.77135145654727
APPL1,stromal cell,spleen,normal,1,3,33.33333333333333,1.4375148713608243
APRT,stromal cell,spleen,normal,2,3,66.66666666666666,1.7744757865623355
ARAF,stromal cell,spleen,normal,1,3,33.33333333333333,1.2775473134190003
ARF1,stromal cell,spleen,normal,2,3,66.66666666666666,1.441784780910594
ARF4,stromal cell,spleen,normal,3,3,100.0,1.461341737442719
ARF5,stromal cell,spleen,normal,1,3,33.33333333333333,1.1198919371311695
ARGLU1,stromal cell,spleen,normal,1,3,33.33333333333333,1.173801366666445
ARHGAP15,stromal cell,spleen,normal,2,3,66.66666666666666,1.7148825678176227
ARHGAP18,stromal cell,spleen,normal,1,3,33.33333333333333,1.2579955794311617
ARHGAP42,stromal cell,spleen,normal,1,3,33.33333333333333,1.5334662121149367
ARID5B,stromal cell,spleen,normal,1,3,33.33333333333333,1.173141348866643
ARIH2,stromal cell,spleen,normal,1,3,33.33333333333333,1.120989149065977
ARL1,stromal cell,spleen,normal,1,3,33.33333333333333,1.396992164019307
ARL10,stromal cell,spleen,normal,1,3,33.33333333333333,1.4209814670709835
ARL6IP1,stromal cell,spleen,normal,1,3,33.33333333333333,1.6527961312781432
ARL6IP5,stromal cell,spleen,normal,2,3,66.66666666666666,1.6559276416495263
ARPC2,stromal cell,spleen,normal,1,3,33.33333333333333,1.242911654123802
ARPC3,stromal cell,spleen,normal,3,3,100.0,2.1424487101144294
ARPC5,stromal cell,spleen,normal,2,3,66.66666666666666,1.2337575013826452
ARPP19,stromal cell,spleen,normal,1,3,33.33333333333333,1.4199627965888235
ARRDC3,stromal cell,spleen,normal,1,3,33.33333333333333,1.694901710404027
ASCC2,stromal cell,spleen,normal,1,3,33.33333333333333,1.1293496531555247
ATF3,stromal cell,spleen,normal,2,3,66.66666666666666,2.167368093706767
ATF4,stromal cell,spleen,normal,2,3,66.66666666666666,1.4334885359532592
ATF7IP,stromal cell,spleen,normal,1,3,33.33333333333333,1.3589949982704856
ATOX1,stromal cell,spleen,normal,2,3,66.66666666666666,1.6285821324463623
ATP1B1,stromal cell,spleen,normal,1,3,33.33333333333333,1.2920880130522905
ATP2B1,stromal cell,spleen,normal,1,3,33.33333333333333,1.2757576704784297
ATP5F1A,stromal cell,spleen,normal,1,3,33.33333333333333,1.3843847487816323
ATP5F1B,stromal cell,spleen,normal,3,3,100.0,1.6936448581757866
ATP5F1C,stromal cell,spleen,normal,2,3,66.66666666666666,1.4636401099551066
ATP5F1E,stromal cell,spleen,normal,3,3,100.0,1.4627750440328835
ATP5IF1,stromal cell,spleen,normal,2,3,66.66666666666666,1.2458345460354887
ATP5MC1,stromal cell,spleen,normal,2,3,66.66666666666666,1.3775822119887942
ATP5MC2,stromal cell,spleen,normal,3,3,100.0,2.075615835896166
ATP5MC3,stromal cell,spleen,normal,3,3,100.0,1.6999229965209963
ATP5ME,stromal cell,spleen,normal,3,3,100.0,2.432112098663864
ATP5MF,stromal cell,spleen,normal,3,3,100.0,1.6617881119661415
ATP5MG,stromal cell,spleen,normal,3,3,100.0,1.5347654440664622
ATP5MJ,stromal cell,spleen,normal,2,3,66.66666666666666,1.8628489706431064
ATP5MK,stromal cell,spleen,normal,2,3,66.66666666666666,1.960254396796511
ATP5PB,stromal cell,spleen,normal,1,3,33.33333333333333,1.139175078762412
ATP5PD,stromal cell,spleen,normal,1,3,33.33333333333333,1.9104689369348595
ATP5PF,stromal cell,spleen,normal,1,3,33.33333333333333,1.897983712536587
ATP5PO,stromal cell,spleen,normal,2,3,66.66666666666666,1.602489260869765
ATP6V0E1,stromal cell,spleen,normal,2,3,66.66666666666666,1.4591057073824385
ATP6V1B2,stromal cell,spleen,normal,1,3,33.33333333333333,1.216284881242176
