gene_symbol,cell_type,organ,disease,cell_expressed_count,total_num_of_cells,pct_of_expressed,average_expression_of_expressed
A1BG,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.377199335172732
A1BG-AS1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1762402616175434
A2M,vascular associated smooth muscle cell,spleen,normal,327,796,41.08040201005025,1.703740555934992
A4GALT,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.192885389125103
AAAS,vascular associated smooth muscle cell,spleen,normal,6,796,0.7537688442211055,1.2469993987322805
AACS,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1317064006897473
AADAT,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.256267975662149
AAGAB,vascular associated smooth muscle cell,spleen,normal,4,796,0.5025125628140703,1.2725173257386386
AAK1,vascular associated smooth muscle cell,spleen,normal,99,796,12.43718592964824,1.4105058236258676
AAMDC,vascular associated smooth muscle cell,spleen,normal,177,796,22.23618090452261,1.4585697118680672
AAMP,vascular associated smooth muscle cell,spleen,normal,33,796,4.1457286432160805,1.2796888844869023
AARSD1,vascular associated smooth muscle cell,spleen,normal,34,796,4.271356783919598,1.378550943599384
AASDH,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.219121462659598
AASDHPPT,vascular associated smooth muscle cell,spleen,normal,48,796,6.030150753768844,1.2665370405053624
AATF,vascular associated smooth muscle cell,spleen,normal,4,796,0.5025125628140703,1.1534068765862742
AATK,vascular associated smooth muscle cell,spleen,normal,5,796,0.628140703517588,1.361284092736969
ABCA1,vascular associated smooth muscle cell,spleen,normal,5,796,0.628140703517588,1.3417939816351436
ABCA2,vascular associated smooth muscle cell,spleen,normal,7,796,0.8793969849246231,1.3221775702816194
ABCA7,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.8815706399892829
ABCA8,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.1621489461613648
ABCB10,vascular associated smooth muscle cell,spleen,normal,5,796,0.628140703517588,1.424018784117079
ABCB6,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.52147233461633
ABCB7,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1108157268668242
ABCB8,vascular associated smooth muscle cell,spleen,normal,18,796,2.261306532663317,1.4657854926747165
ABCB9,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.356990514734023
ABCC10,vascular associated smooth muscle cell,spleen,normal,7,796,0.8793969849246231,1.3756264766013724
ABCC2,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.2235033219116105
ABCC5,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.2722375390218017
ABCC8,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.109310653622726
ABCC9,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.1524704991205963
ABCD1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.209731883147125
ABCD4,vascular associated smooth muscle cell,spleen,normal,33,796,4.1457286432160805,1.3418167555875162
ABCE1,vascular associated smooth muscle cell,spleen,normal,105,796,13.190954773869343,1.4213880880683605
ABCF2,vascular associated smooth muscle cell,spleen,normal,7,796,0.8793969849246231,1.2358194266405231
ABCF3,vascular associated smooth muscle cell,spleen,normal,26,796,3.266331658291457,1.4543374369352018
ABHD1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.5776805793623312
ABHD10,vascular associated smooth muscle cell,spleen,normal,25,796,3.1407035175879394,1.268594439281202
ABHD11,vascular associated smooth muscle cell,spleen,normal,12,796,1.507537688442211,1.3045869343947296
ABHD12,vascular associated smooth muscle cell,spleen,normal,15,796,1.884422110552764,1.340012565394775
ABHD14A,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.301944507204252
ABHD14B,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.321183539198887
ABHD16A,vascular associated smooth muscle cell,spleen,normal,26,796,3.266331658291457,1.2839991477642836
ABHD17A,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.3406136676229563
ABHD17B,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.1795452591957796
ABHD2,vascular associated smooth muscle cell,spleen,normal,71,796,8.919597989949748,1.407279091027555
ABHD3,vascular associated smooth muscle cell,spleen,normal,5,796,0.628140703517588,1.2962374516141673
ABHD4,vascular associated smooth muscle cell,spleen,normal,37,796,4.648241206030151,1.3332364997548976
ABHD5,vascular associated smooth muscle cell,spleen,normal,19,796,2.386934673366834,1.3299706390213757
ABHD6,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.3926530790098903
ABHD8,vascular associated smooth muscle cell,spleen,normal,10,796,1.256281407035176,1.368475297812071
ABI2,vascular associated smooth muscle cell,spleen,normal,153,796,19.22110552763819,1.4401935916854771
ABI3BP,vascular associated smooth muscle cell,spleen,normal,16,796,2.010050251256281,1.545766871728214
ABITRAM,vascular associated smooth muscle cell,spleen,normal,60,796,7.537688442211055,1.4497768046323474
ABL2,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.4969244194432898
ABR,vascular associated smooth muscle cell,spleen,normal,69,796,8.668341708542714,1.4418344329633863
ABRACL,vascular associated smooth muscle cell,spleen,normal,153,796,19.22110552763819,1.52463267424949
ABRAXAS1,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.1936351117655146
ABT1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1782006927028918
ABTB1,vascular associated smooth muscle cell,spleen,normal,74,796,9.296482412060302,1.364507690366186
ACAA1,vascular associated smooth muscle cell,spleen,normal,37,796,4.648241206030151,1.2978203737343113
ACAA2,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1147523907586407
ACACA,vascular associated smooth muscle cell,spleen,normal,12,796,1.507537688442211,1.406239522709045
ACACB,vascular associated smooth muscle cell,spleen,normal,7,796,0.8793969849246231,1.427715020940653
ACAD10,vascular associated smooth muscle cell,spleen,normal,11,796,1.3819095477386936,1.379071299776779
ACAD8,vascular associated smooth muscle cell,spleen,normal,8,796,1.0050251256281406,1.219281782872975
ACADM,vascular associated smooth muscle cell,spleen,normal,4,796,0.5025125628140703,1.293101778618709
ACADS,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.1478102967201438
ACADSB,vascular associated smooth muscle cell,spleen,normal,4,796,0.5025125628140703,1.2906467908248205
ACADVL,vascular associated smooth muscle cell,spleen,normal,215,796,27.01005025125628,1.4933194003023234
ACAN,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.121541621921888
ACAP1,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.3645725103924058
ACAP2,vascular associated smooth muscle cell,spleen,normal,122,796,15.326633165829143,1.439056966275664
ACAP3,vascular associated smooth muscle cell,spleen,normal,12,796,1.507537688442211,1.2864514141779275
ACAT1,vascular associated smooth muscle cell,spleen,normal,44,796,5.527638190954774,1.2969497732276445
ACAT2,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.4537213826976711
ACBD3,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.157479713013687
ACBD6,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.2939132854735638
ACCS,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.319657958189342
ACD,vascular associated smooth muscle cell,spleen,normal,4,796,0.5025125628140703,1.1586270334390214
ACHE,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.2752715321065615
ACIN1,vascular associated smooth muscle cell,spleen,normal,82,796,10.301507537688442,1.3314897063094848
ACKR1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1982875818310423
ACKR3,vascular associated smooth muscle cell,spleen,normal,33,796,4.1457286432160805,1.399424039674141
ACLY,vascular associated smooth muscle cell,spleen,normal,4,796,0.5025125628140703,1.29836488997459
ACO2,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1085439405272155
ACOT1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1216036647930667
ACOT2,vascular associated smooth muscle cell,spleen,normal,15,796,1.884422110552764,1.2630686252951522
ACOT7,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.234143623981045
ACOT8,vascular associated smooth muscle cell,spleen,normal,14,796,1.7587939698492463,1.288636259934531
ACOT9,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.317842060383383
ACOX1,vascular associated smooth muscle cell,spleen,normal,36,796,4.522613065326634,1.33888030378903
ACOX2,vascular associated smooth muscle cell,spleen,normal,10,796,1.256281407035176,1.3452399191155275
ACOX3,vascular associated smooth muscle cell,spleen,normal,4,796,0.5025125628140703,1.3674754368376152
ACOXL,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.4413438074404783
ACP1,vascular associated smooth muscle cell,spleen,normal,237,796,29.773869346733665,1.4719140079076782
ACP2,vascular associated smooth muscle cell,spleen,normal,6,796,0.7537688442211055,1.225958092926117
ACP6,vascular associated smooth muscle cell,spleen,normal,6,796,0.7537688442211055,1.3189107696580853
ACRBP,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.1633981238135394
ACSBG1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.3692268509908607
ACSF2,vascular associated smooth muscle cell,spleen,normal,33,796,4.1457286432160805,1.3986632889260229
ACSF3,vascular associated smooth muscle cell,spleen,normal,15,796,1.884422110552764,1.2841149251609534
ACSM3,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.33401232868022
ACSS2,vascular associated smooth muscle cell,spleen,normal,36,796,4.522613065326634,1.3565788609982865
ACTA1,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.553322864944813
ACTA2,vascular associated smooth muscle cell,spleen,normal,718,796,90.20100502512562,4.122432469760609
ACTA2-AS1,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.385073056258151
ACTB,vascular associated smooth muscle cell,spleen,normal,796,796,100.0,4.089302548587182
ACTC1,vascular associated smooth muscle cell,spleen,normal,28,796,3.5175879396984926,1.940341278796012
ACTG1,vascular associated smooth muscle cell,spleen,normal,791,796,99.3718592964824,3.039848483710255
ACTG2,vascular associated smooth muscle cell,spleen,normal,224,796,28.14070351758794,2.418555818861717
ACTL6A,vascular associated smooth muscle cell,spleen,normal,142,796,17.839195979899497,1.4508430212342356
ACTMAP,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.2860929946167938
ACTN1,vascular associated smooth muscle cell,spleen,normal,130,796,16.331658291457288,1.3360150455233164
ACTN4,vascular associated smooth muscle cell,spleen,normal,286,796,35.92964824120603,1.4631732482086046
ACTR10,vascular associated smooth muscle cell,spleen,normal,225,796,28.266331658291456,1.472300506695854
ACTR1A,vascular associated smooth muscle cell,spleen,normal,62,796,7.788944723618091,1.322751125876261
ACTR1B,vascular associated smooth muscle cell,spleen,normal,17,796,2.135678391959799,1.329788971969929
ACTR2,vascular associated smooth muscle cell,spleen,normal,19,796,2.386934673366834,1.2732465025055673
ACTR3,vascular associated smooth muscle cell,spleen,normal,426,796,53.517587939698494,1.6226858302680731
ACTR3-AS1,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.4264835204614876
ACTR6,vascular associated smooth muscle cell,spleen,normal,44,796,5.527638190954774,1.3409327674044484
ACTR8,vascular associated smooth muscle cell,spleen,normal,16,796,2.010050251256281,1.357792456234464
ACVR1B,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.5924168128402911
ACVR2A,vascular associated smooth muscle cell,spleen,normal,9,796,1.1306532663316584,1.317932793299729
ACY1,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.1802063284745434
ACYP1,vascular associated smooth muscle cell,spleen,normal,85,796,10.678391959798995,1.460448102766032
ACYP2,vascular associated smooth muscle cell,spleen,normal,27,796,3.391959798994975,1.2758339530889211
ADAM10,vascular associated smooth muscle cell,spleen,normal,113,796,14.195979899497488,1.4581979056630954
ADAM12,vascular associated smooth muscle cell,spleen,normal,27,796,3.391959798994975,1.4343844595552826
ADAM15,vascular associated smooth muscle cell,spleen,normal,7,796,0.8793969849246231,1.3256369689450784
ADAM17,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.3536043301307088
ADAM19,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.3768249751889623
ADAM33,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.23767999070408
ADAMTS1,vascular associated smooth muscle cell,spleen,normal,13,796,1.6331658291457287,1.402471051709066
ADAMTS10,vascular associated smooth muscle cell,spleen,normal,8,796,1.0050251256281406,1.2342742416454606
ADAMTS12,vascular associated smooth muscle cell,spleen,normal,2,796,0.2512562814070351,1.2915421415384043
ADAMTS17,vascular associated smooth muscle cell,spleen,normal,1,796,0.1256281407035175,1.359358886573936
ADAMTS3,vascular associated smooth muscle cell,spleen,normal,3,796,0.3768844221105527,1.5017291727337605
ADAMTS4,vascular associated smooth muscle cell,spleen,normal,5,796,0.628140703517588,1.2930823248637442
